0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
01,-9,-9,-9,-9,-9,Bagerhat Zila Total,703,3327,1677,1650,657,24,10,2636
01,-9,-9,-9,-9,1, Bagerhat Zila,624,3008,1507,1501,648,24,7,2329
01,-9,-9,-9,-9,2, Bagerhat Zila,13,39,24,15,0,0,3,36
01,-9,-9,-9,-9,3, Bagerhat Zila,66,280,146,134,9,0,0,271
01,08,-9,-9,-9,-9,Bagerhat Sadar Upazila Total,195,890,445,445,606,0,0,284
01,08,-9,-9,-9,1,  Bagerhat Sadar Upazila,188,860,427,433,606,0,0,254
01,08,-9,-9,-9,2,  Bagerhat Sadar Upazila,7,30,18,12,0,0,0,30
01,08,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
01,08,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
01,08,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
01,08,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
01,08,05,-9,-9,-9,  Ward No-05 Total,7,30,18,12,0,0,0,30
01,08,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
01,08,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
01,08,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
01,08,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
01,08,17,-9,-9,-9,  Barai Para Union Total,131,658,328,330,606,0,0,52
01,08,25,-9,-9,-9,  Bemarta Union Total,1,5,2,3,0,0,0,5
01,08,34,-9,-9,-9,  Bishnupur Union Total,17,70,32,38,0,0,0,70
01,08,35,-9,-9,-9,  Dema Union Total,0,0,0,0,0,0,0,0
01,08,51,-9,-9,-9,  Gota Para Union Total,0,0,0,0,0,0,0,0
01,08,60,-9,-9,-9,  Jatrapur Union Total,0,0,0,0,0,0,0,0
01,08,69,-9,-9,-9,  Kara Para Union Total,0,0,0,0,0,0,0,0
01,08,77,-9,-9,-9,  Khanpur Union Total,0,0,0,0,0,0,0,0
01,08,86,-9,-9,-9,  Rakhalgachhi Union Total,39,127,65,62,0,0,0,127
01,08,94,-9,-9,-9,  Shat Gambuj Union Total,0,0,0,0,0,0,0,0
01,14,-9,-9,-9,-9,Chitalmari Upazila Total,0,0,0,0,0,0,0,0
01,14,-9,-9,-9,1,  Chitalmari Upazila,0,0,0,0,0,0,0,0
01,14,-9,-9,-9,3,  Chitalmari Upazila,0,0,0,0,0,0,0,0
01,14,15,-9,-9,-9,  Char Baniari Union Total,0,0,0,0,0,0,0,0
01,14,19,-9,-9,-9,  Bara Baria Union Total,0,0,0,0,0,0,0,0
01,14,31,-9,-9,-9,Chitalmari Union Total,0,0,0,0,0,0,0,0
01,14,31,-9,-9,1,  Chitalmari Union,0,0,0,0,0,0,0,0
01,14,31,-9,-9,3,  Chitalmari Union,0,0,0,0,0,0,0,0
