0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
03,-9,-9,-9,-9,-9,Bandarban Zila Total,36676,172401,87670,84731,77477,38021,20685,36218
03,-9,-9,-9,-9,1, Bandarban Zila,32057,151202,76981,74221,64444,36984,19178,30596
03,-9,-9,-9,-9,2, Bandarban Zila,2429,11335,5666,5669,8003,133,986,2213
03,-9,-9,-9,-9,3, Bandarban Zila,2190,9864,5023,4841,5030,904,521,3409
03,04,-9,-9,-9,-9,Alikadam Upazila Total,4021,21327,10955,10372,4046,11599,3079,2603
03,04,-9,-9,-9,1,  Alikadam Upazila,3588,19287,9898,9389,3244,11328,2946,1769
03,04,-9,-9,-9,2,  Alikadam Upazila,0,0,0,0,0,0,0,0
03,04,-9,-9,-9,3,  Alikadam Upazila,433,2040,1057,983,802,271,133,834
03,04,31,-9,-9,-9,Alikadam Union Total,2768,15016,7717,7299,1286,9702,2374,1654
03,04,31,-9,-9,1,  Alikadam Union,2335,12976,6660,6316,484,9431,2241,820
03,04,31,-9,-9,2,  Alikadam Union,0,0,0,0,0,0,0,0
03,04,31,-9,-9,3,  Alikadam Union,433,2040,1057,983,802,271,133,834
03,04,63,-9,-9,-9,Chokhyong Union Total,1253,6311,3238,3073,2760,1897,705,949
03,14,-9,-9,-9,-9,Bandarban Sadar Upazila Total,8887,39812,20167,19645,22978,5829,1423,9582
03,14,-9,-9,-9,1,  Bandarban Sadar Upazila,7082,31202,15880,15322,17484,5724,543,7451
03,14,-9,-9,-9,2,  Bandarban Sadar Upazila,1805,8610,4287,4323,5494,105,880,2131
5494,105,880,2131,03,14,Bandarban Paurashava,0,03,14,01,   ,  ,       ,Ward No-01 Total
03,14,01,-9,-9,-9,Ward No-01 Total,177,1066,472,594,751,0,56,259
03,14,02,-9,-9,-9,Ward No-02 Total,130,702,433,269,106,0,170,426
03,14,03,-9,-9,-9,Ward No-03 Total,132,545,277,268,258,0,222,65
03,14,04,-9,-9,-9,Ward No-04 Total,182,804,383,421,588,25,10,181
03,14,05,-9,-9,-9,Ward No-05 Total,812,3882,1858,2024,2917,61,310,594
03,14,06,-9,-9,-9,Ward No-06 Total,178,803,431,372,472,0,70,261
03,14,07,-9,-9,-9,Ward No-07 Total,10,30,17,13,12,4,10,4
03,14,08,-9,-9,-9,Ward No-08 Total,33,151,87,64,29,13,29,80
03,14,09,-9,-9,-9,Ward No-09 Total,151,627,329,298,361,2,3,261
03,14,15,-9,-9,-9,Bandarban Union Total,1426,6038,3173,2865,3606,0,220,2212
03,14,31,-9,-9,-9,Kuhalong Union Total,2029,8225,4174,4051,6094,10,219,1902
03,14,47,-9,-9,-9,Rajbila Union Total,1885,7624,3868,3756,6074,4,0,1546
03,14,63,-9,-9,-9,Suwalak Union Total,980,4928,2489,2439,1687,1590,5,1646
