0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
04,-9,-9,-9,-9,-9,Barguna Zila Total,328,1143,565,578,1059,29,27,28
04,-9,-9,-9,-9,1, Barguna Zila,321,1116,551,565,1057,19,20,20
04,-9,-9,-9,-9,2, Barguna Zila,7,27,14,13,2,10,7,8
04,-9,-9,-9,-9,3, Barguna Zila,0,0,0,0,0,0,0,0
04,09,-9,-9,-9,-9,Amtali Upazila Total,281,1018,507,511,1000,5,4,9
04,09,-9,-9,-9,1,  Amtali Upazila,278,1004,497,507,998,5,0,1
04,09,-9,-9,-9,2,  Amtali Upazila,3,14,10,4,2,0,4,8
04,09,-9,-9,-9,3,  Amtali Upazila,0,0,0,0,0,0,0,0
04,09,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
04,09,02,-9,-9,-9,  Ward No-02 Total,1,2,1,1,2,0,0,0
04,09,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
04,09,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
04,09,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
04,09,06,-9,-9,-9,  Ward No-06 Total,2,12,9,3,0,0,4,8
04,09,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
04,09,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
04,09,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
04,09,13,-9,-9,-9,Amtali Union Total,0,0,0,0,0,0,0,0
04,09,13,-9,-9,1,  Amtali Union,0,0,0,0,0,0,0,0
04,09,13,-9,-9,3,  Amtali Union,0,0,0,0,0,0,0,0
04,09,15,-9,-9,-9,  Arpangashia Union Total,1,5,2,3,0,5,0,0
04,09,23,-9,-9,-9,  Atharagashia Union Total,0,0,0,0,0,0,0,0
04,09,39,-9,-9,-9,  Barabagi Union Total,170,635,306,329,635,0,0,0
04,09,43,-9,-9,-9,  Chhota Bagi Union Total,4,13,7,6,13,0,0,0
04,09,47,-9,-9,-9,  Chowra Union Total,0,0,0,0,0,0,0,0
04,09,63,-9,-9,-9,  Gulisakhali Union Total,0,0,0,0,0,0,0,0
04,09,71,-9,-9,-9,  Haldia Union Total,0,0,0,0,0,0,0,0
04,09,79,-9,-9,-9,  Karaibaria Union Total,0,0,0,0,0,0,0,0
04,09,87,-9,-9,-9,  Kukua Union Total,0,0,0,0,0,0,0,0
04,09,91,-9,-9,-9,  Nishanbaria Union Total,49,183,100,83,182,0,0,1
04,09,94,-9,-9,-9,  Pancha Koralia Union Total,0,0,0,0,0,0,0,0
04,09,95,-9,-9,-9,  Sarikkhali Union Total,0,0,0,0,0,0,0,0
04,09,96,-9,-9,-9,  Sonakata Union Total,54,168,82,86,168,0,0,0
04,19,-9,-9,-9,-9,Bamna Upazila Total,0,0,0,0,0,0,0,0
04,19,-9,-9,-9,1,  Bamna Upazila,0,0,0,0,0,0,0,0
04,19,-9,-9,-9,3,  Bamna Upazila,0,0,0,0,0,0,0,0
04,19,23,-9,-9,-9,Bamna Union Total,0,0,0,0,0,0,0,0
04,19,23,-9,-9,1,  Bamna Union,0,0,0,0,0,0,0,0
04,19,23,-9,-9,3,  Bamna Union,0,0,0,0,0,0,0,0
04,19,47,-9,-9,-9,  Bukabunia Union Total,0,0,0,0,0,0,0,0
04,19,71,-9,-9,-9,  Dauatala Union Total,0,0,0,0,0,0,0,0
04,19,95,-9,-9,-9,  Ramna Union Total,0,0,0,0,0,0,0,0
04,28,-9,-9,-9,-9,Barguna Sadar Upazila Total,46,122,57,65,59,21,23,19
04,28,-9,-9,-9,1,  Barguna Sadar Upazila,42,109,53,56,59,11,20,19
04,28,-9,-9,-9,2,  Barguna Sadar Upazila,4,13,4,9,0,10,3,0
04,28,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
