0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
06,-9,-9,-9,-9,-9,Barisal Zila Total,17,76,45,31,28,16,14,18
06,-9,-9,-9,-9,1, Barisal Zila,8,38,24,14,12,16,0,10
06,-9,-9,-9,-9,2, Barisal Zila,8,32,19,13,10,0,14,8
06,-9,-9,-9,-9,3, Barisal Zila,1,6,2,4,6,0,0,0
06,02,-9,-9,-9,-9,Agailjhara Upazila Total,5,20,14,6,4,16,0,0
06,02,-9,-9,-9,1,  Agailjhara Upazila,5,20,14,6,4,16,0,0
06,02,-9,-9,-9,3,  Agailjhara Upazila,0,0,0,0,0,0,0,0
06,02,13,-9,-9,-9,  Bagdha Union Total,4,16,11,5,0,16,0,0
06,02,15,-9,-9,-9,Bakal Union Total,0,0,0,0,0,0,0,0
06,02,15,-9,-9,1,  Bakal Union,0,0,0,0,0,0,0,0
06,02,15,-9,-9,3,  Bakal Union,0,0,0,0,0,0,0,0
06,02,47,-9,-9,-9,Gaila Union Total,0,0,0,0,0,0,0,0
06,02,47,-9,-9,1,  Gaila Union,0,0,0,0,0,0,0,0
06,02,47,-9,-9,3,  Gaila Union,0,0,0,0,0,0,0,0
06,02,79,-9,-9,-9,  Rajiher Union Total,1,4,3,1,4,0,0,0
06,02,87,-9,-9,-9,  Ratnapur Union Total,0,0,0,0,0,0,0,0
06,03,-9,-9,-9,-9,Babuganj Upazila Total,0,0,0,0,0,0,0,0
06,03,-9,-9,-9,1,  Babuganj Upazila,0,0,0,0,0,0,0,0
06,03,-9,-9,-9,3,  Babuganj Upazila,0,0,0,0,0,0,0,0
06,03,13,-9,-9,-9,  Jahangir Nagar(Agarpur) Union Total,0,0,0,0,0,0,0,0
06,03,27,-9,-9,-9,  Chandpasha Union Total,0,0,0,0,0,0,0,0
06,03,40,-9,-9,-9,  Dehergati Union Total,0,0,0,0,0,0,0,0
06,03,54,-9,-9,-9,  Kedarpur Union Total,0,0,0,0,0,0,0,0
06,03,67,-9,-9,-9,  Madhab Pasha Union Total,0,0,0,0,0,0,0,0
06,03,81,-9,-9,-9,Rahmatpur Union Total,0,0,0,0,0,0,0,0
06,03,81,-9,-9,1,  Rahmatpur Union,0,0,0,0,0,0,0,0
06,03,81,-9,-9,3,  Rahmatpur Union,0,0,0,0,0,0,0,0
06,07,-9,-9,-9,-9,Bakerganj Upazila Total,0,0,0,0,0,0,0,0
06,07,-9,-9,-9,1,  Bakerganj Upazila,0,0,0,0,0,0,0,0
06,07,-9,-9,-9,2,  Bakerganj Upazila,0,0,0,0,0,0,0,0
06,07,-9,-9,-9,3,  Bakerganj Upazila,0,0,0,0,0,0,0,0
06,07,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
06,07,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
06,07,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
06,07,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
06,07,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
06,07,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
06,07,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
06,07,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
06,07,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
06,07,12,-9,-9,-9,Bhar Pasha Union Total,0,0,0,0,0,0,0,0
06,07,12,-9,-9,1,  Bhar Pasha Union,0,0,0,0,0,0,0,0
06,07,12,-9,-9,3,  Bhar Pasha Union,0,0,0,0,0,0,0,0
06,07,13,-9,-9,-9,  Charadi Union Total,0,0,0,0,0,0,0,0
06,07,20,-9,-9,-9,  Char Amaddi Union Total,0,0,0,0,0,0,0,0
06,07,27,-9,-9,-9,  Darial Union Total,0,0,0,0,0,0,0,0
06,07,33,-9,-9,-9,  Dudhal Union Total,0,0,0,0,0,0,0,0
06,07,40,-9,-9,-9,  Durga Pasha Union Total,0,0,0,0,0,0,0,0
06,07,47,-9,-9,-9,  Faridpur Union Total,0,0,0,0,0,0,0,0
06,07,54,-9,-9,-9,  Garuria Union Total,0,0,0,0,0,0,0,0
06,07,61,-9,-9,-9,  Kabai Union Total,0,0,0,0,0,0,0,0
06,07,67,-9,-9,-9,  Kalaskati Union Total,0,0,0,0,0,0,0,0
06,07,74,-9,-9,-9,  Nalua Union Total,0,0,0,0,0,0,0,0
06,07,81,-9,-9,-9,  Niamati Union Total,0,0,0,0,0,0,0,0
06,07,88,-9,-9,-9,  Padri Shibpur Union Total,0,0,0,0,0,0,0,0
06,07,94,-9,-9,-9,Rangasree Union Total,0,0,0,0,0,0,0,0
