0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
26,-9,-9,-9,-9,-9,Dhaka Zila Total,4969,20123,10400,9723,7676,5371,1019,6057
26,-9,-9,-9,-9,1, Dhaka Zila,1370,4806,2468,2338,456,2177,204,1969
26,-9,-9,-9,-9,2, Dhaka Zila,3323,14272,7346,6926,6832,3008,765,3667
26,-9,-9,-9,-9,3, Dhaka Zila,276,1045,586,459,388,186,50,421
26,02,43,-9,-9,-9,Ward No-43 Total,45,201,131,70,46,62,14,79
26,02,46,-9,-9,-9,Ward No-46 (Part) Total,11,50,28,22,10,13,0,27
26,04,13,-9,-9,-9,Badda Union Total,33,118,66,52,48,26,8,36
26,04,17,-9,-9,-9,Ward No-17 (Part) Total,184,678,385,293,457,91,8,122
26,04,19,-9,-9,-9,Beraid Union Total,0,0,0,0,0,0,0,0
26,04,21,-9,-9,-9,Ward No-21 Total,161,613,299,314,507,31,25,50
26,04,57,-9,-9,-9,Bhatara Union Total,73,262,146,116,148,67,19,28
26,04,82,-9,-9,-9,Satarkul Union Total,3,9,5,4,0,9,0,0
26,05,63,-9,-9,-9,Ward No-63 (Part) Total,0,0,0,0,0,0,0,0
26,05,66,-9,-9,-9,Ward No-66 (Part) Total,0,0,0,0,0,0,0,0
26,05,67,-9,-9,-9,Ward No-67 (Part) Total,0,0,0,0,0,0,0,0
26,05,68,-9,-9,-9,Ward No-68(Part) Total,0,0,0,0,0,0,0,0
26,05,69,-9,-9,-9,Ward No-69 Total,2,6,3,3,5,0,1,0
26,05,70,-9,-9,-9,Ward No-70 Total,0,0,0,0,0,0,0,0
26,05,71,-9,-9,-9,Ward No-71(Part) Total,0,0,0,0,0,0,0,0
26,06,01,-9,-9,-9,Ward No-01(Part) Total,8,31,16,15,12,19,0,0
26,06,38,-9,-9,-9,Dakshinkhan(Part) Union Total,1,4,2,2,0,4,0,0
26,06,98,-9,-9,-9,Ward No-98(Rest. Area Part) Total,0,0,0,0,0,0,0,0
26,08,15,-9,-9,-9,Ward No-15 (Part) Total,31,98,47,51,38,34,9,17
26,08,98,-9,-9,-9,Ward No-98 (Rest. Area) Total,14,46,20,26,8,12,4,22
26,09,63,-9,-9,-9,Ward No-63 (Part) Total,2,10,8,2,6,4,0,0
26,09,64,-9,-9,-9,Ward No-64 Total,0,0,0,0,0,0,0,0
26,09,65,-9,-9,-9,Ward No-65 Total,5,32,26,6,30,2,0,0
26,09,66,-9,-9,-9,Ward No-66 (Part) Total,0,0,0,0,0,0,0,0
26,09,67,-9,-9,-9,Ward No-67 (Part) Total,0,0,0,0,0,0,0,0
26,10,38,-9,-9,-9,Dakshinkhan(Part) Union Total,70,236,114,122,118,22,9,87
26,11,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
26,11,10,-9,-9,-9,Ward No-10 Total,4,22,4,18,8,8,0,6
26,12,65,-9,-9,-9,Demra Union Total,0,0,0,0,0,0,0,0
26,12,80,-9,-9,-9,Matuail (Part) Union Total,5,25,14,11,0,9,6,10
26,12,93,-9,-9,-9,Saralia Union Total,14,62,40,22,15,0,0,47
26,14,-9,-9,-9,-9,Dhamrai Upazila Total,11,249,137,112,3,9,210,27
26,14,-9,-9,-9,1,  Dhamrai Upazila,8,33,13,20,0,9,1,23
26,14,-9,-9,-9,2,  Dhamrai Upazila,3,216,124,92,3,0,209,4
26,14,-9,-9,-9,3,  Dhamrai Upazila,0,0,0,0,0,0,0,0
