0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
29,-9,-9,-9,-9,-9,Faridpur Zila Total,656,3233,1670,1563,106,84,35,3008
29,-9,-9,-9,-9,1, Faridpur Zila,621,3048,1580,1468,32,84,19,2913
29,-9,-9,-9,-9,2, Faridpur Zila,24,140,66,74,74,0,16,50
29,-9,-9,-9,-9,3, Faridpur Zila,11,45,24,21,0,0,0,45
29,03,-9,-9,-9,-9,Alfadanga Upazila Total,1,7,2,5,0,0,7,0
29,03,-9,-9,-9,1,  Alfadanga Upazila,1,7,2,5,0,0,7,0
29,03,-9,-9,-9,3,  Alfadanga Upazila,0,0,0,0,0,0,0,0
29,03,10,-9,-9,-9,Alfadanga Union Total,0,0,0,0,0,0,0,0
29,03,10,-9,-9,1,  Alfadanga Union,0,0,0,0,0,0,0,0
29,03,10,-9,-9,3,  Alfadanga Union,0,0,0,0,0,0,0,0
29,03,21,-9,-9,-9,Bana Union Total,0,0,0,0,0,0,0,0
29,03,31,-9,-9,-9,Buraich Union Total,0,0,0,0,0,0,0,0
29,03,31,-9,-9,1,  Buraich Union,0,0,0,0,0,0,0,0
29,03,31,-9,-9,3,  Buraich Union,0,0,0,0,0,0,0,0
29,03,42,-9,-9,-9,Gopalpur Union Total,0,0,0,0,0,0,0,0
29,03,52,-9,-9,-9,Panchuria Union Total,0,0,0,0,0,0,0,0
29,03,84,-9,-9,-9,Tagarbanda Union Total,1,7,2,5,0,0,7,0
29,10,-9,-9,-9,-9,Bhanga Upazila Total,1,2,2,0,0,0,0,2
29,10,-9,-9,-9,1,  Bhanga Upazila,1,2,2,0,0,0,0,2
29,10,-9,-9,-9,2,  Bhanga Upazila,0,0,0,0,0,0,0,0
29,10,-9,-9,-9,3,  Bhanga Upazila,0,0,0,0,0,0,0,0
0,0,0,0,29,10,Bhanga Paurashava,0,29,10,01,   ,  ,       ,Ward No-01 Total
29,10,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
29,10,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
29,10,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
