0,1,2,3,4,5,6,7,8,9,10,11,12,13
44,-9,-9,-9,-9,-9,Jhenaidah Zila Total,704,3108,1528,1580,272,102,89
44,-9,-9,-9,-9,1, Jhenaidah Zila,532,2302,1132,1170,51,102,86
44,-9,-9,-9,-9,2, Jhenaidah Zila,172,806,396,410,221,0,3
44,-9,-9,-9,-9,3, Jhenaidah Zila,0,0,0,0,0,0,0
44,14,-9,-9,-9,-9,Harinakundu Upazila Total,86,369,187,182,0,0,0
44,14,-9,-9,-9,1,  Harinakundu Upazila,0,0,0,0,0,0,0
44,14,-9,-9,-9,2,  Harinakundu Upazila,86,369,187,182,0,0,0
44,14,-9,-9,-9,3,  Harinakundu Upazila,0,0,0,0,0,0,0
44,14,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0
44,14,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0
44,14,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0
44,14,04,-9,-9,-9,  Ward No-04 Total,51,223,120,103,0,0,0
44,14,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0
44,14,06,-9,-9,-9,  Ward No-06 Total,34,145,66,79,0,0,0
44,14,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0
44,14,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0
44,14,09,-9,-9,-9,  Ward No-09 Total,1,1,1,0,0,0,0
44,14,10,-9,-9,-9,  Bhayna Union Total,0,0,0,0,0,0,0
44,14,21,-9,-9,-9,  Chandpur Union Total,0,0,0,0,0,0,0
44,14,31,-9,-9,-9,Daulatpur Union Total,0,0,0,0,0,0,0
44,14,31,-9,-9,1,  Daulatpur Union,0,0,0,0,0,0,0
44,14,31,-9,-9,3,  Daulatpur Union,0,0,0,0,0,0,0
44,14,42,-9,-9,-9,  Phalsi Union Total,0,0,0,0,0,0,0
44,14,52,-9,-9,-9,  Joradaha Union Total,0,0,0,0,0,0,0
44,14,63,-9,-9,-9,  Kapashati Union Total,0,0,0,0,0,0,0
44,14,73,-9,-9,-9,  Raghunathpur Union Total,0,0,0,0,0,0,0
44,14,84,-9,-9,-9,  Taherhuda Union Total,0,0,0,0,0,0,0
44,19,-9,-9,-9,-9,Jhenaidah Sadar Upazila Total,138,597,288,309,0,102,10
44,19,-9,-9,-9,1,  Jhenaidah Sadar Upazila,137,594,286,308,0,102,7
44,19,-9,-9,-9,2,  Jhenaidah Sadar Upazila,1,3,2,1,0,0,3
44,19,-9,-9,-9,3,  Jhenaidah Sadar Upazila,0,0,0,0,0,0,0
44,19,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0
44,19,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0
44,19,03,-9,-9,-9,  Ward No-03 Total,1,3,2,1,0,0,3
44,19,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0
44,19,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0
44,19,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0
44,19,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0
44,19,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0
44,19,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0
44,19,11,-9,-9,-9,  Dogachhi Union Total,13,53,25,28,0,53,0
44,19,13,-9,-9,-9,  Fursandi Union Total,0,0,0,0,0,0,0
44,19,15,-9,-9,-9,  Ganna Union Total,1,7,2,5,0,0,7
44,19,21,-9,-9,-9,  Ghorshal Union Total,0,0,0,0,0,0,0
44,19,26,-9,-9,-9,  Halidhani Union Total,15,58,29,29,0,0,0
44,19,31,-9,-9,-9,  Harishankarpur Union Total,0,0,0,0,0,0,0
44,19,42,-9,-9,-9,  Kalicharanpur Union Total,0,0,0,0,0,0,0
44,19,47,-9,-9,-9,  Kumrabaria Union Total,0,0,0,0,0,0,0
44,19,52,-9,-9,-9,  Madhuhati Union Total,0,0,0,0,0,0,0
44,19,58,-9,-9,-9,  Moharajpur Union Total,0,0,0,0,0,0,0
44,19,63,-9,-9,-9,  Naldanga Union Total,0,0,0,0,0,0,0
44,19,68,-9,-9,-9,  Padmakar Union Total,11,49,25,24,0,0,0
44,19,73,-9,-9,-9,Paglakanai Union Total,0,0,0,0,0,0,0
44,19,73,-9,-9,1,  Paglakanai Union,0,0,0,0,0,0,0
44,19,73,-9,-9,3,  Paglakanai Union,0,0,0,0,0,0,0
44,19,79,-9,-9,-9,  Porahati Union Total,0,0,0,0,0,0,0
44,19,84,-9,-9,-9,  Saganna Union Total,79,340,163,177,0,0,340
44,19,89,-9,-9,-9,  Sadhuhati Union Total,18,87,42,45,0,0,87
44,19,94,-9,-9,-9,  Surat Union Total,0,0,0,0,0,0,0
44,33,-9,-9,-9,-9,Kaliganj Upazila Total,108,452,236,216,0,0,452
44,33,-9,-9,-9,1,  Kaliganj Upazila,106,445,234,211,0,0,445
44,33,-9,-9,-9,2,  Kaliganj Upazila,2,7,2,5,0,0,7
44,33,01,-9,-9,-9,  Ward No-01 Total,1,3,1,2,0,0,3
44,33,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0
44,33,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0
44,33,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0
44,33,05,-9,-9,-9,  Ward No-05 Total,1,4,1,3,0,0,4
44,33,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0
44,33,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0
44,33,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0
44,33,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0
44,33,10,-9,-9,-9,  Bara Bazar Union Total,37,178,94,84,0,0,178
44,33,20,-9,-9,-9,  Jamal Union Total,48,192,103,89,0,0,192
44,33,33,-9,-9,-9,  Sundarpur Durgapur Union Total,0,0,0,0,0,0,0
44,33,40,-9,-9,-9,  Kashtabhanga Union Total,0,0,0,0,0,0,0
44,33,47,-9,-9,-9,  Kola Union Total,0,0,0,0,0,0,0
44,33,54,-9,-9,-9,  Maliat Union Total,19,66,33,33,0,0,66
44,33,61,-9,-9,-9,  Niamatpur Union Total,1,2,1,1,0,0,2
44,33,74,-9,-9,-9,  Roygram Union Total,1,7,3,4,0,0,7
44,33,81,-9,-9,-9,  Rakhalgachhi Union Total,0,0,0,0,0,0,0
44,33,88,-9,-9,-9,  Simla Rokonpur Union Total,0,0,0,0,0,0,0
44,33,94,-9,-9,-9,  Trilochanpur Union Total,0,0,0,0,0,0,0
44,42,-9,-9,-9,-9,Kotchandpur Upazila Total,66,326,154,172,120,30,176
44,42,-9,-9,-9,1,  Kotchandpur Upazila,10,41,22,19,0,30,11
44,42,-9,-9,-9,2,  Kotchandpur Upazila,56,285,132,153,120,0,165
44,42,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0
44,42,02,-9,-9,-9,  Ward No-02 Total,2,14,6,8,0,0,14
44,42,03,-9,-9,-9,  Ward No-03 Total,1,3,2,1,0,0,3
44,42,04,-9,-9,-9,  Ward No-04 Total,31,156,75,81,120,0,36
44,42,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0
44,42,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0
44,42,07,-9,-9,-9,  Ward No-07 Total,22,112,49,63,0,0,112
44,42,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0
44,42,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0
44,42,13,-9,-9,-9,  Baluhar Union Total,0,0,0,0,0,0,0
44,42,27,-9,-9,-9,  Dora Union Total,0,0,0,0,0,0,0
44,42,40,-9,-9,-9,  Elangi Union Total,0,0,0,0,0,0,0
44,42,67,-9,-9,-9,  Kushna Union Total,0,0,0,0,0,0,0
44,42,81,-9,-9,-9,  Sabdalpur Union Total,10,41,22,19,0,30,11
44,71,-9,-9,-9,-9,Maheshpur Upazila Total,61,281,134,147,152,49,80
44,71,-9,-9,-9,1,  Maheshpur Upazila,43,180,85,95,51,49,80
44,71,-9,-9,-9,2,  Maheshpur Upazila,18,101,49,52,101,0,0
44,71,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0
44,71,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0
44,71,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0
44,71,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0
44,71,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0
44,71,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0
44,71,07,-9,-9,-9,  Ward No-07 Total,18,101,49,52,101,0,0
44,71,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0
44,71,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0
44,71,10,-9,-9,-9,  Azampur Union Total,0,0,0,0,0,0,0
44,71,11,-9,-9,-9,  Banshbaria Union Total,7,30,16,14,0,0,30
44,71,17,-9,-9,-9,  Fatehpur Union Total,8,23,9,14,0,21,2
44,71,23,-9,-9,-9,  Jadabpur Union Total,6,28,13,15,0,28,0
44,71,29,-9,-9,-9,  Kazirber Union Total,0,0,0,0,0,0,0
44,71,35,-9,-9,-9,  Manderbari Union Total,0,0,0,0,0,0,0
44,71,53,-9,-9,-9,  Natima Union Total,0,0,0,0,0,0,0
44,71,59,-9,-9,-9,  Nepa Union Total,0,0,0,0,0,0,0
44,71,65,-9,-9,-9,  Pantha Para Union Total,0,0,0,0,0,0,0
44,71,77,-9,-9,-9,  Shyamkur Union Total,0,0,0,0,0,0,0
44,71,83,-9,-9,-9,  S.B.K Union Total,0,0,0,0,0,0,0
44,71,89,-9,-9,-9,  Swaruppur Union Total,22,99,47,52,51,0,48
44,80,-9,-9,-9,-9,Shailkupa Upazila Total,245,1083,529,554,0,0,1083
44,80,-9,-9,-9,1,  Shailkupa Upazila,236,1042,505,537,0,0,1042
44,80,-9,-9,-9,2,  Shailkupa Upazila,9,41,24,17,0,0,41
44,80,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0
44,80,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0
