0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
38,-9,-9,-9,-9,-9,Joypurhat Zila Total,5717,23139,11712,11427,5226,3893,2689,11331
38,-9,-9,-9,-9,1, Joypurhat Zila,5009,20370,10317,10053,4308,3319,2512,10231
38,-9,-9,-9,-9,2, Joypurhat Zila,701,2744,1382,1362,907,574,174,1089
38,-9,-9,-9,-9,3, Joypurhat Zila,7,25,13,12,11,0,3,11
38,13,-9,-9,-9,-9,Akkelpur Upazila Total,223,897,454,443,7,5,4,881
38,13,-9,-9,-9,1,  Akkelpur Upazila,171,653,331,322,0,5,4,644
38,13,-9,-9,-9,2,  Akkelpur Upazila,52,244,123,121,7,0,0,237
38,13,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
38,13,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
38,13,03,-9,-9,-9,  Ward No-03 Total,2,10,5,5,7,0,0,3
38,13,04,-9,-9,-9,  Ward No-04 Total,4,15,7,8,0,0,0,15
38,13,05,-9,-9,-9,  Ward No-05 Total,2,9,6,3,0,0,0,9
38,13,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
38,13,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
38,13,08,-9,-9,-9,  Ward No-08 Total,26,148,75,73,0,0,0,148
38,13,09,-9,-9,-9,  Ward No-09 Total,18,62,30,32,0,0,0,62
38,13,15,-9,-9,-9,  Gopinathpur Union Total,16,59,28,31,0,0,0,59
38,13,31,-9,-9,-9,  Raikali Union Total,5,19,9,10,0,0,0,19
38,13,47,-9,-9,-9,  Rukindipur Union Total,64,251,130,121,0,0,0,251
38,13,63,-9,-9,-9,  Sonamukhi Union Total,3,15,10,5,0,0,0,15
38,13,79,-9,-9,-9,  Tilakpur Union Total,83,309,154,155,0,5,4,300
38,47,-9,-9,-9,-9,Joypurhat Sadar Upazila Total,2073,8174,4183,3991,1493,1121,218,5342
38,47,-9,-9,-9,1,  Joypurhat Sadar Upazila,1773,6970,3559,3411,1157,987,185,4641
38,47,-9,-9,-9,2,  Joypurhat Sadar Upazila,300,1204,624,580,336,134,33,701
38,47,01,-9,-9,-9,  Ward No-01 Total,71,263,134,129,73,64,0,126
38,47,02,-9,-9,-9,  Ward No-02 Total,46,174,91,83,5,0,6,163
38,47,03,-9,-9,-9,  Ward No-03 Total,58,247,129,118,27,0,0,220
38,47,04,-9,-9,-9,  Ward No-04 Total,66,277,150,127,190,3,0,84
38,47,05,-9,-9,-9,  Ward No-05 Total,8,40,18,22,0,0,27,13
38,47,06,-9,-9,-9,  Ward No-06 Total,2,5,1,4,1,0,0,4
38,47,07,-9,-9,-9,  Ward No-07 Total,4,14,7,7,3,11,0,0
38,47,08,-9,-9,-9,  Ward No-08 Total,20,75,38,37,14,0,0,61
38,47,09,-9,-9,-9,  Ward No-09 Total,25,109,56,53,23,56,0,30
38,47,17,-9,-9,-9,  Amdai Union Total,103,416,213,203,88,289,9,30
38,47,19,-9,-9,-9,  Bambu Union Total,3,10,6,4,0,0,0,10
38,47,28,-9,-9,-9,  Bhadsa Union Total,375,1464,763,701,434,219,17,794
38,47,32,-9,-9,-9,  Chak Barkat Union Total,63,212,102,110,7,0,127,78
38,47,38,-9,-9,-9,  Dhalahar Union Total,147,529,266,263,0,4,14,511
38,47,47,-9,-9,-9,  Dogachhi Union Total,231,942,485,457,147,151,0,644
38,47,66,-9,-9,-9,  Jamalpur Union Total,94,349,186,163,87,0,0,262
