0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
46,-9,-9,-9,-9,-9,Khagrachhari Zila Total,70460,316987,159310,157677,161960,86196,67011,1820
46,-9,-9,-9,-9,1, Khagrachhari Zila,53903,242918,122539,120379,129722,65341,46852,1003
46,-9,-9,-9,-9,2, Khagrachhari Zila,4706,20800,10119,10681,10077,4608,5872,243
46,-9,-9,-9,-9,3, Khagrachhari Zila,11851,53269,26652,26617,22161,16247,14287,574
46,43,-9,-9,-9,-9,Dighinala Upazila Total,14518,65389,33147,32242,57598,7444,93,254
46,43,-9,-9,-9,1,  Dighinala Upazila,12904,58141,29510,28631,53173,4719,62,187
46,43,-9,-9,-9,3,  Dighinala Upazila,1614,7248,3637,3611,4425,2725,31,67
46,43,15,-9,-9,-9,Babuchhara Union Total,2759,12648,6489,6159,12195,367,27,59
46,43,31,-9,-9,-9,Boalkhali Union Total,2706,12061,6040,6021,8297,3649,31,84
46,43,31,-9,-9,1,  Boalkhali Union,1092,4813,2403,2410,3872,924,0,17
46,43,31,-9,-9,3,  Boalkhali Union,1614,7248,3637,3611,4425,2725,31,67
46,43,47,-9,-9,-9,Dighinala Union Total,3008,13109,6584,6525,13023,14,20,52
46,43,63,-9,-9,-9,Kabakhali Union Total,1802,8174,4161,4013,8159,0,1,14
46,43,79,-9,-9,-9,Merung Union Total,4243,19397,9873,9524,15924,3414,14,45
46,49,-9,-9,-9,-9,Khagrachhari Sadar Upazila Total,15304,68952,34313,34639,31431,24300,12939,282
46,49,-9,-9,-9,1,  Khagrachhari Sadar Upazila,8146,36630,18369,18261,16743,13367,6460,60
46,49,-9,-9,-9,2,  Khagrachhari Sadar Upazila,3244,14159,6831,7328,8987,1786,3286,100
46,49,-9,-9,-9,3,  Khagrachhari Sadar Upazila,3914,18163,9113,9050,5701,9147,3193,122
5701,9147,3193,122,46,49,Khagrachhari Paurasava,0,46,49,01,   ,  ,       ,Ward No-01 Total
46,49,01,-9,-9,-9,Ward No-01 Total,836,3693,1772,1921,3342,91,260,0
46,49,02,-9,-9,-9,Ward No-02 Total,145,635,310,325,590,29,9,7
46,49,03,-9,-9,-9,Ward No-03 Total,48,210,109,101,147,54,2,7
46,49,04,-9,-9,-9,Ward No-04 Total,309,1312,605,707,1143,72,95,2
46,49,05,-9,-9,-9,Ward No-05 Total,282,1261,634,627,207,993,54,7
46,49,06,-9,-9,-9,Ward No-06 Total,6,24,11,13,3,17,4,0
46,49,07,-9,-9,-9,Ward No-07 Total,903,3890,1878,2012,2267,331,1264,28
46,49,08,-9,-9,-9,Ward No-08 Total,49,200,99,101,5,12,144,39
46,49,09,-9,-9,-9,Ward No-09 Total,666,2934,1413,1521,1283,187,1454,10
46,49,15,-9,-9,-9,Bhaibonchhara Union Total,4087,18254,9112,9142,7637,9078,1521,18
46,49,25,-9,-9,-9,Golabari Union Total,1539,7287,3637,3650,1255,3440,2562,30
46,49,25,-9,-9,3,  Golabari Union,1539,7287,3637,3650,1255,3440,2562,30
46,49,47,-9,-9,-9,Kamalchhari Union Total,2273,10131,5100,5031,6625,981,2495,30
46,49,63,-9,-9,-9,Khagrachhari Union Total,1786,8245,4157,4088,2481,3308,2444,12
46,49,75,-9,-9,-9,Perachhara Union Total,2375,10876,5476,5400,4446,5707,631,92
46,49,75,-9,-9,3,  Perachhara Union,2375,10876,5476,5400,4446,5707,631,92
46,61,-9,-9,-9,-9,Lakshmichhari Upazila Total,4849,20913,10653,10260,14680,159,5823,251
46,61,-9,-9,-9,1,  Lakshmichhari Upazila,4630,20024,10191,9833,13962,151,5660,251
46,61,-9,-9,-9,3,  Lakshmichhari Upazila,219,889,462,427,718,8,163,0
46,61,23,-9,-9,-9,Barmachhari Union Total,1526,6623,3360,3263,4424,140,2035,24
46,61,47,-9,-9,-9,Dulyatali Union Total,1453,6272,3210,3062,4351,3,1898,20
46,61,71,-9,-9,-9,Lakshmichhari Union Total,1870,8018,4083,3935,5905,16,1890,207
46,61,71,-9,-9,1,  Lakshmichhari Union,1651,7129,3621,3508,5187,8,1727,207
46,61,71,-9,-9,3,  Lakshmichhari Union,219,889,462,427,718,8,163,0
46,65,-9,-9,-9,-9,Mahalchhari Upazila Total,7953,35252,17879,17373,20526,3869,10707,150
46,65,-9,-9,-9,1,  Mahalchhari Upazila,7018,31230,15902,15328,18712,3222,9214,82
46,65,-9,-9,-9,3,  Mahalchhari Upazila,935,4022,1977,2045,1814,647,1493,68
46,65,15,-9,-9,-9,Kayangghat Union Total,1598,6759,3455,3304,6709,6,36,8
46,65,31,-9,-9,-9,Mahalchhari Union Total,1930,8229,4111,4118,4758,696,2707,68
46,65,31,-9,-9,1,  Mahalchhari Union,995,4207,2134,2073,2944,49,1214,0
46,65,31,-9,-9,3,  Mahalchhari Union,935,4022,1977,2045,1814,647,1493,68
46,65,47,-9,-9,-9,Maschhari Union Total,1334,5959,2992,2967,2943,929,2052,35
46,65,63,-9,-9,-9,Mubachhari Union Total,1551,6910,3544,3366,4918,5,1965,22
46,65,79,-9,-9,-9,Sindukchari Union Total,1540,7395,3777,3618,1198,2233,3947,17
46,67,-9,-9,-9,-9,Manikchhari Upazila Total,3760,17690,8857,8833,1101,3574,12837,178
46,67,-9,-9,-9,1,  Manikchhari Upazila,2085,9860,4907,4953,597,3156,5997,110
46,67,-9,-9,-9,3,  Manikchhari Upazila,1675,7830,3950,3880,504,418,6840,68
46,67,19,-9,-9,-9,Batnatali Union Total,947,4591,2269,2322,25,960,3561,45
46,67,42,-9,-9,-9,Juggachhala Union Total,765,3581,1810,1771,220,2178,1178,5
46,67,63,-9,-9,-9,Manikchhari Union Total,1281,5902,2974,2928,497,69,5268,68
46,67,63,-9,-9,3,  Manikchhari Union,1281,5902,2974,2928,497,69,5268,68
46,67,87,-9,-9,-9,Tintahari Union Total,767,3616,1804,1812,359,367,2830,60
