0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
48,-9,-9,-9,-9,-9,Kishoreganj Zila Total,96,433,227,206,297,36,36,64
48,-9,-9,-9,-9,1, Kishoreganj Zila,82,372,194,178,284,21,24,43
48,-9,-9,-9,-9,2, Kishoreganj Zila,13,58,31,27,13,12,12,21
48,-9,-9,-9,-9,3, Kishoreganj Zila,1,3,2,1,0,3,0,0
48,02,-9,-9,-9,-9,Austagram Upazila Total,2,6,3,3,0,3,0,3
48,02,-9,-9,-9,1,  Austagram Upazila,1,3,1,2,0,0,0,3
48,02,-9,-9,-9,3,  Austagram Upazila,1,3,2,1,0,3,0,0
48,02,11,-9,-9,-9,Adampur Union Total,1,3,1,2,0,0,0,3
48,02,23,-9,-9,-9,Austagram Union Total,1,3,2,1,0,3,0,0
48,02,23,-9,-9,1,Austagram Union,0,0,0,0,0,0,0,0
48,02,23,-9,-9,3,Austagram Union,1,3,2,1,0,3,0,0
48,02,35,-9,-9,-9,Bangal Para Union Total,0,0,0,0,0,0,0,0
48,02,47,-9,-9,-9,Deoghar Union Total,0,0,0,0,0,0,0,0
48,02,59,-9,-9,-9,Kalma Union Total,0,0,0,0,0,0,0,0
48,02,71,-9,-9,-9,Kastail Union Total,0,0,0,0,0,0,0,0
48,02,83,-9,-9,-9,Khayerpur Abdullahpur Union Total,0,0,0,0,0,0,0,0
48,02,91,-9,-9,-9,Purba Austagram Union Total,0,0,0,0,0,0,0,0
48,06,-9,-9,-9,-9,Bajitpur Upazila Total,1,4,2,2,0,0,4,0
48,06,-9,-9,-9,1,  Bajitpur Upazila,1,4,2,2,0,0,4,0
48,06,-9,-9,-9,2,  Bajitpur Upazila,0,0,0,0,0,0,0,0
48,06,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
48,06,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
48,06,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
48,06,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
48,06,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
48,06,06,-9,-9,-9,Ward No-06 Total,0,0,0,0,0,0,0,0
48,06,07,-9,-9,-9,Ward No-07 Total,0,0,0,0,0,0,0,0
48,06,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
48,06,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
48,06,17,-9,-9,-9,Baliardi Union Total,0,0,0,0,0,0,0,0
48,06,25,-9,-9,-9,Dighirpar Union Total,0,0,0,0,0,0,0,0
48,06,34,-9,-9,-9,Dilalpur Union Total,0,0,0,0,0,0,0,0
48,06,43,-9,-9,-9,Gazir Char Union Total,0,0,0,0,0,0,0,0
48,06,51,-9,-9,-9,Halimpur Union Total,1,4,2,2,0,0,4,0
48,06,60,-9,-9,-9,Hilachia Union Total,0,0,0,0,0,0,0,0
48,06,69,-9,-9,-9,Humaipur Union Total,0,0,0,0,0,0,0,0
48,06,72,-9,-9,-9,Kailag Union Total,0,0,0,0,0,0,0,0
48,06,77,-9,-9,-9,Maij Char Union Total,0,0,0,0,0,0,0,0
48,06,86,-9,-9,-9,Pirijpur Union Total,0,0,0,0,0,0,0,0
48,06,94,-9,-9,-9,Sarar Char Union Total,0,0,0,0,0,0,0,0
48,11,-9,-9,-9,-9,Bhairab Upazila Total,8,30,16,14,0,0,30,0
48,11,-9,-9,-9,1,  Bhairab Upazila,5,19,10,9,0,0,19,0
48,11,-9,-9,-9,2,  Bhairab Upazila,3,11,6,5,0,0,11,0
48,11,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
48,11,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
48,11,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
48,11,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
48,11,05,-9,-9,-9,Ward No-05 Total,2,7,3,4,0,0,7,0
48,11,06,-9,-9,-9,Ward No-06 Total,0,0,0,0,0,0,0,0
48,11,07,-9,-9,-9,Ward No-07 Total,0,0,0,0,0,0,0,0
48,11,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
48,11,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
48,11,10,-9,-9,-9,Ward No-10 Total,1,4,3,1,0,0,4,0
48,11,11,-9,-9,-9,Ward No-11 Total,0,0,0,0,0,0,0,0
48,11,12,-9,-9,-9,Ward No-12 Total,0,0,0,0,0,0,0,0
48,11,21,-9,-9,-9,Aganagar Union Total,0,0,0,0,0,0,0,0
48,11,35,-9,-9,-9,Gazaria Union Total,0,0,0,0,0,0,0,0
48,11,47,-9,-9,-9,Kalika Prasad Union Total,0,0,0,0,0,0,0,0
48,11,59,-9,-9,-9,Sadakpur Union Total,0,0,0,0,0,0,0,0
48,11,71,-9,-9,-9,Shibpur Union Total,0,0,0,0,0,0,0,0
48,11,83,-9,-9,-9,Shimulkandi Union Total,0,0,0,0,0,0,0,0
48,11,85,-9,-9,-9,Sreenagar Union Total,5,19,10,9,0,0,19,0
48,27,-9,-9,-9,-9,Hossainpur Upazila Total,5,11,8,3,0,11,0,0
48,27,-9,-9,-9,1,  Hossainpur Upazila,3,7,6,1,0,7,0,0
48,27,-9,-9,-9,2,  Hossainpur Upazila,2,4,2,2,0,4,0,0
48,27,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
48,27,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
48,27,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
48,27,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
48,27,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
48,27,06,-9,-9,-9,Ward No-06 Total,1,2,2,0,0,2,0,0
48,27,07,-9,-9,-9,Ward No-07 Total,1,2,0,2,0,2,0,0
48,27,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
48,27,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
48,27,13,-9,-9,-9,Araibaria Union Total,0,0,0,0,0,0,0,0
48,27,27,-9,-9,-9,Gobindapur Union Total,2,5,5,0,0,5,0,0
48,27,40,-9,-9,-9,Jinari Union Total,0,0,0,0,0,0,0,0
48,27,54,-9,-9,-9,Pumdi Union Total,0,0,0,0,0,0,0,0
48,27,67,-9,-9,-9,Sahedal Union Total,0,0,0,0,0,0,0,0
48,27,81,-9,-9,-9,Sidhla Union Total,1,2,1,1,0,2,0,0
48,33,-9,-9,-9,-9,Itna Upazila Total,35,194,107,87,194,0,0,0
48,33,-9,-9,-9,1,  Itna Upazila,35,194,107,87,194,0,0,0
