0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
55,-9,-9,-9,-9,-9,Magura Zila Total,1764,8099,4043,4056,36,14,8,8041
55,-9,-9,-9,-9,1, Magura Zila,1646,7561,3780,3781,6,14,8,7533
55,-9,-9,-9,-9,2, Magura Zila,33,172,72,100,30,0,0,142
55,-9,-9,-9,-9,3, Magura Zila,85,366,191,175,0,0,0,366
55,57,-9,-9,-9,-9,Magura Sadar Upazila Total,382,1844,911,933,30,0,8,1806
55,57,-9,-9,-9,1,  Magura Sadar Upazila,349,1672,839,833,0,0,8,1664
55,57,-9,-9,-9,2,  Magura Sadar Upazila,33,172,72,100,30,0,0,142
55,57,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
55,57,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
55,57,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
55,57,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
55,57,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
55,57,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
55,57,07,-9,-9,-9,  Ward No-07 Total,1,3,2,1,0,0,0,3
55,57,08,-9,-9,-9,  Ward No-08 Total,3,37,5,32,30,0,0,7
55,57,09,-9,-9,-9,  Ward No-09 Total,29,132,65,67,0,0,0,132
55,57,21,-9,-9,-9,  Atharakhada Union Total,0,0,0,0,0,0,0,0
55,57,23,-9,-9,-9,  Birail Palita Union Total,0,0,0,0,0,0,0,0
55,57,25,-9,-9,-9,  Bagia Union Total,20,103,50,53,0,0,0,103
55,57,27,-9,-9,-9,  Chaulia Union Total,0,0,0,0,0,0,0,0
55,57,33,-9,-9,-9,  Gopalgram Union Total,14,68,39,29,0,0,0,68
55,57,40,-9,-9,-9,  Hazipur Union Total,45,199,99,100,0,0,0,199
55,57,47,-9,-9,-9,  Hazrapur Union Total,38,178,93,85,0,0,0,178
55,57,54,-9,-9,-9,  Jagdal Union Total,22,102,48,54,0,0,0,102
55,57,61,-9,-9,-9,  Kasundi Union Total,0,0,0,0,0,0,0,0
55,57,67,-9,-9,-9,  Kuchiamora Union Total,99,495,250,245,0,0,0,495
55,57,74,-9,-9,-9,  Maghi Union Total,92,446,220,226,0,0,8,438
55,57,88,-9,-9,-9,  Raghab Dair Union Total,19,81,40,41,0,0,0,81
55,57,94,-9,-9,-9,  Satrujitpur Union Total,0,0,0,0,0,0,0,0
55,66,-9,-9,-9,-9,Mohammadpur Upazila Total,117,520,263,257,0,0,0,520
55,66,-9,-9,-9,1,  Mohammadpur Upazila,63,295,144,151,0,0,0,295
55,66,-9,-9,-9,3,  Mohammadpur Upazila,54,225,119,106,0,0,0,225
55,66,10,-9,-9,-9,  Babukhali Union Total,6,32,15,17,0,0,0,32
55,66,21,-9,-9,-9,  Balidia Union Total,37,165,80,85,0,0,0,165
55,66,31,-9,-9,-9,  Binodepur Union Total,20,98,49,49,0,0,0,98
55,66,42,-9,-9,-9,  Digha Union Total,0,0,0,0,0,0,0,0
55,66,52,-9,-9,-9,Mohammadpur Union Total,54,225,119,106,0,0,0,225
