0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
64,-9,-9,-9,-9,-9,Naogaon Zila Total,28397,116736,57863,58873,34749,24409,14917,42661
64,-9,-9,-9,-9,1, Naogaon Zila,27630,113721,56347,57374,34457,23872,14817,40575
64,-9,-9,-9,-9,2, Naogaon Zila,345,1361,689,672,183,178,18,982
64,-9,-9,-9,-9,3, Naogaon Zila,422,1654,827,827,109,359,82,1104
64,03,-9,-9,-9,-9,Atrai Upazila Total,35,147,77,70,133,8,0,6
64,03,-9,-9,-9,1,  Atrai Upazila,32,138,71,67,124,8,0,6
64,03,-9,-9,-9,3,  Atrai Upazila,3,9,6,3,9,0,0,0
64,03,10,-9,-9,-9,Ahsanganj Union Total,2,9,7,2,9,0,0,0
64,03,10,-9,-9,1,  Ahsanganj Union,2,9,7,2,9,0,0,0
64,03,10,-9,-9,3,  Ahsanganj Union,0,0,0,0,0,0,0,0
64,03,21,-9,-9,-9,Bhopara Union Total,2,11,5,6,11,0,0,0
64,03,21,-9,-9,1,  Bhopara Union,2,11,5,6,11,0,0,0
64,03,21,-9,-9,3,  Bhopara Union,0,0,0,0,0,0,0,0
64,03,31,-9,-9,-9,  Bisha Union Total,9,38,20,18,38,0,0,0
64,03,42,-9,-9,-9,  Hatkalu Para Union Total,8,30,15,15,22,2,0,6
64,03,52,-9,-9,-9,  Kalikapur Union Total,3,11,4,7,11,0,0,0
64,03,63,-9,-9,-9,  Maniari Union Total,1,6,3,3,6,0,0,0
64,03,73,-9,-9,-9,Panchupur Union Total,6,26,14,12,20,6,0,0
64,03,73,-9,-9,1,  Panchupur Union,3,17,8,9,11,6,0,0
64,03,73,-9,-9,3,  Panchupur Union,3,9,6,3,9,0,0,0
64,03,84,-9,-9,-9,  Sahagola Union Total,4,16,9,7,16,0,0,0
64,06,-9,-9,-9,-9,Badalgachhi Upazila Total,2704,10799,5448,5351,3661,30,712,6396
64,06,-9,-9,-9,1,  Badalgachhi Upazila,2553,10219,5172,5047,3661,28,712,5818
64,06,-9,-9,-9,3,  Badalgachhi Upazila,151,580,276,304,0,2,0,578
64,06,10,-9,-9,-9,  Adhaipur Union Total,382,1556,801,755,837,0,6,713
64,06,21,-9,-9,-9,Badalgachhi Union Total,708,2841,1422,1419,0,2,227,2612
64,06,21,-9,-9,1,  Badalgachhi Union,557,2261,1146,1115,0,0,227,2034
64,06,21,-9,-9,3,  Badalgachhi Union,151,580,276,304,0,2,0,578
64,06,31,-9,-9,-9,  Balubhara Union Total,339,1329,667,662,52,0,328,949
64,06,42,-9,-9,-9,  Bilasbari Union Total,17,73,38,35,42,0,0,31
64,06,52,-9,-9,-9,  Pahar Pur Union Total,197,787,415,372,289,0,0,498
64,06,63,-9,-9,-9,  Kola Union Total,136,508,269,239,228,0,112,168
64,06,73,-9,-9,-9,  Mathurapur Union Total,785,3118,1523,1595,1813,28,9,1268
64,06,84,-9,-9,-9,  Mithapur Union Total,140,587,313,274,400,0,30,157
64,28,-9,-9,-9,-9,Dhamoirhat Upazila Total,3116,12332,6190,6142,2205,4769,537,4821
64,28,-9,-9,-9,1,  Dhamoirhat Upazila,2911,11517,5770,5747,2205,4653,537,4122
64,28,-9,-9,-9,2,  Dhamoirhat Upazila,200,782,401,381,0,106,0,676
64,28,-9,-9,-9,3,  Dhamoirhat Upazila,5,33,19,14,0,10,0,23
64,28,01,-9,-9,-9,  Ward No-01 Total,3,14,8,6,0,0,0,14
64,28,02,-9,-9,-9,  Ward No-02 Total,1,3,3,0,0,0,0,3
64,28,03,-9,-9,-9,  Ward No-03 Total,7,36,22,14,0,8,0,28
64,28,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
64,28,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
64,28,06,-9,-9,-9,  Ward No-06 Total,26,98,51,47,0,98,0,0
64,28,07,-9,-9,-9,  Ward No-07 Total,6,17,7,10,0,0,0,17
64,28,08,-9,-9,-9,  Ward No-08 Total,12,38,21,17,0,0,0,38
64,28,09,-9,-9,-9,  Ward No-09 Total,145,576,289,287,0,0,0,576
64,28,10,-9,-9,-9,  Agra Digun Union Total,694,2901,1416,1485,1400,197,335,969
64,28,21,-9,-9,-9,  Alampur Union Total,340,1303,652,651,0,196,86,1021
64,28,31,-9,-9,-9,  Aranagar Union Total,188,704,368,336,0,500,0,204
64,28,42,-9,-9,-9,  Dhamoirhat Union Total,585,2415,1184,1231,0,1905,30,480
64,28,52,-9,-9,-9,  Isabpur Union Total,181,648,341,307,8,175,71,394
64,28,63,-9,-9,-9,Jahanpur Union Total,129,505,252,253,0,156,11,338
64,28,63,-9,-9,1,  Jahanpur Union,124,472,233,239,0,146,11,315
64,28,63,-9,-9,3,  Jahanpur Union,5,33,19,14,0,10,0,23
64,28,77,-9,-9,-9,  Khelna Union Total,628,2425,1248,1177,783,1175,4,463
64,28,84,-9,-9,-9,  Omar Union Total,171,649,328,321,14,359,0,276
64,47,-9,-9,-9,-9,Manda Upazila Total,1021,3960,1974,1986,740,935,67,2218
64,47,-9,-9,-9,1,  Manda Upazila,999,3863,1919,1944,740,935,67,2121
64,47,-9,-9,-9,3,  Manda Upazila,22,97,55,42,0,0,0,97
64,47,12,-9,-9,-9,  Bhalain Union Total,314,1281,647,634,66,126,64,1025
64,47,13,-9,-9,-9,  Bharso Union Total,159,602,289,313,2,141,0,459
