0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
65,-9,-9,-9,-9,-9,Narail Zila Total,208,943,465,478,0,0,419,524
65,-9,-9,-9,-9,1, Narail Zila,123,594,302,292,0,0,133,461
65,-9,-9,-9,-9,2, Narail Zila,13,63,31,32,0,0,0,63
65,-9,-9,-9,-9,3, Narail Zila,72,286,132,154,0,0,286,0
65,28,-9,-9,-9,-9,Kalia Upazila Total,57,282,141,141,0,0,0,282
65,28,-9,-9,-9,1,  Kalia Upazila,57,282,141,141,0,0,0,282
65,28,-9,-9,-9,2,  Kalia Upazila,0,0,0,0,0,0,0,0
65,28,-9,-9,-9,3,  Kalia Upazila,0,0,0,0,0,0,0,0
65,28,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
65,28,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
65,28,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
65,28,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
65,28,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
65,28,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
65,28,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
65,28,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
65,28,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
65,28,13,-9,-9,-9,  Babra Hachla Union Total,0,0,0,0,0,0,0,0
65,28,14,-9,-9,-9,Boranal Eliasabad Union Total,0,0,0,0,0,0,0,0
65,28,14,-9,-9,1,  Boranal Eliasabad Union,0,0,0,0,0,0,0,0
65,28,14,-9,-9,3,  Boranal Eliasabad Union,0,0,0,0,0,0,0,0
65,28,15,-9,-9,-9,  Bauisena Union Total,0,0,0,0,0,0,0,0
65,28,23,-9,-9,-9,  Hamidpur Union Total,0,0,0,0,0,0,0,0
65,28,31,-9,-9,-9,  Chanchari Union Total,2,17,10,7,0,0,0,17
65,28,39,-9,-9,-9,  Joynagar Union Total,0,0,0,0,0,0,0,0
65,28,47,-9,-9,-9,  Kalabaria Union Total,0,0,0,0,0,0,0,0
65,28,63,-9,-9,-9,  Khasial Union Total,0,0,0,0,0,0,0,0
65,28,71,-9,-9,-9,Mauli Union Total,0,0,0,0,0,0,0,0
65,28,71,-9,-9,1,  Mauli Union,0,0,0,0,0,0,0,0
65,28,71,-9,-9,3,  Mauli Union,0,0,0,0,0,0,0,0
65,28,79,-9,-9,-9,  Pahardanga Union Total,0,0,0,0,0,0,0,0
65,28,87,-9,-9,-9,Peruli Union Total,0,0,0,0,0,0,0,0
65,28,87,-9,-9,1,  Peruli Union,0,0,0,0,0,0,0,0
65,28,87,-9,-9,3,  Peruli Union,0,0,0,0,0,0,0,0
65,28,94,-9,-9,-9,  Purulia Union Total,55,265,131,134,0,0,0,265
65,28,95,-9,-9,-9,Salamabad Union Total,0,0,0,0,0,0,0,0
65,28,95,-9,-9,1,  Salamabad Union,0,0,0,0,0,0,0,0
65,28,95,-9,-9,3,  Salamabad Union,0,0,0,0,0,0,0,0
65,52,-9,-9,-9,-9,Lohagara Upazila Total,18,85,44,41,0,0,0,85
