0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
68,-9,-9,-9,-9,-9,Narsingdi Zila Total,44,208,109,99,52,39,8,109
68,-9,-9,-9,-9,1, Narsingdi Zila,34,179,93,86,52,24,2,101
68,-9,-9,-9,-9,2, Narsingdi Zila,10,29,16,13,0,15,6,8
68,-9,-9,-9,-9,3, Narsingdi Zila,0,0,0,0,0,0,0,0
68,07,-9,-9,-9,-9,Belabo Upazila Total,12,54,28,26,26,0,0,28
68,07,-9,-9,-9,1,  Belabo Upazila,12,54,28,26,26,0,0,28
68,07,-9,-9,-9,3,  Belabo Upazila,0,0,0,0,0,0,0,0
68,07,11,-9,-9,-9,Amlaba Union Total,1,4,3,1,0,0,0,4
68,07,13,-9,-9,-9,Bajnaba Union Total,0,0,0,0,0,0,0,0
68,07,13,-9,-9,1,  Bajnaba Union,0,0,0,0,0,0,0,0
68,07,13,-9,-9,3,  Bajnaba Union,0,0,0,0,0,0,0,0
68,07,20,-9,-9,-9,Belabo Union Total,0,0,0,0,0,0,0,0
68,07,20,-9,-9,3,  Belabo Union,0,0,0,0,0,0,0,0
68,07,25,-9,-9,-9,Binyabaid Union Total,0,0,0,0,0,0,0,0
68,07,31,-9,-9,-9,Char Ujilaba Union Total,0,0,0,0,0,0,0,0
68,07,59,-9,-9,-9,Narayanpur Union Total,11,50,25,25,26,0,0,24
68,07,71,-9,-9,-9,Patuli Union Total,0,0,0,0,0,0,0,0
68,07,83,-9,-9,-9,Sallabad Union Total,0,0,0,0,0,0,0,0
68,52,-9,-9,-9,-9,Manohardi Upazila Total,8,47,22,25,0,12,0,35
68,52,-9,-9,-9,1,  Manohardi Upazila,8,47,22,25,0,12,0,35
68,52,-9,-9,-9,2,  Manohardi Upazila,0,0,0,0,0,0,0,0
68,52,-9,-9,-9,3,  Manohardi Upazila,0,0,0,0,0,0,0,0
0,0,0,0,68,52,Manohardi Paurashava,0,68,52,01,   ,  ,       ,Ward No-01 Total
68,52,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
68,52,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
68,52,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
68,52,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
68,52,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
68,52,06,-9,-9,-9,Ward No-06 Total,0,0,0,0,0,0,0,0
68,52,07,-9,-9,-9,Ward No-07 Total,0,0,0,0,0,0,0,0
68,52,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
68,52,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
68,52,21,-9,-9,-9,Bara Chapa Union Total,0,0,0,0,0,0,0,0
68,52,27,-9,-9,-9,Chalak Char Union Total,0,0,0,0,0,0,0,0
68,52,33,-9,-9,-9,Chandanbari Union Total,0,0,0,0,0,0,0,0
68,52,33,-9,-9,1,  Chandanbari Union,0,0,0,0,0,0,0,0
68,52,33,-9,-9,3,  Chandanbari Union,0,0,0,0,0,0,0,0
68,52,40,-9,-9,-9,Char Mandalia Union Total,5,30,15,15,0,0,0,30
68,52,47,-9,-9,-9,Daulatpur Union Total,1,5,3,2,0,0,0,5
68,52,54,-9,-9,-9,Ekduaria Union Total,0,0,0,0,0,0,0,0
68,52,61,-9,-9,-9,Gotashia Union Total,0,0,0,0,0,0,0,0
68,52,67,-9,-9,-9,Kanchikata Union Total,0,0,0,0,0,0,0,0
68,52,67,-9,-9,1,  Kanchikata Union,0,0,0,0,0,0,0,0
68,52,67,-9,-9,3,  Kanchikata Union,0,0,0,0,0,0,0,0
68,52,74,-9,-9,-9,Khidirpur Union Total,1,7,3,4,0,7,0,0
68,52,81,-9,-9,-9,Lebutala Union Total,1,5,1,4,0,5,0,0
68,52,94,-9,-9,-9,Shukundi Union Total,0,0,0,0,0,0,0,0
68,52,94,-9,-9,1,  Shukundi Union,0,0,0,0,0,0,0,0
68,52,94,-9,-9,3,  Shukundi Union,0,0,0,0,0,0,0,0
68,60,-9,-9,-9,-9,Narsingdi Sadar Upazila Total,11,38,24,14,0,22,8,8
68,60,-9,-9,-9,1,  Narsingdi Sadar Upazila,4,18,12,6,0,12,2,4
68,60,-9,-9,-9,2,  Narsingdi Sadar Upazila,7,20,12,8,0,10,6,4
68,60,-9,-9,-9,3,  Narsingdi Sadar Upazila,0,0,0,0,0,0,0,0
0,0,0,0,68,60,Madhabdi Paurashava,0,68,60,01,   ,  ,       ,Ward No-01 (Madhabdi) Total
68,60,01,-9,-9,-9,Ward No-01 (Madhabdi) Total,1,4,4,0,0,0,0,4
68,60,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
68,60,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
68,60,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
68,60,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
68,60,06,-9,-9,-9,Ward No-06 Total,1,3,3,0,0,0,3,0
68,60,07,-9,-9,-9,Ward No-07 Total,1,3,2,1,0,0,3,0
68,60,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
68,60,09,-9,-9,-9,Ward No-09 Total,1,1,1,0,0,1,0,0
0,1,0,0,68,60,Narsingdi Paurashava,0,68,60,11,   ,  ,       ,Ward No-01 (Narsingdi) Total
68,60,11,-9,-9,-9,Ward No-01 (Narsingdi) Total,1,5,1,4,0,5,0,0
68,60,12,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
68,60,13,-9,-9,-9,Ward No-03 Total,1,2,0,2,0,2,0,0
68,60,14,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
68,60,15,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
68,60,16,-9,-9,-9,Ward No-06 Total,0,0,0,0,0,0,0,0
68,60,17,-9,-9,-9,Ward No-07 Total,0,0,0,0,0,0,0,0
68,60,18,-9,-9,-9,Ward No-08 Total,1,2,1,1,0,2,0,0
68,60,19,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
68,60,20,-9,-9,-9,Alokbali Union Total,0,0,0,0,0,0,0,0
68,60,21,-9,-9,-9,Amdia Union Total,0,0,0,0,0,0,0,0
68,60,23,-9,-9,-9,Char Dighaldi Union Total,0,0,0,0,0,0,0,0
68,60,25,-9,-9,-9,Chinishpur Union Total,0,0,0,0,0,0,0,0
68,60,25,-9,-9,1,  Chinishpur Union,0,0,0,0,0,0,0,0
68,60,25,-9,-9,3,  Chinishpur Union,0,0,0,0,0,0,0,0
68,60,29,-9,-9,-9,Hajipur Union Total,0,0,0,0,0,0,0,0
68,60,41,-9,-9,-9,Karimpur Union Total,0,0,0,0,0,0,0,0
68,60,47,-9,-9,-9,Kanthalia Union Total,0,0,0,0,0,0,0,0
68,60,47,-9,-9,1,  Kanthalia Union,0,0,0,0,0,0,0,0
68,60,47,-9,-9,3,  Kanthalia Union,0,0,0,0,0,0,0,0
68,60,53,-9,-9,-9,Nuralla Pur U/C Union Total,0,0,0,0,0,0,0,0
68,60,53,-9,-9,1,  Nuralla Pur U/C Union,0,0,0,0,0,0,0,0
68,60,53,-9,-9,3,  Nuralla Pur U/C Union,0,0,0,0,0,0,0,0
68,60,59,-9,-9,-9,Mahishasura Union Total,0,0,0,0,0,0,0,0
68,60,59,-9,-9,1,  Mahishasura Union,0,0,0,0,0,0,0,0
68,60,59,-9,-9,3,  Mahishasura Union,0,0,0,0,0,0,0,0
68,60,65,-9,-9,-9,Meher Para Union Total,3,6,6,0,0,0,2,4
68,60,77,-9,-9,-9,Nazarpur Union Total,0,0,0,0,0,0,0,0
68,60,83,-9,-9,-9,Paikar Char Union Total,0,0,0,0,0,0,0,0
68,60,89,-9,-9,-9,Panchdona Union Total,0,0,0,0,0,0,0,0
68,60,95,-9,-9,-9,Silmandi Union Total,1,12,6,6,0,12,0,0
68,63,-9,-9,-9,-9,Palash Upazila Total,6,31,15,16,0,5,0,26
68,63,-9,-9,-9,1,  Palash Upazila,3,22,11,11,0,0,0,22
68,63,-9,-9,-9,2,  Palash Upazila,3,9,4,5,0,5,0,4
68,63,-9,-9,-9,3,  Palash Upazila,0,0,0,0,0,0,0,0
0,0,0,0,68,63,Ghorashal Paurashava,0,68,63,01,   ,  ,       ,Ward No-01 Total
68,63,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
68,63,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
68,63,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
68,63,04,-9,-9,-9,Ward No-04 Total,1,2,2,0,0,2,0,0
