0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
76,-9,-9,-9,-9,-9,Pabna Zila Total,503,1973,973,1000,259,217,60,1437
76,-9,-9,-9,-9,1, Pabna Zila,477,1888,934,954,259,217,56,1356
76,-9,-9,-9,-9,2, Pabna Zila,26,85,39,46,0,0,4,81
76,05,-9,-9,-9,-9,Atgharia Upazila Total,0,0,0,0,0,0,0,0
76,05,-9,-9,-9,1,  Atgharia Upazila,0,0,0,0,0,0,0,0
76,05,-9,-9,-9,2,  Atgharia Upazila,0,0,0,0,0,0,0,0
76,05,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
76,05,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
76,05,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
76,05,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
76,05,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
76,05,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
76,05,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
76,05,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
76,05,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
76,05,15,-9,-9,-9,  Chandba Union Total,0,0,0,0,0,0,0,0
76,05,31,-9,-9,-9,  Debottar Union Total,0,0,0,0,0,0,0,0
76,05,47,-9,-9,-9,  Ekdanta Union Total,0,0,0,0,0,0,0,0
76,05,63,-9,-9,-9,  Lakshmipur Union Total,0,0,0,0,0,0,0,0
76,05,79,-9,-9,-9,  Majh Para Union Total,0,0,0,0,0,0,0,0
76,16,-9,-9,-9,-9,Bera Upazila Total,1,3,2,1,0,0,0,3
76,16,-9,-9,-9,1,  Bera Upazila,1,3,2,1,0,0,0,3
76,16,-9,-9,-9,2,  Bera Upazila,0,0,0,0,0,0,0,0
76,16,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
76,16,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
76,16,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
76,16,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
76,16,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
76,16,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
76,16,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
76,16,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
76,16,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
76,16,15,-9,-9,-9,  Chakla Union Total,0,0,0,0,0,0,0,0
76,16,21,-9,-9,-9,  Dhalar Char Union Total,0,0,0,0,0,0,0,0
76,16,31,-9,-9,-9,  Haturia Nakalia Union Total,0,0,0,0,0,0,0,0
76,16,42,-9,-9,-9,  Jatsakhni Union Total,1,3,2,1,0,0,0,3
76,16,47,-9,-9,-9,  Kytola Union Total,0,0,0,0,0,0,0,0
