0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
77,-9,-9,-9,-9,-9,Panchagarh Zila Total,386,1528,751,777,920,168,63,377
77,-9,-9,-9,-9,1, Panchagarh Zila,369,1454,709,745,859,168,63,364
77,-9,-9,-9,-9,2, Panchagarh Zila,4,13,8,5,0,0,0,13
77,-9,-9,-9,-9,3, Panchagarh Zila,13,61,34,27,61,0,0,0
77,04,-9,-9,-9,-9,Atwari Upazila Total,67,262,132,130,152,8,0,102
77,04,-9,-9,-9,1,  Atwari Upazila,61,234,115,119,124,8,0,102
77,04,-9,-9,-9,3,  Atwari Upazila,6,28,17,11,28,0,0,0
77,04,13,-9,-9,-9,   Alowa Khowa Union Total,9,35,18,17,22,8,0,5
77,04,27,-9,-9,-9,   Balarampur Union Total,22,82,46,36,82,0,0,0
77,04,40,-9,-9,-9,   Dhamor Union Total,0,0,0,0,0,0,0,0
77,04,54,-9,-9,-9,   Mirzapur Union Total,15,58,24,34,5,0,0,53
77,04,67,-9,-9,-9,Radhanagar Union Total,20,82,41,41,38,0,0,44
77,04,67,-9,-9,1,  Radhanagar Union,14,54,24,30,10,0,0,44
77,04,67,-9,-9,3,  Radhanagar Union,6,28,17,11,28,0,0,0
77,04,81,-9,-9,-9,Taria Union Total,1,5,3,2,5,0,0,0
77,04,81,-9,-9,1,  Taria Union,1,5,3,2,5,0,0,0
77,04,81,-9,-9,3,  Taria Union,0,0,0,0,0,0,0,0
77,25,-9,-9,-9,-9,Boda Upazila Total,121,482,231,251,303,0,63,116
77,25,-9,-9,-9,1,  Boda Upazila,117,469,223,246,303,0,63,103
77,25,-9,-9,-9,2,  Boda Upazila,4,13,8,5,0,0,0,13
77,25,-9,-9,-9,3,  Boda Upazila,0,0,0,0,0,0,0,0
77,25,01,-9,-9,-9,   Ward No-01 Total,0,0,0,0,0,0,0,0
77,25,02,-9,-9,-9,   Ward No-02 Total,0,0,0,0,0,0,0,0
77,25,03,-9,-9,-9,   Ward No-03 Total,3,10,6,4,0,0,0,10
77,25,04,-9,-9,-9,   Ward No-04 Total,0,0,0,0,0,0,0,0
77,25,05,-9,-9,-9,   Ward No-05 Total,0,0,0,0,0,0,0,0
77,25,06,-9,-9,-9,   Ward No-06 Total,0,0,0,0,0,0,0,0
77,25,07,-9,-9,-9,   Ward No-07 Total,0,0,0,0,0,0,0,0
77,25,08,-9,-9,-9,   Ward No-08 Total,0,0,0,0,0,0,0,0
77,25,09,-9,-9,-9,   Ward No-09 Total,1,3,2,1,0,0,0,3
77,25,12,-9,-9,-9,   Bara Shashi Union Total,0,0,0,0,0,0,0,0
77,25,14,-9,-9,-9,   Benghari Banagram Union Total,23,98,46,52,98,0,0,0
77,25,21,-9,-9,-9,   Boda Union Total,43,153,73,80,153,0,0,0
77,25,29,-9,-9,-9,   Chandanbari Union Total,0,0,0,0,0,0,0,0
