0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
79,-9,-9,-9,-9,-9,Pirojpur Zila Total,13,53,26,27,37,6,4,6
79,-9,-9,-9,-9,1, Pirojpur Zila,11,47,23,24,37,0,4,6
79,-9,-9,-9,-9,2, Pirojpur Zila,1,2,1,1,0,2,0,0
79,-9,-9,-9,-9,3, Pirojpur Zila,1,4,2,2,0,4,0,0
79,14,-9,-9,-9,-9,Bhandaria Upazila Total,0,0,0,0,0,0,0,0
79,14,-9,-9,-9,1,  Bhandaria Upazila,0,0,0,0,0,0,0,0
79,14,-9,-9,-9,3,  Bhandaria Upazila,0,0,0,0,0,0,0,0
79,14,11,-9,-9,-9,Bhandaria Union Total,0,0,0,0,0,0,0,0
79,14,11,-9,-9,1,  Bhandaria Union,0,0,0,0,0,0,0,0
79,14,11,-9,-9,3,  Bhandaria Union,0,0,0,0,0,0,0,0
79,14,23,-9,-9,-9,  Bhitabaria Union Total,0,0,0,0,0,0,0,0
79,14,35,-9,-9,-9,  Dhaoa Union Total,0,0,0,0,0,0,0,0
79,14,47,-9,-9,-9,  Gauripur Union Total,0,0,0,0,0,0,0,0
79,14,59,-9,-9,-9,  Ikri Union Total,0,0,0,0,0,0,0,0
79,14,71,-9,-9,-9,Nudmulla Union Total,0,0,0,0,0,0,0,0
79,14,71,-9,-9,1,  Nudmulla Union,0,0,0,0,0,0,0,0
79,14,71,-9,-9,3,  Nudmulla Union,0,0,0,0,0,0,0,0
79,14,83,-9,-9,-9,  Telikhali Union Total,0,0,0,0,0,0,0,0
79,47,-9,-9,-9,-9,Kawkhali Upazila Total,0,0,0,0,0,0,0,0
79,47,-9,-9,-9,1,  Kawkhali Upazila,0,0,0,0,0,0,0,0
79,47,-9,-9,-9,3,  Kawkhali Upazila,0,0,0,0,0,0,0,0
79,47,15,-9,-9,-9,Amrajuri Union Total,0,0,0,0,0,0,0,0
79,47,15,-9,-9,1,  Amrajuri Union,0,0,0,0,0,0,0,0
79,47,15,-9,-9,3,  Amrajuri Union,0,0,0,0,0,0,0,0
79,47,31,-9,-9,-9,  Chira Para Parsaturia Union Total,0,0,0,0,0,0,0,0
79,47,47,-9,-9,-9,Kawkhali Union Total,0,0,0,0,0,0,0,0
79,47,47,-9,-9,1,  Kawkhali Union,0,0,0,0,0,0,0,0
79,47,47,-9,-9,3,  Kawkhali Union,0,0,0,0,0,0,0,0
79,47,63,-9,-9,-9,  Sayna Raghunathpur Union Total,0,0,0,0,0,0,0,0
79,47,79,-9,-9,-9,  Shialkati Union Total,0,0,0,0,0,0,0,0
79,58,-9,-9,-9,-9,Mathbaria Upazila Total,12,51,25,26,37,4,4,6
79,58,-9,-9,-9,1,  Mathbaria Upazila,11,47,23,24,37,0,4,6
79,58,-9,-9,-9,2,  Mathbaria Upazila,0,0,0,0,0,0,0,0
79,58,-9,-9,-9,3,  Mathbaria Upazila,1,4,2,2,0,4,0,0
79,58,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
79,58,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
