0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
82,-9,-9,-9,-9,-9,Rajbari Zila Total,293,1285,612,673,250,151,31,853
82,-9,-9,-9,-9,1, Rajbari Zila,282,1238,586,652,250,151,31,806
82,-9,-9,-9,-9,2, Rajbari Zila,0,0,0,0,0,0,0,0
82,-9,-9,-9,-9,3, Rajbari Zila,11,47,26,21,0,0,0,47
82,07,-9,-9,-9,-9,Baliakandi Upazila Total,148,681,326,355,250,0,0,431
82,07,-9,-9,-9,1,  Baliakandi Upazila,148,681,326,355,250,0,0,431
82,07,-9,-9,-9,3,  Baliakandi Upazila,0,0,0,0,0,0,0,0
82,07,17,-9,-9,-9,Baharpur Union Total,65,278,142,136,250,0,0,28
82,07,17,-9,-9,1,  Baharpur Union,65,278,142,136,250,0,0,28
82,07,17,-9,-9,3,  Baharpur Union,0,0,0,0,0,0,0,0
82,07,19,-9,-9,-9,Baliakandi Union Total,0,0,0,0,0,0,0,0
82,07,19,-9,-9,1,  Baliakandi Union,0,0,0,0,0,0,0,0
82,07,19,-9,-9,3,  Baliakandi Union,0,0,0,0,0,0,0,0
82,07,47,-9,-9,-9,Islampur Union Total,0,0,0,0,0,0,0,0
82,07,57,-9,-9,-9,Jamalpur Union Total,83,403,184,219,0,0,0,403
82,07,66,-9,-9,-9,Jangal Union Total,0,0,0,0,0,0,0,0
82,07,85,-9,-9,-9,Narua Union Total,0,0,0,0,0,0,0,0
82,07,95,-9,-9,-9,Nawabpur Union Total,0,0,0,0,0,0,0,0
82,29,-9,-9,-9,-9,Goalanda Upazila Total,0,0,0,0,0,0,0,0
82,29,-9,-9,-9,1,  Goalanda Upazila,0,0,0,0,0,0,0,0
82,29,-9,-9,-9,2,  Goalanda Upazila,0,0,0,0,0,0,0,0
82,29,-9,-9,-9,3,  Goalanda Upazila,0,0,0,0,0,0,0,0
0,0,0,0,82,29,Goalandaghat Paurashava,0,82,29,01,   ,  ,       ,Ward No-01 Total
82,29,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
82,29,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
82,29,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
82,29,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
82,29,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
82,29,06,-9,-9,-9,Ward No-06 Total,0,0,0,0,0,0,0,0
82,29,07,-9,-9,-9,Ward No-07 Total,0,0,0,0,0,0,0,0
82,29,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
82,29,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
82,29,19,-9,-9,-9,Chhota Bhakla Union Total,0,0,0,0,0,0,0,0
