0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
87,-9,-9,-9,-9,-9,Satkhira Zila Total,571,2615,1278,1337,2131,262,105,117
87,-9,-9,-9,-9,1, Satkhira Zila,563,2585,1264,1321,2115,262,105,103
87,-9,-9,-9,-9,2, Satkhira Zila,4,14,5,9,0,0,0,14
87,-9,-9,-9,-9,3, Satkhira Zila,4,16,9,7,16,0,0,0
87,04,-9,-9,-9,-9,Assasuni Upazila Total,59,287,145,142,0,151,105,31
87,04,-9,-9,-9,1,  Assasuni Upazila,59,287,145,142,0,151,105,31
87,04,-9,-9,-9,3,  Assasuni Upazila,0,0,0,0,0,0,0,0
87,04,15,-9,-9,-9,  Anulia Union Total,1,4,2,2,0,4,0,0
87,04,17,-9,-9,-9,Assasuni Union Total,0,0,0,0,0,0,0,0
87,04,17,-9,-9,1,  Assasuni Union,0,0,0,0,0,0,0,0
87,04,17,-9,-9,3,  Assasuni Union,0,0,0,0,0,0,0,0
87,04,25,-9,-9,-9,  Baradal Union Total,0,0,0,0,0,0,0,0
87,04,34,-9,-9,-9,  Budhhata Union Total,0,0,0,0,0,0,0,0
87,04,43,-9,-9,-9,  Durgapur Union Total,0,0,0,0,0,0,0,0
87,04,56,-9,-9,-9,  Kadakati Union Total,0,0,0,0,0,0,0,0
87,04,60,-9,-9,-9,  Khajra Union Total,33,167,84,83,0,147,0,20
87,04,69,-9,-9,-9,  Kulla Union Total,1,5,2,3,0,0,0,5
87,04,77,-9,-9,-9,  Pratap Nagar Union Total,1,6,6,0,0,0,0,6
87,04,86,-9,-9,-9,  Sobhnali Union Total,23,105,51,54,0,0,105,0
87,04,94,-9,-9,-9,  Sreeula Union Total,0,0,0,0,0,0,0,0
87,25,-9,-9,-9,-9,Debhata Upazila Total,0,0,0,0,0,0,0,0
87,25,-9,-9,-9,1,  Debhata Upazila,0,0,0,0,0,0,0,0
87,25,-9,-9,-9,3,  Debhata Upazila,0,0,0,0,0,0,0,0
