0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
89,-9,-9,-9,-9,-9,Sherpur Zila Total,4196,16231,8091,8140,8456,2898,1839,3038
89,-9,-9,-9,-9,1, Sherpur Zila,4031,15566,7746,7820,8070,2820,1835,2841
89,-9,-9,-9,-9,2, Sherpur Zila,161,650,335,315,382,78,4,186
89,-9,-9,-9,-9,3, Sherpur Zila,4,15,10,5,4,0,0,11
89,37,-9,-9,-9,-9,Jhenaigati Upazila Total,1530,5931,2981,2950,3040,659,1414,818
89,37,-9,-9,-9,1,  Jhenaigati Upazila,1526,5916,2971,2945,3036,659,1414,807
89,37,-9,-9,-9,3,  Jhenaigati Upazila,4,15,10,5,4,0,0,11
89,37,12,-9,-9,-9,  Dhanshail Union Total,164,623,315,308,73,322,0,228
89,37,15,-9,-9,-9,  Gauripur Union Total,180,727,365,362,714,13,0,0
89,37,17,-9,-9,-9,  Hatibandha Malijhikanda Union Total,0,0,0,0,0,0,0,0
89,37,25,-9,-9,-9,Jhenaigati Union Total,67,231,112,119,17,104,0,110
89,37,25,-9,-9,1,  Jhenaigati Union,63,216,102,114,13,104,0,99
89,37,25,-9,-9,3,  Jhenaigati Union,4,15,10,5,4,0,0,11
89,37,43,-9,-9,-9,  Kangsha Union Total,690,2577,1298,1279,1309,211,871,186
89,37,50,-9,-9,-9,  Malijhikanda Union Total,3,12,6,6,0,9,0,3
89,37,60,-9,-9,-9,  Nalkura Union Total,426,1761,885,876,927,0,543,291
89,67,-9,-9,-9,-9,Nakla Upazila Total,10,26,13,13,17,0,0,9
89,67,-9,-9,-9,1,  Nakla Upazila,7,14,6,8,5,0,0,9
89,67,-9,-9,-9,2,  Nakla Upazila,3,12,7,5,12,0,0,0
89,67,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
89,67,02,-9,-9,-9,  Ward No-02 Total,2,11,6,5,11,0,0,0
89,67,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
89,67,04,-9,-9,-9,  Ward No-04 Total,1,1,1,0,1,0,0,0
89,67,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
89,67,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
89,67,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
89,67,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
89,67,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
89,67,17,-9,-9,-9,  Baneshwardi Union Total,0,0,0,0,0,0,0,0
89,67,19,-9,-9,-9,  Chandrakona Union Total,0,0,0,0,0,0,0,0
89,67,28,-9,-9,-9,  Char Ashtadhar Union Total,1,1,0,1,0,0,0,1
89,67,38,-9,-9,-9,  Ganapaddi Union Total,0,0,0,0,0,0,0,0
89,67,47,-9,-9,-9,  Gourdwar Union Total,0,0,0,0,0,0,0,0
89,67,57,-9,-9,-9,  Nakla Union Total,0,0,0,0,0,0,0,0
89,67,66,-9,-9,-9,  Pathakata Union Total,1,1,1,0,1,0,0,0
89,67,76,-9,-9,-9,  Talki Union Total,2,8,2,6,0,0,0,8
89,67,85,-9,-9,-9,  Urpha Union Total,3,4,3,1,4,0,0,0
89,70,-9,-9,-9,-9,Nalitabari Upazila Total,1898,7128,3476,3652,3447,1776,317,1588
89,70,-9,-9,-9,1,  Nalitabari Upazila,1885,7085,3457,3628,3409,1774,314,1588
89,70,-9,-9,-9,2,  Nalitabari Upazila,13,43,19,24,38,2,3,0
89,70,01,-9,-9,-9,  Ward No-01 Total,1,3,0,3,0,0,3,0
89,70,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
89,70,03,-9,-9,-9,  Ward No-03 Total,2,5,1,4,3,2,0,0
89,70,04,-9,-9,-9,  Ward No-04 Total,0,0,0,0,0,0,0,0
89,70,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
89,70,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
89,70,07,-9,-9,-9,  Ward No-07 Total,5,16,8,8,16,0,0,0
89,70,08,-9,-9,-9,  Ward No-08 Total,5,19,10,9,19,0,0,0
89,70,09,-9,-9,-9,  Ward No-09 Total,0,0,0,0,0,0,0,0
89,70,30,-9,-9,-9,  Baghber Union Total,367,1443,730,713,35,1200,0,208
89,70,34,-9,-9,-9,  Jogania Union Total,0,0,0,0,0,0,0,0
89,70,38,-9,-9,-9,  Kakarkandi Union Total,232,830,394,436,572,0,0,258
89,70,41,-9,-9,-9,  Kalaspur Union Total,15,46,25,21,1,19,0,26
89,70,51,-9,-9,-9,  Nalitabari Union Total,43,168,81,87,16,40,0,112
89,70,55,-9,-9,-9,  Nayabil Union Total,410,1537,720,817,756,479,50,252
89,70,69,-9,-9,-9,  Nunni Union Total,59,219,103,116,66,32,0,121
89,70,72,-9,-9,-9,  Marichpura Union Total,12,39,23,16,31,0,0,8
89,70,75,-9,-9,-9,  Poragaon Union Total,254,1006,507,499,738,0,264,4
89,70,77,-9,-9,-9,  Rajnagar Union Total,2,5,2,3,1,4,0,0
89,70,86,-9,-9,-9,  Ramchandrakura Mandalia Union Total,333,1239,604,635,882,0,0,357
