0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
88,-9,-9,-9,-9,-9,Sirajganj Zila Total,4688,19772,9583,10189,5170,723,621,13258
88,-9,-9,-9,-9,1, Sirajganj Zila,4643,19596,9501,10095,5170,723,621,13082
88,-9,-9,-9,-9,2, Sirajganj Zila,44,173,80,93,0,0,0,173
88,-9,-9,-9,-9,3, Sirajganj Zila,1,3,2,1,0,0,0,3
88,11,-9,-9,-9,-9,Belkuchi Upazila Total,6,22,11,11,0,0,0,22
88,11,-9,-9,-9,1,  Belkuchi Upazila,3,14,7,7,0,0,0,14
88,11,-9,-9,-9,2,  Belkuchi Upazila,3,8,4,4,0,0,0,8
88,11,01,-9,-9,-9,  Ward No-01 Total,0,0,0,0,0,0,0,0
88,11,02,-9,-9,-9,  Ward No-02 Total,0,0,0,0,0,0,0,0
88,11,03,-9,-9,-9,  Ward No-03 Total,0,0,0,0,0,0,0,0
88,11,04,-9,-9,-9,  Ward No-04 Total,2,7,3,4,0,0,0,7
88,11,05,-9,-9,-9,  Ward No-05 Total,0,0,0,0,0,0,0,0
88,11,06,-9,-9,-9,  Ward No-06 Total,0,0,0,0,0,0,0,0
88,11,07,-9,-9,-9,  Ward No-07 Total,0,0,0,0,0,0,0,0
88,11,08,-9,-9,-9,  Ward No-08 Total,0,0,0,0,0,0,0,0
88,11,09,-9,-9,-9,  Ward No-09 Total,1,1,1,0,0,0,0,1
88,11,13,-9,-9,-9,  Bara Dhul Union Total,0,0,0,0,0,0,0,0
88,11,27,-9,-9,-9,  Belkuchi Union Total,0,0,0,0,0,0,0,0
88,11,40,-9,-9,-9,  Bhangabari Union Total,0,0,0,0,0,0,0,0
88,11,54,-9,-9,-9,  Daulatpur Union Total,2,10,5,5,0,0,0,10
88,11,67,-9,-9,-9,  Dhukaria Bera Union Total,1,4,2,2,0,0,0,4
88,11,81,-9,-9,-9,  Rajapur Union Total,0,0,0,0,0,0,0,0
88,27,-9,-9,-9,-9,Chauhali Upazila Total,1,3,2,1,0,0,0,3
88,27,-9,-9,-9,1,  Chauhali Upazila,0,0,0,0,0,0,0,0
88,27,-9,-9,-9,3,  Chauhali Upazila,1,3,2,1,0,0,0,3
