0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
90,-9,-9,-9,-9,-9,Sunamganj Zila Total,1454,6911,3521,3390,454,0,0,6457
90,-9,-9,-9,-9,1, Sunamganj Zila,1424,6772,3450,3322,431,0,0,6341
90,-9,-9,-9,-9,2, Sunamganj Zila,25,114,57,57,23,0,0,91
90,-9,-9,-9,-9,3, Sunamganj Zila,5,25,14,11,0,0,0,25
90,18,-9,-9,-9,-9,Bishwambarpur Upazila Total,85,400,186,214,33,0,0,367
90,18,-9,-9,-9,1,  Bishwambarpur Upazila,85,400,186,214,33,0,0,367
90,18,-9,-9,-9,3,  Bishwambarpur Upazila,0,0,0,0,0,0,0,0
90,18,17,-9,-9,-9,Dakshin Badaghat Union Total,0,0,0,0,0,0,0,0
90,18,20,-9,-9,-9,Dhonpur Union Total,44,174,68,106,0,0,0,174
90,18,34,-9,-9,-9,Fatehpur Union Total,34,193,105,88,0,0,0,193
90,18,77,-9,-9,-9,Palash Union Total,3,12,7,5,12,0,0,0
90,18,77,-9,-9,1,  Palash Union,3,12,7,5,12,0,0,0
90,18,77,-9,-9,3,  Palash Union,0,0,0,0,0,0,0,0
90,18,80,-9,-9,-9,Sholukabad Union Total,4,21,6,15,21,0,0,0
90,23,-9,-9,-9,-9,Chhatak Upazila Total,90,452,243,209,399,0,0,53
90,23,-9,-9,-9,1,  Chhatak Upazila,88,445,240,205,396,0,0,49
90,23,-9,-9,-9,2,  Chhatak Upazila,2,7,3,4,3,0,0,4
90,23,-9,-9,-9,3,  Chhatak Upazila,0,0,0,0,0,0,0,0
0,0,0,0,90,23,Chhatak Paurashava,0,90,23,01,   ,  ,       ,Ward No-01 Total
90,23,01,-9,-9,-9,Ward No-01 Total,0,0,0,0,0,0,0,0
90,23,02,-9,-9,-9,Ward No-02 Total,0,0,0,0,0,0,0,0
90,23,03,-9,-9,-9,Ward No-03 Total,0,0,0,0,0,0,0,0
90,23,04,-9,-9,-9,Ward No-04 Total,0,0,0,0,0,0,0,0
90,23,05,-9,-9,-9,Ward No-05 Total,0,0,0,0,0,0,0,0
90,23,06,-9,-9,-9,Ward No-06 Total,1,4,1,3,0,0,0,4
90,23,07,-9,-9,-9,Ward No-07 Total,1,3,2,1,3,0,0,0
90,23,08,-9,-9,-9,Ward No-08 Total,0,0,0,0,0,0,0,0
90,23,09,-9,-9,-9,Ward No-09 Total,0,0,0,0,0,0,0,0
90,23,11,-9,-9,-9,Bhatgaon Union Total,0,0,0,0,0,0,0,0
90,23,13,-9,-9,-9,Chhatak Union Total,0,0,0,0,0,0,0,0
90,23,13,-9,-9,1,  Chhatak Union,0,0,0,0,0,0,0,0
90,23,13,-9,-9,3,  Chhatak Union,0,0,0,0,0,0,0,0
90,23,14,-9,-9,-9,Charmohalla Union Total,1,7,3,4,0,0,0,7
90,23,38,-9,-9,-9,Dular Bazar Union Total,5,30,13,17,0,0,0,30
90,23,42,-9,-9,-9,Dakshin Khurma Union Total,0,0,0,0,0,0,0,0
