0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
91,-9,-9,-9,-9,-9,Sylhet Zila Total,2495,12781,6470,6311,3068,1472,457,7784
91,-9,-9,-9,-9,1, Sylhet Zila,1890,9554,4919,4635,604,1250,364,7336
91,-9,-9,-9,-9,2, Sylhet Zila,500,2666,1291,1375,2290,6,75,295
91,-9,-9,-9,-9,3, Sylhet Zila,105,561,260,301,174,216,18,153
91,08,-9,-9,-9,-9,Balaganj Upazila Total,2,9,3,6,9,0,0,0
91,08,-9,-9,-9,1,  Balaganj Upazila,2,9,3,6,9,0,0,0
91,08,-9,-9,-9,3,  Balaganj Upazila,0,0,0,0,0,0,0,0
91,08,11,-9,-9,-9,Balaganj Union Total,0,0,0,0,0,0,0,0
91,08,11,-9,-9,1,  Balaganj Union,0,0,0,0,0,0,0,0
91,08,11,-9,-9,3,  Balaganj Union,0,0,0,0,0,0,0,0
91,08,13,-9,-9,-9,Boaljur Bazar Union Total,0,0,0,0,0,0,0,0
91,08,20,-9,-9,-9,Burunga Union Total,0,0,0,0,0,0,0,0
91,08,27,-9,-9,-9,Dayamir Union Total,0,0,0,0,0,0,0,0
91,08,33,-9,-9,-9,Dewan Bazar Union Total,0,0,0,0,0,0,0,0
91,08,40,-9,-9,-9,Goula Bazar Union Total,0,0,0,0,0,0,0,0
91,08,51,-9,-9,-9,Omarpur Union Total,1,4,1,3,4,0,0,0
91,08,55,-9,-9,-9,Osmanpur Union Total,0,0,0,0,0,0,0,0
91,08,60,-9,-9,-9,Paschim Gauripur Union Total,0,0,0,0,0,0,0,0
91,08,64,-9,-9,-9,Paschim Pailanpur Union Total,0,0,0,0,0,0,0,0
91,08,67,-9,-9,-9,Purba Pailanpur Union Total,0,0,0,0,0,0,0,0
91,08,70,-9,-9,-9,Purba Gauripur Union Total,0,0,0,0,0,0,0,0
91,08,81,-9,-9,-9,Sadipur Union Total,0,0,0,0,0,0,0,0
91,08,88,-9,-9,-9,Tajpur Union Total,1,5,2,3,5,0,0,0
91,17,-9,-9,-9,-9,Beani Bazar Upazila Total,6,15,10,5,12,0,0,3
91,17,-9,-9,-9,1,  Beani Bazar Upazila,1,3,3,0,0,0,0,3
