
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0001   06    02     47      1     193           926
      0002   06    03     54      1     165           898
      0003   06    07     33      1     177           921
      0004   06    07     88      1     175          1030
      0005   06    10     73      1     250          1285
      0006   06    32     94      1     182          1028
      0007    6    36     94      1     218          1266
      0008   06    51     69      3     298          1352
      0009   06    62     31      1     190           996
      0010   06    62     87      1     237          1389
      0011   06    69     71      1     217          1172
      0012   06    94     63      1     215          1014
      0013   09    18     21      1     195          1141
      0014   09    18     58      1     168           983
      0015   09    21     16      3     200          1125
      0016   09    21     66      1     212          1199
      0017   09    25     28      1     202          1155
      0018   09    25     85      1     226          1302
      0019   09    29     19      1     191          1108
      0020   09    54     16      1     222          1126
      0021   09    54     66      1     263          1281
      0022   09    91     38      1     215          1130
      0023   42    40     38      1     206           954
      0024   42    40     85      1     228          1185
      0025   42    43     47      1     190           977
      0026   42    73     13      1     243          1147
      0027   42    73     36      1     201           855
      0028   42    73     94      1     198          1035
      0029   42    84     40      1     197          1088
      0030   42    84     81      1     231          1125
      0031   79    14     47      1     199           863
      0032   79    47     47      1     219           966
      0033   79    58     43      1     204          1014
      0034   79    58     86      1     215           928
      0035   79    76     52      1     237          1162
      0036   79    80     25      1     229          1022
      0037   79    87     17      1     208           908
      0038   79    87     76      1     228          1166
      0039   04    09     39      1     201           855
      0040   04    09     71      1     204           962
      0041   04    19     47      1     225           892
      0042   04    28     08      1     247          1148
      0043   93    95     37      1     211           940
      0044   04    47     23      1     188           883
      0045   04    85     11      1     206           866
      0046   04    85     71      1     199           898
      0047   78    38     35      1     244          1345
      0048   78    38     71      1     256          1417
      0049   78    52     42      1     234          1252
      0050   78    57     11      1     272          1656
      0051   78    57     55      1     247          1233
      0052   78    66     23      1     228          1076
      0053   78    66     71      1     235          1082
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0054   78    95     10      1     199          1034
      0055   78    95     40      1     258          1240
      0056   06    07     04      2     267          1371
      0057   06    32     09      2     248          1357
      0058   06    51     09      2     199          1013
      0059   06    51     17      2     231          1212
      0060   06    51     26      2     262          1075
      0061   09    18     02      2     217          1131
      0062   09    18     07      2     220          1159
      0063   09    25     03      2     238          1340
      0064   09    29     09      2     232          1282
      0065   42    40     02      2     237          1076
      0066   42    40     06      2     272          1436
      0067   42    40     09      2     233          1039
      0068   42    73     06      2     236          1170
      0069   79    58     03      2     208           932
      0070   79    80     02      2     235          1231
      0071   79    80     06      2     249          1070
      0072   79    80     09      2     224          1035
      0073   04    09     04      2     217          1015
      0074   04    28     02      2     264          1156
      0075   04    28     08      2     252          1153
      0076   04    85     02      2     238          1035
      0077   78    57     04      2     218          1119
      0078   78    66     07      2     213           887
      0079   78    95     04      2     234          1105
      0080   78    95     07      2     235          1005
      0081   03    04     31      3     216          1179
      0082   03    14     31      1     177           794
      0083   03    51     15      1     137           704
      0084   03    51     47      1     216           945
      0085   03    51     68      1     195           963
      0086   03    73     57      1     176           975
      0087   03    89     57      3     189           869
      0088   03    91     76      3     226          1080
      0089   15    04     38      1     199          1001
      0090   15    08     18      1     267          1636
      0091   15    08     63      1     231          1257
      0092   15    12     47      1     210          1125
      0093   15    18     66      1     230          1349
      0094   15    33     28      1     220          1183
      0095   15    33     76      1     243          1533
      0096   15    47     43      1     200          1182
      0097   15    53     35      1     219          1087
      0098   15    53     89      1     237          1220
      0099   15    61     67      1     227          1210
      0100   15    70     34      1     235          1367
      0101   15    74     18      1     228          1156
      0102   15    78     11      1     199           971
      0103   15    78     92      1     161           926
      0104   15    82     65      1     232          1454
      0105   22    16     16      1     193          1149
      0106   22    16     61      1     230          1687
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0107   22    24     11      1     221          1288
      0108   22    24     71      1     234          1423
      0109   22    49     18      1     222          1366
      0110   22    49     83      1     214          1258
