,variables,dataset
0,D_R,wb/tafsil_8.dbf
1,PSU_NO,wb/tafsil_8.dbf
2,ZILA,wb/tafsil_8.dbf
3,UPZA,wb/tafsil_8.dbf
4,UNION,wb/tafsil_8.dbf
5,MAUZA,wb/tafsil_8.dbf
6,RMO,wb/tafsil_8.dbf
7,HH_NO,wb/tafsil_8.dbf
8,LINE_NO,wb/tafsil_8.dbf
9,Q_2,wb/tafsil_8.dbf
10,Q_3,wb/tafsil_8.dbf
11,Q_4,wb/tafsil_8.dbf
12,Q_5,wb/tafsil_8.dbf
13,Q_6,wb/tafsil_8.dbf
14,Q_7M,wb/tafsil_8.dbf
15,Q_7Y,wb/tafsil_8.dbf
16,Q_8,wb/tafsil_8.dbf
17,D_R,wb/tafsil_2h.dbf
18,ID,wb/tafsil_2h.dbf
19,PSU_NO,wb/tafsil_2h.dbf
20,DIV,wb/tafsil_2h.dbf
21,DIVNEW,wb/tafsil_2h.dbf
22,ZILA,wb/tafsil_2h.dbf
23,UPZA,wb/tafsil_2h.dbf
24,UNION,wb/tafsil_2h.dbf
25,MAUZA,wb/tafsil_2h.dbf
26,RMO,wb/tafsil_2h.dbf
27,AREA,wb/tafsil_2h.dbf
28,HH_NO,wb/tafsil_2h.dbf
29,Q1_1N,wb/tafsil_2h.dbf
30,Q1_1A,wb/tafsil_2h.dbf
31,Q1_2N,wb/tafsil_2h.dbf
32,Q1_2A,wb/tafsil_2h.dbf
33,Q1_3N,wb/tafsil_2h.dbf
34,Q1_3A,wb/tafsil_2h.dbf
35,Q1_4N,wb/tafsil_2h.dbf
36,Q1_4A,wb/tafsil_2h.dbf
37,Q1_5N,wb/tafsil_2h.dbf
38,Q1_5A,wb/tafsil_2h.dbf
39,Q1_6N,wb/tafsil_2h.dbf
40,Q1_6A,wb/tafsil_2h.dbf
41,Q2_1,wb/tafsil_2h.dbf
42,Q2_2,wb/tafsil_2h.dbf
43,Q_3,wb/tafsil_2h.dbf
44,Q_4,wb/tafsil_2h.dbf
45,Q_5,wb/tafsil_2h.dbf
46,Q_6,wb/tafsil_2h.dbf
47,Q_7,wb/tafsil_2h.dbf
48,WGT,wb/tafsil_2h.dbf
49,D_R,wb/tafsl_10.dbf
50,PSU_NO,wb/tafsl_10.dbf
51,ZILA,wb/tafsl_10.dbf
52,UPZA,wb/tafsl_10.dbf
53,UNION,wb/tafsl_10.dbf
54,MAUZA,wb/tafsl_10.dbf
55,RMO,wb/tafsl_10.dbf
56,HH_NO,wb/tafsl_10.dbf
57,LIN_NO,wb/tafsl_10.dbf
58,Q_2,wb/tafsl_10.dbf
59,Q_3,wb/tafsl_10.dbf
60,Q_4Y,wb/tafsl_10.dbf
61,Q_4M,wb/tafsl_10.dbf
62,Q_5,wb/tafsl_10.dbf
63,Q_6,wb/tafsl_10.dbf
64,Q_7,wb/tafsl_10.dbf
65,PSU_NO,wb/tafsl_11.dbf
66,ZILA,wb/tafsl_11.dbf
67,UPZA,wb/tafsl_11.dbf
68,UNION,wb/tafsl_11.dbf
69,MAUZA,wb/tafsl_11.dbf
70,RMO,wb/tafsl_11.dbf
71,HH_NO,wb/tafsl_11.dbf
72,LINE_NO,wb/tafsl_11.dbf
73,Q_2,wb/tafsl_11.dbf
74,Q_3,wb/tafsl_11.dbf
75,Q_4_1,wb/tafsl_11.dbf
76,Q_4_2,wb/tafsl_11.dbf
77,Q_4_3,wb/tafsl_11.dbf
78,D_R,wb/tafsil_9.dbf
79,PSU_NO,wb/tafsil_9.dbf
80,DIV,wb/tafsil_9.dbf
81,ZILA,wb/tafsil_9.dbf
82,UPZ,wb/tafsil_9.dbf
83,UNION,wb/tafsil_9.dbf
84,MAUZA,wb/tafsil_9.dbf
85,RMO,wb/tafsil_9.dbf
86,HH_NO,wb/tafsil_9.dbf
87,LINE,wb/tafsil_9.dbf
88,Q4,wb/tafsil_9.dbf
89,Q5,wb/tafsil_9.dbf
90,Q6,wb/tafsil_9.dbf
91,Q7,wb/tafsil_9.dbf
92,Q9,wb/tafsil_9.dbf
93,Q10,wb/tafsil_9.dbf
94,Q11,wb/tafsil_9.dbf
95,Q12,wb/tafsil_9.dbf
96,Q13_1,wb/tafsil_9.dbf
97,Q13_2,wb/tafsil_9.dbf
98,Q13_3,wb/tafsil_9.dbf
99,Q14,wb/tafsil_9.dbf
100,Q15,wb/tafsil_9.dbf
101,Q16,wb/tafsil_9.dbf
102,Q17,wb/tafsil_9.dbf
103,D_R,wb/tafsil_3.dbf
104,PSU_NO,wb/tafsil_3.dbf
105,ZILA,wb/tafsil_3.dbf
106,DIST,wb/tafsil_3.dbf
107,UPZA,wb/tafsil_3.dbf
108,UNION,wb/tafsil_3.dbf
109,MAUZA,wb/tafsil_3.dbf
110,NEW,wb/tafsil_3.dbf
111,RMO,wb/tafsil_3.dbf
112,AREA,wb/tafsil_3.dbf
113,HH_NO,wb/tafsil_3.dbf
114,MOTH_LIN,wb/tafsil_3.dbf
115,Q_2,wb/tafsil_3.dbf
116,Q_3D,wb/tafsil_3.dbf
117,Q_3M,wb/tafsil_3.dbf
118,Q_3Y,wb/tafsil_3.dbf
119,Q_4,wb/tafsil_3.dbf
120,Q_5D,wb/tafsil_3.dbf
121,Q_5M,wb/tafsil_3.dbf
122,Q_5Y,wb/tafsil_3.dbf
123,Q_6,wb/tafsil_3.dbf
124,Q_7,wb/tafsil_3.dbf
125,Q_8,wb/tafsil_3.dbf
126,Q_9,wb/tafsil_3.dbf
127,Q_10,wb/tafsil_3.dbf
128,Q_11,wb/tafsil_3.dbf
129,Q_12,wb/tafsil_3.dbf
130,Q_13,wb/tafsil_3.dbf
131,Q_14,wb/tafsil_3.dbf
132,Q_15,wb/tafsil_3.dbf
133,Q_16,wb/tafsil_3.dbf
134,Q_17,wb/tafsil_3.dbf
135,D_R,wb/tafsil_4.dbf
136,PSU_NO,wb/tafsil_4.dbf
137,ZILA,wb/tafsil_4.dbf
138,UPZA,wb/tafsil_4.dbf
139,UNION,wb/tafsil_4.dbf
140,MAUZA,wb/tafsil_4.dbf
141,RMO,wb/tafsil_4.dbf
142,AREA,wb/tafsil_4.dbf
143,HH_NO,wb/tafsil_4.dbf
144,MOTH_LIN,wb/tafsil_4.dbf
145,Q_2,wb/tafsil_4.dbf
146,Q_3Y,wb/tafsil_4.dbf
147,Q_3M,wb/tafsil_4.dbf
148,Q_3D,wb/tafsil_4.dbf
149,Q_4,wb/tafsil_4.dbf
150,Q_5,wb/tafsil_4.dbf
151,Q_6D,wb/tafsil_4.dbf
152,Q_6M,wb/tafsil_4.dbf
153,Q_6Y,wb/tafsil_4.dbf
154,Q_7,wb/tafsil_4.dbf
155,Q_8D,wb/tafsil_4.dbf
156,Q_8M,wb/tafsil_4.dbf
157,Q_8Y,wb/tafsil_4.dbf
158,Q_9,wb/tafsil_4.dbf
159,D_R,wb/tafsil_5.dbf
160,PSU_NO,wb/tafsil_5.dbf
161,ZILA,wb/tafsil_5.dbf
162,UPZA,wb/tafsil_5.dbf
163,UNION,wb/tafsil_5.dbf
164,MAUZA,wb/tafsil_5.dbf
165,RMO,wb/tafsil_5.dbf
166,HH_NO,wb/tafsil_5.dbf
167,MOTH_LIN,wb/tafsil_5.dbf
168,Q_1,wb/tafsil_5.dbf
169,Q_2,wb/tafsil_5.dbf
170,Q_4,wb/tafsil_5.dbf
171,Q_5,wb/tafsil_5.dbf
172,Q_6,wb/tafsil_5.dbf
173,Q_7,wb/tafsil_5.dbf
174,Q_8,wb/tafsil_5.dbf
175,Q_9,wb/tafsil_5.dbf
176,D_R,wb/tafsil_7.dbf
177,PSU_NO,wb/tafsil_7.dbf
178,ZILA,wb/tafsil_7.dbf
179,UPZA,wb/tafsil_7.dbf
180,UNION,wb/tafsil_7.dbf
181,MAUZA,wb/tafsil_7.dbf
182,RMO,wb/tafsil_7.dbf
183,HH_NO,wb/tafsil_7.dbf
184,LINE_NO,wb/tafsil_7.dbf
185,Q_2,wb/tafsil_7.dbf
186,Q_3,wb/tafsil_7.dbf
187,Q_4,wb/tafsil_7.dbf
188,Q_5,wb/tafsil_7.dbf
189,Q_6,wb/tafsil_7.dbf
190,Q_7M,wb/tafsil_7.dbf
191,Q_7Y,wb/tafsil_7.dbf
192,Q_8,wb/tafsil_7.dbf
193,D_R,wb/tafsil_2p.dbf
194,ID,wb/tafsil_2p.dbf
195,PSU_NO,wb/tafsil_2p.dbf
196,DIV,wb/tafsil_2p.dbf
197,DIVNEW,wb/tafsil_2p.dbf
198,ZILA,wb/tafsil_2p.dbf
199,DIST,wb/tafsil_2p.dbf
200,UPZA,wb/tafsil_2p.dbf
201,UNION,wb/tafsil_2p.dbf
202,MAUZA,wb/tafsil_2p.dbf
203,RMO,wb/tafsil_2p.dbf
204,AREA,wb/tafsil_2p.dbf
205,HH_NO,wb/tafsil_2p.dbf
206,TOT_POP,wb/tafsil_2p.dbf
207,Q_8,wb/tafsil_2p.dbf
208,Q_10,wb/tafsil_2p.dbf
209,Q_11,wb/tafsil_2p.dbf
210,Q_12,wb/tafsil_2p.dbf
211,Q_13,wb/tafsil_2p.dbf
212,Q_14,wb/tafsil_2p.dbf
213,DUP,wb/tafsil_2p.dbf
214,Q_15,wb/tafsil_2p.dbf
215,Q_16,wb/tafsil_2p.dbf
216,Q_17,wb/tafsil_2p.dbf
217,Q_18,wb/tafsil_2p.dbf
218,Q_19,wb/tafsil_2p.dbf
219,Q_20,wb/tafsil_2p.dbf
220,Q_21,wb/tafsil_2p.dbf
221,Q_22,wb/tafsil_2p.dbf
222,PPWEIGHT,wb/tafsil_2p.dbf
223,D_R,wb/tafsil_6.dbf
224,PSU_NO,wb/tafsil_6.dbf
225,ZILA,wb/tafsil_6.dbf
226,UPZA,wb/tafsil_6.dbf
227,UNION,wb/tafsil_6.dbf
228,MAUZA,wb/tafsil_6.dbf
229,RMO,wb/tafsil_6.dbf
230,HH_NO,wb/tafsil_6.dbf
231,LIN_NO,wb/tafsil_6.dbf
232,Q_1,wb/tafsil_6.dbf
233,Q_2,wb/tafsil_6.dbf
234,Q_3,wb/tafsil_6.dbf
235,Q_4,wb/tafsil_6.dbf
236,Q_5,wb/tafsil_6.dbf
237,Q_6,wb/tafsil_6.dbf
238,Q_7,wb/tafsil_6.dbf
239,Q8_1,wb/tafsil_6.dbf
240,Q8_2,wb/tafsil_6.dbf
241,Q8_3,wb/tafsil_6.dbf
242,Q9_1,wb/tafsil_6.dbf
243,Q9_2,wb/tafsil_6.dbf
244,Q9_3,wb/tafsil_6.dbf
