Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	236571	0	236571	365145	36815	0	278	0	278	0	0	0	0	0	0	0	0	0	0	0	0	831	241	0	241	1072
Khulna	179862	0	179862	284103	35076	0	240	0	240	0	36	0	36	0	358	0	0	0	0	0	0	845	159	0	159	1004
Barisal	135619	0	135619	106614	21214	0	261	0	261	0	4	0	4	0	0	0	0	0	0	0	0	326	24	0	24	350
Dhaka	505704	0	505704	972709	82785	0	1039	0	1039	0	3	0	3	0	34	0	0	0	0	0	0	859	322	0	322	1181
Chittagong	177236	0	177236	479867	45727	0	217	0	217	0	51	0	51	0	0	0	0	0	0	0	0	302	118	0	118	420
Sylhet	24627	0	24627	89447	5133	0	33	0	33	0	0	0	0	0	200	0	0	0	0	0	0	196	230	0	230	426
Rangpur	189186	0	189186	224075	38976	0	237	0	237	0	0	0	0	0	116	0	0	0	0	0	0	696	228	0	228	924
Mymensingh	101600	0	101600	175771	11297	0	130	0	130	0	9	0	9	0	0	0	0	0	0	0	0	129	21	0	21	150

 
