Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	254953	0	254953	498897	34699	0	277	0	277	0	228	0	228	0	8	0	0	0	0	0	0	644	133	0	133	777
Khulna	212038	0	212038	511995	31277	0	279	0	279	0	281	0	281	0	2	0	0	0	0	0	0	606	186	0	186	792
Barisal	32353	0	32353	35096	6230	0	117	0	117	0	118	0	118	0	7	0	0	0	0	0	0	69	20	0	20	89
Dhaka	428777	0	428777	1195394	61743	0	914	0	914	0	382	0	382	0	21	0	0	0	0	0	0	1448	274	0	274	1722
Chittagong	173797	0	173797	653661	44485	0	349	0	349	0	318	0	318	0	22	0	0	0	0	0	0	302	77	0	77	379
Sylhet	23135	0	23135	71971	4796	0	52	0	52	0	72	0	72	0	0	0	0	0	0	0	0	222	177	0	177	399
Rangpur	153678	0	153678	273230	28161	0	131	0	131	0	205	0	205	0	0	0	0	0	0	0	0	384	169	0	169	553
Mymensingh	83853	0	83853	186078	8621	0	79	0	79	0	81	0	81	0	1	0	0	0	0	0	0	190	29	0	29	219

 
