   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4039919	1669759	296190	593410	99424	97584	122426	346634	469060	3225427	79.8389
Khulna	3402116	1289974	241032	551385	84826	93734	86341	334265	420606	2681557	78.8203
Barisal	1596065	550443	68902	341851	46281	58446	49352	76946	126298	1192221	74.6975
Dhaka	5299987	2094489	436641	678023	152474	134312	89182	407248	496430	3992369	75.3279
Chittagong	4668054	1671276	298492	790423	155092	107629	62965	322351	385316	3408228	73.0118
Sylhet	1514764	549059	124044	191516	60164	33514	53346	111801	165147	1123444	74.1663
Rangpur	3456514	1392131	122393	589960	56543	95377	189955	260987	450942	2707346	78.3259
Mymensingh	2190808	979054	102118	291400	52152	54054	75223	121603	196826	1675604	76.4834

 
