   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4179940	1692409	329526	632540	105224	128479	131455	378496	509951	3398129	81.2961
Khulna	3481273	1297577	257407	582044	90638	120460	91035	367787	458822	2806948	80.6299
Barisal	1630815	569428	75469	363961	54198	74126	57219	84975	142194	1279376	78.4501
Dhaka	5434293	2125767	453147	726412	175522	188991	117087	450124	567211	4237050	77.9687
Chittagong	4843974	1768465	330433	854492	176905	142842	75602	349263	424865	3698002	76.3423
Sylhet	1595463	582377	128817	217285	65601	50152	61809	133176	194985	1239217	77.6713
Rangpur	3578700	1396871	135819	640650	66166	135951	209016	279416	488432	2863889	80.0260
Mymensingh	2256593	995600	108362	324021	57378	81050	85579	129360	214939	1781350	78.9398

 
