thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Katiadi	356	787	1143	969	2112	495	468	382	306	184	56	96	53	16	165	136	169	207	165	115	141	194	1	131	1	59	0	1	71	51	169	181	195	150	157	35	126	5	2	272	623	139	365	134	18	200	232	238	232	185	196	184	400	1	4	2	1	0	1	0	0	51	52	41	625	7212	356	2	77	6	112
Bhariab Bazar	445	868	1313	1259	2572	437	357	270	172	36	4	19	36	20	137	72	51	103	130	67	52	103	0	9	0	5	0	0	0	0	35	20	22	16	13	1	53	0	2	257	187	179	290	10	0	0	0	0	0	0	0	0	105	0	0	1	0	1	1	0	0	27	28	22	429	3278	4	0	28	0	61
Austagram	88	538	626	242	868	235	348	317	177	37	19	10	8	8	38	44	48	57	34	43	39	53	4	105	4	0	0	0	27	4	127	104	107	67	72	10	134	9	0	67	309	52	10	25	56	96	160	184	175	161	51	160	65	0	0	0	0	0	0	0	0	20	20	7	171	1251	0	0	0	4	42
Kishoreganj Sadar	405	1024	1429	1149	2578	864	646	512	562	166	41	162	84	0	329	218	288	465	304	215	262	321	0	95	0	5	0	2	13	3	54	58	38	46	57	32	47	59	9	258	932	194	778	12	95	35	96	104	76	177	167	114	453	3	1	0	0	0	0	0	0	65	65	63	1165	10284	63	0	10	8	60
Hossainpur	164	1079	1243	439	1682	224	336	228	144	46	4	23	16	6	39	65	79	115	40	64	40	64	0	3	0	2	0	0	5	2	80	78	63	65	69	21	42	0	0	46	169	19	286	12	12	45	46	43	42	33	36	32	96	0	0	0	0	0	0	0	0	41	41	14	420	3016	41	0	0	3	33
Nikli	120	363	483	375	858	91	118	108	57	81	26	0	0	15	25	22	25	20	24	19	23	18	7	2	7	0	0	3	27	2	51	53	60	59	52	0	11	0	0	97	134	0	269	0	0	82	86	95	114	115	79	69	116	0	0	0	1	0	1	0	0	26	27	15	442	2944	221	0	7	7	7
Bazitpur	210	513	723	808	1531	146	184	189	123	126	9	50	9	0	60	62	72	88	90	73	79	66	0	0	0	0	0	0	20	18	95	74	74	62	66	6	15	6	0	0	345	0	0	6	46	104	97	97	87	103	100	81	168	0	0	0	0	0	0	0	0	44	44	34	699	4314	105	0	0	15	26
Pakundia	231	648	879	483	1362	274	241	221	145	51	15	37	43	13	25	54	74	89	24	51	29	60	0	11	0	1	0	0	33	8	3	2	5	3	0	18	64	0	0	49	520	86	143	11	15	3	3	5	2	1	3	8	118	0	0	0	0	0	0	0	0	39	39	35	1069	4530	31	0	11	5	20
Itna	143	563	706	523	1229	60	68	56	30	100	10	24	3	1	17	16	17	17	12	14	11	7	0	8	0	0	2	0	28	0	19	20	26	27	21	12	112	0	0	65	36	5	72	134	129	16	16	18	22	14	14	10	146	0	0	0	0	0	0	0	0	23	23	1	1599	3277	0	0	0	11	0
Kuliarchar	171	825	996	960	1956	217	180	185	135	80	33	2	0	15	34	37	66	81	31	37	60	68	1	10	1	6	0	0	45	10	104	102	84	69	60	0	145	0	0	24	149	19	21	14	31	144	158	158	158	136	117	92	182	0	0	0	0	0	0	0	0	33	33	38	940	3095	125	0	24	11	58
Tarail	189	810	999	912	1911	364	263	221	100	86	12	52	18	9	57	67	65	73	66	61	64	65	20	23	20	6	0	1	34	9	0	0	0	0	0	6	103	14	0	89	282	66	244	37	25	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	20	20	26	710	4151	84	0	36	7	64
Karimganj	309	1496	1805	570	2375	434	257	222	176	135	53	97	26	10	48	28	43	139	94	153	50	88	0	34	0	2	0	0	78	20	193	228	503	315	571	4	110	5	1	14	216	3	60	73	81	131	150	138	147	106	98	79	238	2	0	0	0	0	0	1	0	44	45	30	1085	3881	53	0	14	13	51
Mithamoin	100	299	399	368	767	26	17	8	3	47	43	2	2	0	4	2	4	5	4	2	4	5	0	0	0	0	0	0	10	0	17	14	7	8	10	11	97	0	0	0	112	0	3	7	7	23	32	25	26	23	25	20	94	0	0	0	0	0	0	0	0	18	18	15	93	552	0	0	0	0	4
