   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	474521	145418	49617	60501	8294	7927	6128	26174	32302	304059	64.0770
Khulna	461103	164749	59187	83584	14747	14968	11790	23294	35084	372319	80.7453
Barisal	110774	32597	7467	31696	3159	5021	1927	3413	5340	85280	76.9856
Dhaka	582934	225050	68207	82246	20589	9558	6028	21892	27920	433570	74.3772
Chittagong	390126	140238	36000	76103	12696	7928	3258	17623	20881	293846	75.3208
Sylhet	0	269	123	242	5	0	0	0	0	639	NULL
Rangpur	325738	129446	24437	60317	6471	6697	15064	17201	32265	259633	79.7061
Mymensingh	129607	51014	16682	17209	3005	3395	2730	5383	8113	99418	76.7073

 
