   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	396100	158165	56734	67273	11132	10194	8138	23985	32123	335621	84.7314
Khulna	474612	164581	56515	87383	16888	17602	12318	26558	38876	381845	80.4541
Barisal	121204	34281	7139	35895	3580	5527	2220	3743	5963	92385	76.2227
Dhaka	563368	219005	64799	88450	21992	14519	12333	27489	39822	448587	79.6259
Chittagong	472030	170098	48658	106229	16289	14051	5996	20908	26904	382229	80.9756
Sylhet	43701	14139	6505	5362	579	2651	1055	1609	2664	31900	72.9960
Rangpur	410829	155825	34258	78059	10890	11205	18928	19758	38686	328923	80.0632
Mymensingh	186371	74220	19853	27460	5214	6184	4495	7427	11922	144853	77.7229

 
