   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:18
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	11692	4167	2071	1265	258	435	133	222	355	8551	73.1355
Rangunia	16538	5493	577	2676	554	525	51	1216	1267	11092	67.0698
Doublemooring	11577	2464	1692	1427	434	110	261	381	642	6769	58.4694
Fatichhari	27539	7595	1126	3986	588	167	39	1380	1419	14881	54.0361
Sitakunda	15315	6629	1047	2223	403	379	34	731	765	11446	74.7372
Rawzan	12187	4128	1208	1685	369	225	4	466	470	8085	66.3412
Sandwip	10179	4213	1325	1208	216	150	0	235	235	7347	72.1780
Chandlaish	5155	1798	217	908	253	104	15	341	356	3636	70.5335
Banshkhali	11769	4294	358	691	131	52	33	271	304	5830	49.5369
Satkania	6633	2489	384	873	171	149	13	158	171	4237	63.8776
Anwara	14350	6378	903	1863	566	277	29	373	402	10389	72.3972
Patiya	12655	5614	746	1539	328	351	18	601	619	9197	72.6748
Lohagora	11086	5076	819	2224	42	19	0	70	70	8250	74.4182

 
