   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	26061	7693	5265	2416	1346	1659	804	1431	2235	20614	79.0990
Boalmari	11347	3421	1332	1252	1247	311	347	766	1113	8676	76.4607
Char Bhadrashion	2668	516	296	317	245	403	64	284	348	2125	79.6477
Nagarkanda	3354	876	526	661	187	267	166	104	270	2787	83.0948
Sadarpur	3042	941	313	282	153	213	24	212	236	2138	70.2827
Alphadanga	9347	3410	1007	1321	935	130	261	509	770	7573	81.0206
Modhukhali	6852	2716	542	1340	180	233	116	511	627	5638	82.2825
Saltha	5932	1802	806	930	389	291	200	224	424	4642	78.2535

 
