   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:27
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	52250	22434	3708	8937	2232	1596	1824	3536	5360	44267	84.7215
Fakirhat	29427	12270	2034	4810	1709	359	405	2651	3056	24238	82.3665
Sarankhola	19915	7202	967	4460	910	156	1029	677	1706	15401	77.3337
Morralganj	62813	27403	2628	8486	3067	508	2917	3006	5923	48015	76.4412
Kachua	19560	7853	1465	2573	1151	522	984	1175	2159	15723	80.3834
Mollahat	24430	10535	1626	2748	2029	253	554	1372	1926	19117	78.2521
Rampal	32798	15646	2170	2888	1159	460	1439	1841	3280	25603	78.0627
Chitalmari	24379	7916	1660	4589	1701	441	632	1565	2197	18504	75.9014
Mongla	29169	13475	2187	4124	651	571	1593	1470	3063	24071	82.5225

 
