   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:37
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Naogaon Sadar	61373	27726	2603	6951	1810	1567	522	9907	10429	51086	83.2386
Mohadebpur	69484	35853	1925	6050	1156	821	2052	9003	11055	56860	81.8318
Manda	89594	47530	1720	8055	2525	666	1674	12593	14267	74763	83.4464
Badalgachhi	46858	18173	1886	7304	941	340	1131	8940	10071	38715	82.6220
Rani Nagar	41016	20345	1875	3731	551	483	1458	4298	5756	32741	79.8249
Patnitola	53294	27048	2508	3455	1304	441	2961	4955	7916	42672	80.0691
Atrai	45725	20632	2630	3041	1747	375	1972	5540	7512	35937	78.5938
Dhamoirhat	37327	18855	1423	3491	892	92	1983	3740	5723	30476	81.6460
Niamatpur	55553	25256	2650	4185	1660	360	2258	7024	9282	43393	78.1110
Porsa	27372	13341	1379	2470	925	412	1512	1881	3393	21920	80.0818
Sapahar	35969	17094	1591	4079	232	412	2775	1663	4438	27846	77.4167

 
