   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	51906	19813	4232	8220	1335	678	508	4115	4623	38901	74.9451
Begumganj	105172	39667	7813	18215	4001	967	891	9050	9941	80604	76.6402
Companiganj	47056	16654	3482	7044	2015	654	923	2761	3684	33533	71.2619
Sudharam (Sadar)	86582	28007	8505	17047	1907	2002	946	6689	7635	65103	75.1923
Hatiya	63903	23026	3009	16519	989	191	2010	1445	3455	47189	73.8447
Chatkhil	44697	16372	2252	6079	1855	915	318	3598	3916	31389	70.2262
Subarna Char	41083	12910	4629	7382	498	1729	961	2531	3492	30640	74.5807
Sonaimuri	61478	24593	4508	8456	1959	473	338	5827	6165	46154	75.0740
Kabirhat	29901	11218	2024	5035	802	400	198	2819	3017	22496	75.2349

 
