   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:02
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atpara	26449	12481	691	2703	244	1669	1402	1238	2640	20428	77.2354
Kalmakanda	50743	24971	3297	5254	1341	1718	2056	1950	4006	40587	79.9854
Modan	27500	14279	987	2358	443	1132	1304	933	2237	21436	77.9491
Purbadhala	56819	24175	1675	8422	1018	2909	1619	3027	4646	42845	75.4061
Kendua	58121	26315	1816	5750	1757	2340	2561	4738	7299	45277	77.9013
Netrokona Sadar	68978	29936	3689	8654	516	3617	2956	4137	7093	53505	77.5682
Durgapur	45757	16771	1890	7746	1598	2053	1970	3697	5667	35725	78.0755
Barhatta	33708	14584	1469	4610	1167	1348	1413	2491	3904	27082	80.3429
Mohonganj	31263	13403	1024	3373	969	1263	1424	2742	4166	24198	77.4014
Khaliajhuri	17381	6893	1233	2065	316	762	396	1694	2090	13359	76.8598

 
