thana_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Bochaganj	133	364	497	520	1017	90	99	100	80	50	7	14	4	10	19	18	30	25	19	14	27	24	5	11	5	0	0	0	15	0	95	92	77	76	71	10	53	13	0	16	87	51	28	0	12	77	90	83	82	44	75	78	132	2	1	0	0	0	0	0	0	44	44	40	186	1541	41	1	2	2	45
Kaharole	134	309	443	450	893	118	149	133	109	50	3	38	49	6	18	17	44	127	23	19	44	107	0	0	0	1	0	0	12	8	127	144	145	147	150	11	61	0	0	111	91	74	57	8	11	191	200	214	246	232	197	203	156	0	0	0	1	1	2	0	0	29	31	37	247	1871	110	2	18	21	25
Fulbari	116	403	519	232	751	95	116	93	73	52	7	38	39	8	23	12	22	42	22	11	20	61	0	11	0	1	0	0	26	1	49	57	50	39	38	7	237	0	0	37	115	135	41	3	24	76	80	78	104	91	67	79	144	0	0	0	1	0	1	0	1	28	30	14	306	1473	187	2	11	7	8
Khanshama	209	410	619	699	1318	103	129	146	147	20	0	147	49	48	40	48	53	69	25	38	42	58	0	25	0	21	0	2	16	3	217	201	229	218	212	22	97	0	0	54	152	67	18	33	48	322	332	312	315	233	266	326	216	3	3	0	0	0	0	0	0	32	32	50	300	1963	612	0	8	9	22
Dinajpur Sadar	275	1148	1423	1410	2833	1016	816	627	747	110	8	100	164	115	238	155	380	384	235	268	359	338	3	110	3	20	0	9	22	4	290	314	347	299	318	9	36	128	17	221	236	100	379	122	123	341	459	423	406	461	386	361	403	1	0	0	0	0	0	0	1	78	79	103	680	5893	117	0	23	7	67
Hakimpur	97	183	280	260	540	96	116	124	86	22	0	22	12	0	48	41	39	61	0	0	4	1	0	60	0	0	0	0	27	5	53	60	66	62	70	6	34	0	0	3	53	0	0	0	0	37	42	49	44	41	31	41	53	1	0	0	0	0	0	0	0	12	12	40	1033	1588	39	1	20	0	7
Birganj	236	782	1018	1106	2124	328	382	387	282	142	37	80	113	11	65	52	68	249	69	44	65	246	1	27	1	2	0	1	89	42	164	154	179	194	137	6	78	1	0	83	241	0	66	73	22	205	200	191	181	258	136	148	372	6	3	0	5	1	6	0	0	49	55	93	480	2870	238	0	6	7	39
Ghoraghat	70	187	257	280	537	70	110	81	63	37	17	41	15	0	37	34	37	63	37	34	37	63	0	19	0	0	0	0	5	0	61	70	67	54	34	7	148	10	0	104	149	0	88	0	110	92	78	90	71	0	71	50	110	0	0	0	0	0	0	0	0	21	21	10	245	1000	13	0	6	0	28
Birol	168	979	1147	514	1661	341	281	271	156	121	4	38	65	0	99	58	110	145	98	49	88	173	3	0	3	0	0	0	37	0	126	122	121	115	121	0	34	4	0	68	240	0	81	37	79	164	170	185	193	146	163	171	235	2	0	0	0	0	0	0	0	57	57	54	628	2613	92	0	29	9	69
Chirir Bandar	264	479	743	759	1502	218	300	260	231	33	3	137	49	59	104	64	99	107	79	80	73	86	0	38	0	25	0	0	59	22	340	374	396	359	349	14	10	11	0	83	329	2	32	46	239	334	453	440	390	388	403	320	222	0	0	0	0	0	0	0	0	34	34	24	479	1871	194	0	13	9	23
Parbatipur	388	1621	2009	796	2805	747	711	546	634	112	30	319	65	102	185	117	161	172	149	117	139	199	2	15	2	10	0	0	60	7	476	398	349	464	403	7	230	34	0	236	550	197	256	92	73	350	470	492	500	471	473	366	545	0	0	0	1	1	2	0	0	96	98	66	375	3914	882	24	30	25	62
Nawabganj	149	400	549	499	1048	95	140	141	101	79	2	39	47	0	22	40	52	61	23	36	54	71	0	0	0	0	0	0	93	4	231	243	256	192	198	0	92	0	0	0	0	0	0	0	0	248	290	291	296	267	272	251	167	0	0	0	0	0	0	0	0	44	44	17	0	0	167	0	14	4	32
Birampur	76	292	368	391	759	29	40	18	21	41	4	14	40	3	12	3	3	7	10	2	1	4	0	0	0	0	0	0	0	0	27	32	28	29	11	0	54	0	0	0	0	0	0	0	0	24	34	36	27	24	20	18	125	0	0	0	0	0	0	0	0	14	14	0	232	2007	45	0	4	3	15
