   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:15
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jakiganj	8325	2702	1522	1388	170	120	70	142	212	6114	73.4414
Jaintapur	7617	2091	1159	1135	221	77	118	194	312	4995	65.5770
Balaganj	10019	2656	1472	5273	218	264	68	188	256	10139	101.1977
Golapganj	9810	3212	1607	954	244	418	64	181	245	6680	68.0938
Sylhet Sadar	8309	2288	1108	636	127	150	72	407	479	4788	57.6243
Biani Bazar	6723	1975	965	809	192	42	36	109	145	4128	61.4012
Kanaighat	7777	2922	569	792	254	80	60	89	149	4766	61.2833
Biswanath	5998	2560	968	669	92	192	23	224	247	4728	78.8263
South Shurma	7514	2042	889	1117	149	369	72	246	318	4884	64.9987

 
