   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8708	3033	1391	1128	314	826	224	143	367	7059	81.0634
Rangunia	16016	5771	950	2829	443	622	156	1184	1340	11955	74.6441
Doublemooring	11733	3329	2349	2115	479	282	316	469	785	9339	79.5960
Fatichhari	12712	3894	869	2839	296	398	43	798	841	9137	71.8770
Sitakunda	16352	6364	1042	2709	638	528	47	779	826	12107	74.0399
Rawzan	3132	1319	287	422	133	15	4	118	122	2298	73.3716
Sandwip	5543	2193	187	1121	221	64	15	66	81	3867	69.7637
Chandlaish	5516	2576	356	348	153	144	28	374	402	3979	72.1356
Banshkhali	8153	2966	481	985	72	115	35	111	146	4765	58.4447
Satkania	12988	5826	479	1862	443	327	91	629	720	9657	74.3532
Anwara	5970	2274	469	776	275	194	84	229	313	4301	72.0436
Patiya	3434	1129	233	511	171	172	9	189	198	2414	70.2970
Lohagora	11327	5281	1090	2939	61	202	22	156	178	9751	86.0863

 
