   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	42205	17357	3454	4899	412	748	486	5458	5944	32814	77.7491
Poba (Sadar)	68504	19618	5795	15632	999	1239	780	11969	12749	56032	81.7938
Mohanpur	40143	17780	2045	7187	594	735	766	3868	4634	32975	82.1438
Puthiya	47553	18350	3710	5923	473	461	269	7528	7797	36714	77.2065
Bagmara	93855	41229	5658	13621	1753	1364	2556	8830	11386	75011	79.9222
Charghat	46893	19100	3268	7760	915	574	374	5824	6198	37815	80.6410
Boalia	98738	33094	26978	10022	347	195	378	3474	3852	74488	75.4401
Tanore	43115	17379	2053	4878	499	1309	1100	5793	6893	33011	76.5650
Godagari	65845	18546	4934	11925	1099	535	2008	11362	13370	50409	76.5571
Bagha	41278	14076	3430	9323	503	607	259	6096	6355	34294	83.0806

 
