   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:53
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	44893	17810	5440	5038	408	1742	583	6702	7285	37723	84.0287
Poba (Sadar)	74227	19513	6847	15509	1081	3621	937	14345	15282	61853	83.3295
Mohanpur	42987	17085	2905	7731	674	1854	995	4416	5411	35660	82.9553
Puthiya	49019	18166	5419	7022	509	1194	431	8056	8487	40797	83.2269
Bagmara	98643	41186	8236	13485	2528	3659	3543	9771	13314	82408	83.5417
Charghat	49654	18778	5643	7002	1089	1763	533	6243	6776	41051	82.6741
Boalia	102712	37636	24880	15882	950	1714	585	5699	6284	87346	85.0397
Tanore	44751	17985	2531	5185	615	2763	1422	6880	8302	37381	83.5311
Godagari	71012	22586	5069	12447	1699	1522	2620	14032	16652	59975	84.4576
Bagha	43896	14232	4594	8887	390	1247	342	6765	7107	36457	83.0531

 
