monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
June,2007	118096	0	118096	106757	16120	0	466	0	466	0	307	0	307	0	541	0	0	0	0	0	0	150	240	0	240	390
July,2007	117226	0	117226	149717	11300	0	28	0	28	0	0	0	0	0	289	0	0	0	0	0	0	275	233	0	233	508
August,2007	103030	0	103030	159236	10543	0	27	0	27	0	0	0	0	0	392	0	0	0	0	0	0	226	231	0	231	457
September,2007	111253	0	111253	167905	10596	0	192	0	192	0	12	0	12	0	298	0	0	0	0	0	0	216	124	0	124	340
October,2007	110797	0	110797	147814	12884	0	229	0	229	0	18	0	18	0	334	0	0	0	0	0	0	195	149	0	149	344
November,2007	111943	0	111943	153784	13748	0	1229	0	1229	0	290	0	290	0	358	0	0	0	0	0	0	227	341	0	341	568
December,2007	109814	0	109814	129517	11758	0	618	0	618	0	109	0	109	0	254	0	0	0	0	0	0	200	166	0	166	366
January,2008	112364	0	112364	122799	14478	0	477	0	477	0	137	0	137	0	331	0	0	0	0	0	0	195	234	0	234	429
February,2008	118690	0	118690	129874	13859	0	410	0	410	0	144	0	144	0	418	0	0	0	0	0	0	192	240	0	240	432
March,2008	116203	0	116203	97197	13074	0	415	0	415	0	160	0	160	0	466	0	0	0	0	0	0	211	251	0	251	462
April,2008	116351	0	116351	49048	14325	0	463	0	463	0	157	0	157	0	466	0	0	0	0	0	0	145	209	0	209	354
May,2008	117588	0	117588	90861	14194	0	422	0	422	0	123	0	123	0	437	0	0	0	0	0	0	110	109	0	109	219
June,2008	120911	0	120911	123716	14567	0	423	0	423	0	281	0	281	0	475	0	0	0	0	0	0	135	169	0	169	304
July,2008	118096	0	118096	106754	16120	0	466	0	466	0	307	0	307	0	541	0	0	0	0	0	0	150	240	0	240	390
August,2008	117824	0	117824	119416	16200	0	436	0	436	0	242	0	242	0	505	0	0	0	0	0	0	121	249	0	249	370
September,2008	109014	0	109014	136404	14114	0	250	0	250	0	44	0	44	0	365	0	0	0	0	0	0	118	72	0	72	190
October,2008	117169	0	117169	146085	16243	0	373	0	373	0	145	0	145	0	448	0	0	0	0	0	0	104	215	0	215	319
November,2008	116811	0	116811	152728	17885	0	1445	0	1445	0	280	0	280	0	475	0	0	0	0	0	0	152	530	0	530	682
December,2008	114754	0	114754	147418	15407	0	333	0	333	0	45	0	45	0	1034	0	0	0	0	0	0	196	134	0	134	330
January,2009	120210	0	120210	133260	15580	0	452	0	452	0	78	0	78	0	1065	0	0	0	0	0	0	100	254	0	254	354
February,2009	117516	0	117516	140797	16996	0	446	0	446	0	88	0	88	0	420	0	0	0	0	0	0	88	181	0	181	269
March,2009	117131	0	117131	143064	16458	0	511	0	511	0	107	0	107	0	343	0	0	0	0	0	0	96	283	0	283	379
April,2009	116094	0	116094	155370	17996	0	1306	0	1306	0	18	0	18	0	385	0	0	0	0	0	0	103	370	0	370	473
May,2009	109517	0	109517	150928	17064	0	480	0	480	0	10	0	10	0	197	0	0	0	0	0	0	79	122	0	122	201
June,2009	117942	0	117942	158404	17044	0	534	0	534	0	8	0	8	0	148	0	0	0	0	0	0	107	246	0	246	353
July,2009	119668	0	119668	161697	18545	0	691	0	691	0	9	0	9	0	191	0	0	0	0	0	0	85	279	0	279	364
August,2009	119279	0	119279	164799	17864	0	407	0	407	0	17	0	17	0	123	0	0	0	0	0	0	103	265	0	265	368
September,2009	116278	0	116278	161881	15768	0	240	0	240	0	2	0	2	0	63	0	0	0	0	0	0	73	82	0	82	155
October,2009	122289	0	122289	172970	18662	0	610	0	610	0	19	0	19	0	0	0	0	0	0	0	0	92	348	0	348	440
November,2009	116776	0	116776	172807	13826	0	456	0	456	0	7	0	7	0	0	0	0	0	0	0	0	77	226	0	226	303
December,2009	122119	0	122119	186009	14270	0	512	0	512	0	2	0	2	0	0	0	0	0	0	0	0	105	216	0	216	321
January,2010	125329	0	125329	174076	19308	0	385	0	385	0	7	0	7	0	0	0	0	0	0	0	0	110	239	0	239	349
February,2010	130080	0	130080	187958	17393	0	282	0	282	0	0	0	0	0	0	0	0	0	0	0	0	120	275	0	275	395
March,2010	125851	0	125851	199338	18405	0	207	0	207	0	0	0	0	0	0	0	0	0	0	0	0	103	280	0	280	383
April,2010	129123	0	129123	200124	20274	0	374	0	374	0	0	0	0	0	68	0	0	0	0	0	0	90	230	0	230	320
May,2010	125437	0	125437	193509	18498	0	348	0	348	0	0	0	0	0	114	0	0	0	0	0	0	94	164	0	164	258
June,2010	130309	0	130309	191130	18546	0	272	0	272	0	0	0	0	0	213	0	0	0	0	0	0	105	217	0	217	322
July,2010	127494	0	127494	201568	20035	0	384	0	384	0	0	0	0	0	148	0	0	0	0	0	0	119	246	0	246	365
August,2010	133249	0	133249	202939	18896	0	383	0	383	0	0	0	0	0	94	0	0	0	0	0	0	104	131	0	131	235
September,2010	125268	0	125268	210941	17247	0	490	0	490	0	0	0	0	0	75	0	0	0	0	0	0	90	164	0	164	254
October,2010	134458	0	134458	216070	20451	0	680	0	680	0	224	0	224	0	81	0	0	0	0	0	0	112	241	0	241	353
November,2010	128995	0	128995	229011	19187	0	871	0	871	0	523	0	523	0	108	0	0	0	0	0	0	155	211	0	211	366
December,2010	128979	0	128979	229415	17640	0	834	0	834	0	593	0	593	0	154	0	0	0	0	0	0	104	291	0	291	395
