   Dump For Table car_details from Database dgfpmis_ss8 on 10-25-2018 07:29
Dist_Name	MonthYear	EC	Pill	Con	Inj	IUD	Imp	PerM	PerF	TPer	TUser	CAR	
Sylhet	May 2007	422619	116954	37533	45298	17731	8751	5476	14977	20453	246720	58.3788
Sylhet	June 2007	423642	118169	38063	45818	22621	8264	4579	14442	19021	251956	59.4738
Sylhet	July 2007	424622	117206	38581	46437	17243	8161	4636	14693	19329	246957	58.1593
Sylhet	August 2007	426223	118523	39384	47797	17810	8154	4772	15035	19807	251475	59.0008
Sylhet	September 2007	423881	118796	38346	48209	17468	8524	5596	15118	20714	252057	59.4641
Sylhet	October 2007	423233	118483	38112	48268	17382	7693	4860	15486	20346	250284	59.1362
Sylhet	November 2007	423933	119329	38352	48809	17808	7776	5007	15678	20685	252759	59.6224
Sylhet	December 2007	417062	118470	37654	47934	17179	7454	5071	15559	20630	249321	59.7803
Sylhet	January 2008	418131	119240	37321	47727	17966	7243	5176	15929	21105	250602	59.9338
Sylhet	February 2008	379210	110320	34567	43989	15497	6892	4340	13812	18152	229417	60.4987
Sylhet	March 2008	418679	120754	35891	49444	17617	7678	5260	16299	21559	252943	60.4145
Sylhet	April 2008	419515	121081	35313	50456	17336	7780	5336	16534	21870	253836	60.5070
Sylhet	May 2008	418402	121416	35304	50434	17497	7630	5290	16862	22152	254433	60.8107
Sylhet	June 2008	419126	121731	35699	51042	17720	7691	5385	17096	22481	256364	61.1663
Sylhet	July 2008	420176	121476	35923	51475	17855	7764	5433	17490	22923	257416	61.2639
Sylhet	August 2008	419419	122486	35965	51618	18032	7822	5487	17077	22564	258487	61.6298
Sylhet	September 2008	420195	121005	35489	55046	18510	7816	5246	17438	22684	260550	62.0069
Sylhet	October 2008	420638	122456	38156	52934	18082	7939	5511	18149	23660	263227	62.5780
Sylhet	November 2008	421850	124413	38994	54291	18571	8092	5662	18481	24143	268504	63.6492
Sylhet	December 2008	422870	124735	38647	54929	18649	8156	5667	18027	23694	268810	63.5680
Sylhet	January 2009	423461	124376	37470	55283	18702	8125	5737	18879	24616	268572	63.4231
Sylhet	February 2009	395978	117185	34966	51337	17518	7346	5567	17773	23340	251692	63.5621
Sylhet	March 2009	428409	125923	38229	56710	18853	8099	5825	19372	25197	273011	63.7267
Sylhet	April 2009	429372	127139	38830	57916	19117	8004	5931	19813	25744	276750	64.4546
Sylhet	May 2009	432077	127559	39212	58344	19269	8006	6043	20247	26290	278680	64.4978
Sylhet	June 2009	433323	128194	39073	58104	19213	7833	6282	20845	27127	279544	64.5117
Sylhet	July 2009	431754	128545	38976	57775	19335	7781	6551	21446	27997	280409	64.9465
Sylhet	August 2009	435338	129210	39569	58017	19161	7737	6833	21853	28686	282380	64.8645
Sylhet	September 2009	434807	130432	40200	58313	18954	7720	6962	22067	29029	284648	65.4654
Sylhet	October 2009	435263	130560	40744	58359	19035	7899	7313	22637	29950	286547	65.8331
Sylhet	November 2009	434746	131287	41282	58215	19200	8019	7363	22996	30359	288362	66.3288
Sylhet	December 2009	436018	132791	41685	57916	19103	8052	7569	23330	30899	290446	66.6133
Sylhet	January 2010	437925	136880	42433	58292	18845	8119	7564	23492	31056	295625	67.5059
Sylhet	February 2010	438543	134057	42965	58554	18737	8227	7578	23529	31107	293647	66.9597
Sylhet	March 2010	443420	136084	44070	58796	18724	8168	7635	23578	31213	297055	66.9918
Sylhet	April 2010	445047	137137	44652	59091	18480	8228	7691	23638	31329	298917	67.1653
Sylhet	May 2010	446138	139007	45302	59990	18615	8362	7796	24089	31885	303161	67.9523
Sylhet	June 2010	447297	140680	46334	60944	18665	8443	7864	24408	32272	307338	68.7101
Sylhet	July 2010	449739	142289	46887	61687	18835	8576	7974	25116	33090	311364	69.2322
Sylhet	August 2010	450189	143152	47235	62077	18766	8431	8034	25091	33125	312786	69.4788
Sylhet	September 2010	450761	144372	47767	62252	18817	8490	8160	25685	33845	315543	70.0023
Sylhet	October 2010	452508	145117	48285	62774	18887	8653	8307	26277	34584	318300	70.3413
Sylhet	November 2010	455377	146607	48356	63122	18615	8729	8418	26513	34931	320360	70.3505
Sylhet	December 2010	456785	146848	48583	64026	18825	9215	8517	26962	35479	322976	70.7063
Sylhet	January 2011	457643	147674	48667	64162	18662	9640	8595	27340	35935	324740	70.9592
Sylhet	February 2011	458616	148309	48642	64526	18617	10187	8650	27778	36428	326709	71.2380
Sylhet	March 2011	459160	148385	48574	64524	18666	10647	8665	28118	36783	327579	71.3431
Sylhet	April 2011	459605	148693	49280	65467	18886	11148	9002	28777	37779	331253	72.0734
Sylhet	May 2011	460938	148404	49194	65620	19044	11659	9335	29628	38963	332884	72.2188
Sylhet	June 2011	461575	148305	49522	65113	19018	11901	9559	30492	40051	333910	72.3414
Sylhet	July 2011	462786	148451	49755	64565	18695	12024	10042	31142	41184	334674	72.3172
Sylhet	August 2011	463231	148331	49969	64443	18674	12068	10230	31129	41359	334844	72.2845
Sylhet	September 2011	463679	148709	49971	64808	18749	11995	10660	31564	42224	336456	72.5623
Sylhet	October 2011	462217	148774	49734	65387	18835	12246	11290	32152	43442	338418	73.2163
Sylhet	November 2011	464676	148645	49312	65526	18814	12518	11255	32421	43676	338491	72.8445
Sylhet	December 2011	464471	149291	49499	65782	18882	12609	11379	32738	44117	340180	73.2403
Sylhet	January 2012	465576	149747	49632	66115	18788	12653	11499	33095	44594	341529	73.3562
Sylhet	February 2012	465197	149774	49481	66009	18896	12730	11936	33292	45228	342118	73.5426
Sylhet	March 2012	466895	150175	49861	66938	19346	13105	11785	33816	45601	345026	73.8980
Sylhet	April 2012	466739	149486	49571	66660	19385	13048	11783	34085	45868	344018	73.7067
Sylhet	May 2012	468881	150175	49677	66966	19460	13354	11964	34735	46699	346331	73.8633
Sylhet	June 2012	473964	151380	50078	67550	19429	13542	12189	35235	47424	349403	73.7193
Sylhet	July 2012	476396	151966	50179	68051	19469	13682	12369	35397	47766	351113	73.7019
Sylhet	August 2012	476904	152501	50335	68233	19358	13790	12443	35726	48169	352386	73.8903
Sylhet	September 2012	477207	152586	49573	68514	19635	13945	12634	36405	49039	353292	74.0333
Sylhet	October 2012	478387	152511	50342	68405	19651	14018	12775	36822	49597	354524	74.1082
Sylhet	November 2012	479219	152564	50094	68424	19718	14131	12991	37139	50130	355061	74.0916
Sylhet	December 2012	479464	152611	49962	68645	19941	14285	13085	37709	50794	356238	74.2992
Sylhet	January 2013	478209	151679	49656	67921	19719	14341	13183	37668	50851	354167	74.0611
Sylhet	February 2013	477951	150626	49013	67565	19599	14281	13147	37753	50900	351984	73.6444
Sylhet	March 2013	481807	150307	49236	66665	19575	14273	13162	37911	51073	351129	72.8775
Sylhet	April 2013	482490	150421	49147	67229	19747	14405	13413	38244	51657	352606	73.0805
Sylhet	May 2013	483723	151100	49403	67792	20124	14746	13433	38616	52049	355214	73.4333
Sylhet	June 2013	484332	151196	49409	68020	20164	14930	13466	39063	52529	356248	73.5545
Sylhet	July 2013	484198	151047	49226	67807	20120	14947	13600	39227	52827	355974	73.5183
Sylhet	August 2013	484698	151282	49249	68038	20093	15139	13664	39407	53071	356872	73.6277
Sylhet	September 2013	486578	151124	49441	68668	20893	15567	14068	39726	53794	359487	73.8807
Sylhet	October 2013	486560	151599	49584	68585	20370	15585	13921	40252	54173	359896	73.9674
Sylhet	November 2013	486431	151863	49609	68733	20455	15870	14038	40588	54626	361156	74.2461
Sylhet	December 2013	486858	151539	49643	68950	20649	16024	14117	40692	54809	361614	74.2750
Sylhet	January 2014	487458	151520	49545	69147	20617	16295	14179	40913	55092	362216	74.3071
Sylhet	February 2014	488855	151400	49492	69316	20683	16555	14237	41228	55465	362911	74.2369
Sylhet	March 2014	491092	151551	49586	69387	20647	16847	14322	41622	55944	363962	74.1128
Sylhet	April 2014	491441	151589	49634	69541	20784	17291	14394	41906	56300	365139	74.2997
Sylhet	May 2014	492348	152270	49779	69671	20904	17475	14478	42200	56678	366777	74.4955
Sylhet	June 2014	492957	152363	49705	69909	21172	17885	14574	42467	57041	368075	74.6668
Sylhet	July 2014	493078	152344	49516	69716	21178	17935	14588	42563	57151	367840	74.6008
Sylhet	August 2014	493771	152548	49577	69799	21162	18179	14769	42880	57649	368914	74.7136
Sylhet	September 2014	495448	153211	49698	69995	21265	18557	14747	43189	57936	370662	74.8135
Sylhet	October 2014	496489	153634	49883	70204	21316	18891	14828	43507	58335	372263	74.9791
Sylhet	November 2014	498008	154122	50129	70581	21604	19340	14927	43816	58743	374519	75.2034
Sylhet	December 2014	499185	154296	50093	70651	21759	19730	14953	44176	59129	375658	75.2543
Sylhet	January 2015	499871	154443	50183	70757	21811	20065	14966	44384	59350	376609	75.3412
Sylhet	February 2015	500933	154653	50274	70870	21895	20431	14990	44586	59576	377699	75.3991
Sylhet	March 2015	501715	155244	50521	71066	21990	20799	15036	44849	59885	379505	75.6415
Sylhet	April 2015	502492	155774	50712	71306	22140	21191	15093	45114	60207	381330	75.8878
Sylhet	May 2015	503242	156352	50919	71718	22055	21558	15169	45402	60571	383173	76.1409
Sylhet	June 2015	503852	156526	50872	71807	21785	21679	15199	45493	60692	383361	76.0860
Sylhet	July 2015	506787	158319	49640	72655	21425	20682	15138	46379	61517	384238	75.8184
Sylhet	August 2015	507369	158826	49623	72739	21266	20929	15171	46572	61743	385126	75.9065
Sylhet	September 2015	508165	158998	49667	72850	21152	21163	15258	46755	62013	385843	75.9287
Sylhet	October 2015	508852	159457	49675	73015	21064	21409	15321	47094	62415	387035	76.0604
Sylhet	November 2015	509332	159892	49809	73461	20984	21860	15383	47381	62764	388770	76.3294
Sylhet	December 2015	509803	160126	49630	73601	20815	22196	15423	47492	62915	389283	76.3595
Sylhet	January 2016	493394	153083	46907	71383	19862	21394	14818	45914	60732	373361	75.6720
Sylhet	February 2016	507394	156782	48617	71842	19205	21651	14788	46042	60830	378927	74.6810
Sylhet	March 2016	507599	156668	48524	71362	18836	21649	14696	45780	60476	377515	74.3727
Sylhet	April 2016	509422	157147	48650	71580	18676	21759	14673	45806	60479	378291	74.2589
Sylhet	May 2016	509704	157770	49063	72024	18697	22050	14732	45989	60721	380325	74.6168
Sylhet	June 2016	509994	158140	49002	72157	18636	22020	14667	45994	60661	380616	74.6315
Sylhet	July 2016	510422	158602	49017	72367	18628	22190	14703	46121	60824	381628	74.7672
Sylhet	August 2016	511038	159670	48976	72725	18538	22489	14763	46525	61288	383686	75.0797
Sylhet	September 2016	511605	160604	49007	73006	18336	22652	14800	46738	61538	385143	75.2813
Sylhet	October 2016	512204	161519	49060	73247	18207	22858	14874	46979	61853	386744	75.5059
Sylhet	November 2016	509538	160928	48931	73198	18054	23062	14821	47285	62106	386279	75.8097
Sylhet	December 2016	513975	162910	49481	73917	18088	23079	14948	47518	62466	389941	75.8677
Sylhet	January 2017	515041	163663	49691	74191	18007	23290	15015	47600	62615	391457	76.0050
Sylhet	February 2017	515807	164323	49844	74388	17890	23545	15032	47768	62800	392790	76.1506
Sylhet	March 2017	516266	164989	49887	74549	17833	23782	15053	47945	62998	394038	76.3246
Sylhet	April 2017	516669	165455	49903	74849	17788	23930	15079	48101	63180	395105	76.4716
Sylhet	May 2017	517141	166027	50087	75146	17733	24344	15130	48440	63570	396907	76.7502
Sylhet	June 2017	517486	166568	50067	75215	17716	24322	15155	48269	63424	397312	76.7773
Sylhet	July 2017	517844	167136	50104	75377	17696	24613	15180	48465	63645	398571	76.9674
Sylhet	August 2017	518400	167473	50290	75588	17697	24857	15242	48641	63883	399788	77.1196
Sylhet	September 2017	518993	168198	50456	75780	17592	25170	15259	48857	64116	401312	77.3251
Sylhet	October 2017	519664	168519	50479	75957	17777	25458	15307	49082	64389	402579	77.4691
Sylhet	November 2017	520745	169026	50598	75994	17784	25773	15356	49305	64661	403836	77.5497
