monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	1075	3261	4336	2749	7085	1561	1326	1219	843	357	16	239	156	41	149	191	278	364	144	156	242	372	36	13	36	50	0	5	303	103	844	878	799	732	874	16	550	109	1	931	1030	88	433	155	102	922	958	957	962	814	281	764	573	5	0	3	2	2	4	2	1	215	222	136	2279	12024	436	2	79	35	193
2016-02-28	1063	3121	4184	2822	7006	1290	1229	1092	813	357	15	152	0	37	300	172	283	377	271	118	205	366	9	48	9	50	0	5	261	72	891	866	790	775	827	15	442	42	2	290	476	198	440	185	131	896	984	985	956	828	807	830	696	1	0	1	3	2	5	1	1	187	194	72	2219	10668	590	17	87	51	274
2016-03-28	598	3572	4170	2957	7127	1416	1312	1261	953	373	34	138	0	28	384	231	338	471	353	168	234	406	30	96	30	4	6	8	259	85	900	907	887	783	769	43	409	60	6	733	622	197	389	246	141	957	1008	1051	1019	826	1027	885	821	11	7	5	6	3	9	1	0	141	151	126	1957	9202	649	8	64	46	263
2016-04-28	606	3300	3906	2983	6889	1345	1213	1136	816	397	25	196	36	83	343	160	328	484	295	137	261	409	13	66	13	35	0	8	269	90	829	865	814	729	749	38	357	56	10	491	530	274	374	385	403	996	1040	1072	1066	803	1006	1134	794	2	1	2	3	1	4	0	0	124	128	179	2154	10186	470	2	69	46	279
2016-05-28	739	3186	3925	2800	6725	1505	1211	1182	852	353	15	158	35	85	328	235	304	452	294	130	205	414	23	91	23	37	0	2	251	97	859	880	826	785	777	36	199	68	38	779	1046	376	545	310	346	1019	1057	1075	1073	833	992	937	1054	8	1	1	2	0	2	1	1	112	116	163	2225	10563	540	4	40	34	247
2016-06-28	735	2991	3726	2874	6600	1240	1015	1063	840	348	22	160	175	81	321	178	277	472	289	133	215	400	23	114	23	52	0	4	201	103	838	868	914	818	793	26	75	54	3	674	751	410	339	346	373	1039	1098	1074	1044	916	1057	899	729	3	1	1	1	0	1	0	0	133	134	164	2191	8972	547	11	49	35	276
2016-07-28	741	2956	3697	2925	6622	1314	1071	933	699	358	13	199	201	96	356	231	310	454	311	173	229	418	70	155	70	57	0	13	241	89	846	870	869	835	829	27	0	31	6	685	764	264	291	367	397	964	979	1051	1060	929	922	947	764	4	0	3	9	2	11	1	4	146	162	176	1819	7834	527	0	46	33	269
2016-08-28	796	2909	3705	2793	6498	1521	1251	1201	875	315	24	180	189	120	319	224	329	508	273	160	234	391	11	106	11	62	0	7	178	72	819	804	831	751	752	17	155	60	7	570	550	410	291	319	344	974	1008	1007	1020	906	1027	968	747	33	1	5	0	2	2	0	0	165	167	206	1759	7552	486	0	49	34	201
2016-09-28	824	2800	3624	2984	6608	1486	1342	1031	921	358	19	198	223	126	322	203	299	500	283	159	226	439	13	94	13	44	0	5	178	83	844	820	807	803	804	33	206	37	3	622	599	278	417	353	361	1022	1010	1023	1020	826	1033	965	754	0	0	0	1	0	1	3	2	138	144	180	2036	7456	456	1	55	32	172
2016-10-28	867	2791	3658	2975	6633	1262	1277	1111	939	433	34	196	240	131	370	216	313	508	304	143	264	485	15	154	15	38	0	7	233	83	829	819	827	748	798	28	255	41	21	570	1158	255	363	353	389	1005	1090	1062	1044	857	1100	992	794	8	2	1	1	1	2	1	1	165	169	204	2209	10675	435	1	70	34	196
2016-11-28	947	2704	3651	3040	6691	1394	1225	1099	835	379	19	237	214	142	358	251	322	539	319	210	244	1204	17	155	17	87	1	8	213	75	911	900	821	785	764	47	289	61	10	620	1379	324	501	364	403	1068	1097	1100	1094	941	1072	1019	852	8	3	1	1	3	4	2	2	194	202	253	2704	14014	429	0	54	41	200
2016-12-28	704	2749	3453	2935	6388	1037	1086	996	834	371	17	184	291	124	353	245	360	518	308	174	287	500	38	148	38	59	2	6	140	50	834	825	778	732	699	34	225	51	18	671	1574	370	448	354	359	979	1049	1085	1055	939	1082	916	844	6	3	4	2	2	4	2	1	216	223	211	2455	13459	471	0	41	42	201
2017-01-28	740	2648	3388	2834	6222	1085	1091	984	868	349	16	201	290	112	363	247	320	462	322	174	273	463	35	204	35	50	0	6	169	98	875	816	888	782	766	29	211	52	22	718	1540	369	524	332	358	1083	1129	1079	1112	1214	1138	1003	785	1	5	2	5	1	6	0	0	226	232	212	3040	16785	463	2	63	34	215
