   Dump For Table car_details from Database dgfpmis_ss8 on 10-25-2018 07:32
Dist_Name	MonthYear	EC	Pill	Con	Inj	IUD	Imp	PerM	PerF	TPer	TUser	CAR	
Jamalpur	March 2007	75715	28359	5410	15253	2104	1129	696	3467	4163	56418	74.5136
Jamalpur	May 2007	81777	27211	8483	17591	2233	403	647	3147	3794	59715	73.0218
Jamalpur	July 2007	85701	25649	8923	18368	2313	732	679	3409	4088	60073	70.0960
Jamalpur	August 2007	85691	27203	9538	18330	2328	715	684	3418	4102	62216	72.6051
Jamalpur	September 2007	89390	29218	9663	18738	2370	772	732	2686	3418	64179	71.7966
Jamalpur	October 2007	86837	28749	6806	16584	2353	500	701	3288	3989	58981	67.9215
Jamalpur	November 2007	86793	29300	8443	18257	2453	824	719	3378	4097	63374	73.0174
Jamalpur	December 2007	88426	30353	8671	19243	2518	930	746	3498	4244	65959	74.5923
Jamalpur	January 2008	83373	31778	5945	19541	2258	985	751	3511	4262	64769	77.6858
Jamalpur	February 2008	87130	31585	5584	19354	2551	1590	720	3258	3978	64642	74.1903
Jamalpur	March 2008	73112	26451	5592	18185	2072	923	576	2544	3120	56343	77.0640
Jamalpur	April 2008	90467	33213	5645	20563	2670	1307	771	3535	4306	67704	74.8383
Jamalpur	May 2008	65668	27227	5452	24796	2149	1116	735	3102	3837	64577	98.3386
Jamalpur	June 2008	75615	27241	4669	21814	2153	1107	739	3099	3838	60822	80.4364
Jamalpur	July 2008	90652	32734	6725	20760	2651	1335	778	3523	4301	68506	75.5703
Jamalpur	August 2008	89908	33179	6800	19355	2514	1253	658	2335	2993	66094	73.5129
Jamalpur	September 2008	89716	32944	6380	19381	2026	1249	673	2334	3007	64987	72.4364
Jamalpur	October 2008	89546	32956	6509	19445	2063	1278	659	2333	2992	65243	72.8598
Jamalpur	November 2008	89619	33731	6451	19639	2142	1366	661	2319	2980	66309	73.9899
Jamalpur	December 2008	90732	33051	7321	19572	2154	1368	664	2320	2984	66450	73.2377
Jamalpur	January 2009	89741	32344	6093	18526	2181	1390	667	2321	2988	63522	70.7837
Jamalpur	February 2009	86403	32471	5820	16961	1715	1517	705	2686	3391	61875	71.6121
Jamalpur	March 2009	86575	32867	5886	17036	1744	1526	707	2697	3404	62463	72.1490
Jamalpur	April 2009	86601	33418	5911	17086	1855	1517	722	2710	3432	63219	73.0003
Jamalpur	May 2009	85494	32860	5570	15702	1707	1419	729	2438	3167	60425	70.6775
Jamalpur	June 2009	85702	32803	5604	15725	1734	1407	733	2440	3173	60446	70.5304
Jamalpur	July 2009	91831	34448	6659	15954	1792	1407	767	2656	3423	63683	69.3480
Jamalpur	August 2009	85632	32993	5752	15780	1676	1305	757	2344	3101	60607	70.7761
