thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Barisal Sadar	2897917	14967	2912884	3709044	585203	287152	11512	434	11946	527	11532	471	12003	2588	1719	12843	111	0	101029	65046	38	12617	2516	2791	5307	17924
Uzirpur	2160077	9666	2169743	1908702	181769	91685	4182	31	4213	264	8457	0	8457	1662	2064	11641	56	0	0	0	15	709	1823	50	1873	2582
Bakerganj	2254038	17606	2271644	2013221	439452	205732	11986	15	12001	1445	4628	22	4650	0	5072	10837	19	0	84696	385479	1630	1624	2235	3	2238	3862
Babuganj	1002120	4412	1006532	676373	121101	58490	4525	0	4525	292	3543	33	3576	1192	634	6290	0	0	0	0	0	749	1094	5	1099	1848
Mehendiganj	1633744	10290	1644034	2010197	574176	369485	6940	24	6964	685	3807	0	3807	1217	2393	13956	0	0	0	378954	0	1541	122	25	147	1688
Gournadi	1380819	8233	1389052	1014279	142039	84488	3846	3	3849	164	4108	0	4108	865	1924	9335	75	0	0	0	8	307	2369	1	2370	2677
Muladi	1020358	3837	1024195	1234747	283707	170593	5171	0	5171	1418	1601	0	1601	300	1728	3352	0	0	27482	96701	186	455	657	12	675	1130
Hizla	951385	6225	957610	1439138	351022	219472	3581	19	3600	438	1191	0	1191	266	4697	7921	0	0	0	103519	405	679	200	1	201	880
Agailjhara	1311079	5111	1316190	1183405	89184	47306	3034	5	3039	334	2774	420	3194	668	1405	9632	3	0	0	41070	13	301	1019	270	1280	1581
Banaripara	1374008	7332	1381340	945368	108480	54251	3350	23	3373	298	4446	1	4447	244	888	3752	0	0	0	0	23	533	1061	26	1087	1620
