thana_Name	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
Adarsho Sadar	2640712	10867	2651579	6170632	602990	291920	13381	1284	14665	951	13057	485	13542	3588	3889	18403	113	0	43180	0	48	6413	4428	2711	7135	13548
Chouddagram	2700744	13425	2714169	2568318	604265	331802	8696	298	8994	377	4160	420	4580	777	3741	10374	5	0	32690	0	20	1407	2863	712	3575	4982
Barura	3227455	12045	3239500	4819041	483621	255628	7756	220	7976	275	5238	237	5475	975	4448	16038	0	0	0	0	1	1909	1553	677	2230	4139
Laksham	1481148	7269	1488417	2174538	309770	142014	5522	0	5522	14	2978	320	3298	0	1026	12001	87	0	0	15	15	421	2738	373	3107	3528
Burichong	2863841	11831	2875672	5418847	293983	166549	8252	124	8376	331	7339	915	8254	1235	2436	16038	390	170	514833	301288	864	1812	1500	239	1722	3534
Brahmanpara	1193588	9112	1202700	1441224	168106	75982	4096	16	4112	44	2842	299	3141	244	2006	14728	0	0	0	0	1	364	2199	180	2369	2733
Homna	1188421	6845	1195266	3456880	214343	118035	4160	0	4160	268	1666	18	1684	391	2166	14019	4401	0	22849	28485	142	356	1371	704	2073	2429
Muradnagar	3987792	16565	4004357	9204717	624980	333474	11551	27	11578	1158	8448	18	8466	44	4392	20580	0	84	0	6	79	473	4552	644	5176	5649
Debidwar	3091664	19180	3110844	4332618	432231	236688	13365	2339	15704	1183	4045	106	4151	272	3087	16569	0	0	6270	0	3	895	3039	1704	4679	5574
Daudkandi	1881950	13593	1895543	3980266	360712	190440	10667	397	11064	692	4206	89	4295	1415	4869	14932	0	2	62874	0	0	1264	4234	953	5189	6453
Chandina	2299372	9728	2309100	4153682	408734	220160	5512	365	5877	505	1971	109	2080	589	1802	9800	0	0	0	0	0	2211	1211	1100	2311	4522
Nangolkot	1588932	12954	1601886	5413374	466918	228713	4893	108	5001	120	5652	2	5654	103	3617	14684	0	0	40437	82100	26	52	3433	28	3461	3513
Meghna	590913	4206	595119	817766	145343	77796	1653	17	1670	120	906	8	914	251	1305	14341	1	11	10269	12796	417	86	1534	0	1534	1620
Titash	742872	6199	749071	1970251	176228	97726	3643	84	3727	34	1966	22	1988	265	2309	8933	0	0	210	0	2	307	1692	785	2477	2784
Comilla Sadar South	2449147	14127	2463274	2142900	375531	209364	6075	295	6370	252	4122	135	4257	903	1858	11535	0	0	0	0	0	1581	2344	504	2831	4412
Monohargonj	1124974	9256	1134230	1435190	239741	105631	3208	128	3336	242	2138	283	2421	39	1070	11485	23	0	2820	3108	204	313	2263	315	2555	2868
