   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	46731	16494	1792	10579	1572	569	396	3532	3928	34934	74.7555
Matlab (South)	42218	14242	2565	9778	668	572	464	2728	3192	31017	73.4687
Hajiganj	60840	24078	2157	12928	1775	846	562	4064	4626	46410	76.2821
Chandpur Sadar	70543	27495	2900	14405	2335	2511	1114	4785	5899	55545	78.7392
Kachua	77589	26787	4108	15090	1886	1546	1321	5250	6571	55988	72.1597
Faridganj	81021	32153	4810	14202	1895	1938	612	6156	6768	61766	76.2346
Hemchar	18758	7619	643	3491	573	362	212	1582	1794	14482	77.2044
Motlab (North)	56969	21668	3298	9076	1218	1487	275	6193	6468	43215	75.8570

 
