   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	92348	32308	17158	11560	2685	5458	2857	4284	7141	76310	82.6331
Dumuria	63817	24442	4204	10304	1352	3234	2688	5774	8462	51998	81.4799
Khulna Sadar	75607	27125	11207	8933	2219	3497	3867	3381	7248	60229	79.6606
Dacope	30895	14908	1203	3510	212	1717	626	2778	3404	24954	80.7704
Terokhada	25938	10159	2255	2704	1008	1443	943	1554	2497	20066	77.3614
Fultala	27352	8724	3207	4647	643	1031	1400	2053	3453	21705	79.3543
Batiaghata	38105	15987	2680	5131	1512	1388	1645	1693	3338	30036	78.8243
Paikgachha	57348	23693	1633	8146	1072	3054	1834	6132	7966	45564	79.4518
Rupsha	37477	14610	2643	4179	1406	2043	1893	3161	5054	29935	79.8757
Koyra	40383	20410	1488	3534	607	1447	1397	2684	4081	31567	78.1690

 
