"selection1_name","selection1_url"
"Data Input","http://www.dgfpmis.org/ss/ss_menu.php#"
"MIS Form3","http://www.dgfpmis.org/ss/ss8/facility_login.php"
"MIS Form3b","http://www.dgfpmis.org/ss/ss8/misform_report3B/hospital_login.php"
"MIS Form4 (Upazila)","http://www.dgfpmis.org/ss/ss8/thana_login.php"
"Review District","http://www.dgfpmis.org/ss/ss8/district_login.php"
"FP Method Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Monthly(Gov+NGO)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/car_rep8/divi_process.php"
"District wise","http://www.dgfpmis.org/ss/car_rep8/district_process.php"
"Upazila wise","http://www.dgfpmis.org/ss/car_rep8/thana_process.php"
"Union wise","http://www.dgfpmis.org/ss/car_rep8/union_process.php"
"Monthly NGO","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/car_repngo8/ngodivi_process.php"
"District wise","http://www.dgfpmis.org/ss/car_repngo8/ngodistrict_process.php"
"Upazila/Thana wise","http://www.dgfpmis.org/ss/car_repngo8/ngothana_process.php"
"Periodical(Gov+NGO)","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/car_rep8/national_monthprocess.php"
"Division","http://www.dgfpmis.org/ss/car_rep8/division_monthprocess.php"
"District","http://www.dgfpmis.org/ss/car_rep8/district_monthprocess.php"
"Upazila/Thana","http://www.dgfpmis.org/ss/car_rep8/thana_monthprocess.php"
"Union","http://www.dgfpmis.org/ss/car_rep8/union_monthprocess.php"
"Periodical NGO","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/car_repngo8/ngonational_monthprocess.php"
"Division","http://www.dgfpmis.org/ss/car_repngo8/ngodivision_monthprocess.php"
"District","http://www.dgfpmis.org/ss/car_repngo8/ngodistrict_monthprocess.php"
"Upazila/Thana","http://www.dgfpmis.org/ss/car_repngo8/ngothana_monthprocess.php"
"NGO wise","http://www.dgfpmis.org/ss/car_repngo8/ngowise_monthprocess.php"
"New Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/nuserdivi_process.php"
"District wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/nuserdistrict_process.php"
"Upazila wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/nuserthana_process.php"
"Dropout Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/dropoutdivi_process.php"
"District wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/dropoutdist_process.php"
"Upazila wise Periodical","http://www.dgfpmis.org/ss/car_newdrop8/dropoutthana_process.php"
"Maternal, Child & Reproductive Health","http://www.dgfpmis.org/ss/ss_menu.php#"
"Monthly","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_diviprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_distprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_thanaprocess.php"
"Periodical","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/mch_rep8/mchgo_nationalmonthprocess.php"
"Division wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_divimonthprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_distmonthprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_thanamonthprocess.php"
"Union wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_unionmonthprocess.php"
"Consulated Services","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_diviconsuhprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_distconsuhprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_rep8/mchgo_thanaconsuhprocess.php"
"Distribution & Performed (FP method)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Distribution (Total)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/distribution_rep8/distributinGO_diviprocess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_rep8/distributinGO_distprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_rep8/distributinGO_thanaprocess.php"
"Union wise","http://www.dgfpmis.org/ss/distribution_rep8/distributinGO_unionprocess.php"
"Distribution (NGO)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributinNGO_diviprocess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributinNGO_distprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributinNGO_thanaprocess.php"
"Periodical (Total)","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_nationalmonthProcess.php"
"Division wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_divmonthProcess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_distmonthProcess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_thanamonthProcess.php"
"Union wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_unionmonthProcess.php"
"Periodical (NGO)","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_nationalmonthProcess.php"
"Division wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_divmonthProcess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_distmonthProcess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_thanamonthProcess.php"
"Consulated (Total)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_diviconsuprocess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_distconsuprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_rep8/distributionGO_thanaconsuprocess.php"
"Consulated (NGO)","http://www.dgfpmis.org/ss/ss_menu.php#"
"NGO wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_ngowiseprocess.php"
"Division wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_diviconsuprocess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_distconsuprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/distribution_repngo8/distributionNGO_thanaconsuprocess.php"
"NGO Performance Division wise","http://www.dgfpmis.org/ss/distribution_repngo8/ngowise_diviprocess.php"
"Consulated (LAPM)","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/distribution_rep8/performed_distconsuprocess.php"
"District wise","http://www.dgfpmis.org/ss/distribution_rep8/performed_thanaconsuprocess.php"
"Nutrition Services","http://www.dgfpmis.org/ss/ss_menu.php#"
"Monthly","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_diviprocess.php"
"District wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_distprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_thanaprocess.php"
"Periodical","http://www.dgfpmis.org/ss/ss_menu.php#"
