Data,Organisation unit,Value
Penta 2 given (0-11m),Chapai Nababganj District,71108.0
TT4 dose (15-49y women),Khagrachhari District,33962.0
Fully Immunized Child,Sylhet District,89107.0
PCV2 given 12-23m,Netrokona District,9.0
OPV 2 given (0-11m),Thakurgaon District,48039.0
EPI Session Held,Faridpur District,46310.0
TT5 dose pregnant women,Tangail District,13655.0
TT2 dose (15-49y women),Netrokona District,51094.0
EPI Birth Registration done,Pirojpur District,39591.0
EPI FWA,Chandpur District,26917.0
OPV 0 given (0-11m),Chapai Nababganj District,970.0
EPI FWA,Satkhira District,18626.0
OPV 2 given (12-23m),Madaripur District,0.0
Penta 1 given (0-11m),Sirajganj District,154053.0
OPV 1 given (12-23m),Dinajpur District,0.0
OPV 4 given (12-23m),Brahmanbaria District,3.0
TT1 dose pregnant women,Chapai Nababganj District,4831.0
OPV 2 given (0-11m),Barguna District,42126.0
EPI Gavi_Vol,Kishoreganj District,14.0
OPV 1 given (0-11),Brahmanbaria District,159827.0
TT4 dose (15-49y women),Rangamati District,28414.0
OPV 3 given (0-11m),Pirojpur District,45672.0
TT2 dose (15-49y women),Maulavi Bazar District,37504.0
TT3 dose (15-49y women),Panchagarh District,24519.0
Fully Immunized Child,Narail District,14107.0
EPI Birth Registration done,Natore District,53431.0
TT2 dose pregnant women,Tangail District,10825.0
MR given 0-11m,Natore District,34185.0
OPV 1 given (12-23m),Noakhali District,0.0
OPV 2 given (12-23m),Magura District,0.0
OPV 1 given (0-11),Rajshahi District,134885.0
TT4 dose pregnant women,Panchagarh District,3209.0
EPI Infant Monthly Target,Pirojpur District,49483.0
Penta 1 given (0-11m),Gazipur District,192891.0
Penta 1 given (12-23m),Natore District,0.0
OPV 3 given (0-11m),Natore District,61436.0
Penta 1 given (0-11m),Manikganj District,55240.0
Fully Immunized Child,Mymensingh District,127299.0
PCV2 given 12-23m,Maulavi Bazar District,1.0
BCG given (0-11m),Gaibandha District,90780.0
EPI U1 Death,Barguna District,101.0
EPI HA,Jhalokati District,12565.0
OPV 1 given (12-23m),Cumilla District,5629.0
IPV given 0-11m,Jashore District,580.0
OPV 1 given (0-11),Rangamati District,28408.0
EPI Gavi_Vol,Narayanganj District,125.0
PCV1 given 0-11m,Lalmonirhat District,28751.0
EPI HA,Magura District,19791.0
EPI U1 Death,Thakurgaon District,93.0
OPV 1 given (12-23m),Shariatpur District,0.0
TT4 dose (15-49y women),Rajshahi District,63662.0
EPI Infant Monthly Target,Joypurhat District,32650.0
OPV 2 given (12-23m),Jhalokati District,4567.0
Penta 1 given (12-23m),Pirojpur District,126.0
PCV1 given 12-23m,Narshingdi District,1566.0
OPV 4 given (12-23m),Habiganj District,958.0
TT2 dose (15-49y women),Patuakhali District,38187.0
Fully Immunized Child,Tangail District,72241.0
TT5 dose pregnant women,Sylhet District,10498.0
EPI Session Held,Chattogram District,112060.0
TT3 dose pregnant women,Jashore District,21597.0
PCV2 given 0-11m,Chandpur District,61474.0
OPV 4 given (12-23m),Rangamati District,276.0
OPV 1 given (0-11),Khagrachhari District,33891.0
OPV 1 given (0-11),Habiganj District,108928.0
fIPV1 given (0-11m),Narayanganj District,63462.0
OPV 4 given (12-23m),Khagrachhari District,0.0
MR given 15-18m,Narail District,13812.0
OPV 3 given (0-11m),Jamalpur District,104527.0
PCV3 given 0-11m,Panchagarh District,22857.0
EPI Session Held,Dhaka District,93789.0
EPI Birth Registration done,Jamalpur District,83312.0
Penta 1 given (0-11m),Cumilla District,345015.0
MR given 0-11m,Gaibandha District,54163.0
TT3 dose (15-49y women),Munshiganj District,34958.0
EPI Gavi_Vol,Chattogram District,805.0
EPI U1 Death,Tangail District,591.0
Penta 1 given (12-23m),Jamalpur District,16.0
EPI Gavi_Vol,Bandarban District,3267.0
TT2 dose (15-49y women),Gaibandha District,47537.0
PCV1 given 0-11m,Barishal District,58862.0
Fully Immunized Child,Kurigram District,52387.0
MR given 0-11m,Jamalpur District,53626.0
EPI HA,Jhenaidaha District,31958.0
TT5 dose pregnant women,Mymensingh District,33164.0
TT2 dose pregnant women,Barguna District,10541.0
fIPV1 given (0-11m),Brahmanbaria District,75489.0
OPV 0 given (0-11m),Patuakhali District,9742.0
Penta 1 given (12-23m),Gaibandha District,0.0
OPV 3 given (12-23m),Rangamati District,173.0
PCV2 given 0-11m,Manikganj District,31987.0
TT3 dose pregnant women,Bhola District,17011.0
TT4 dose (15-49y women),Brahmanbaria District,98145.0
fIPV1 given (0-11m),Kishoreganj District,79183.0
BCG given (0-11m),Gopalganj District,60551.0
EPI Women Given Vitamin A Dose,Panchagarh District,22784.0
BCG given (0-11m),Netrokona District,110560.0
MR given 0-11m,Pirojpur District,23258.0
TT4 dose pregnant women,Munshiganj District,3202.0
OPV 3 given (12-23m),Feni District,0.0
TT1 dose (15-49y women),Dhaka District,107471.0
OPV 1 given (12-23m),Meherpur District,0.0
TT3 dose (15-49y women),Rangpur District,77850.0
EPI FWA,Jhalokati District,3296.0
EPI FWA,Laksmipur District,14639.0
Penta 3 given 12-23m,Khulna District,1.0
fIPV1 given (0-11m),Rangamati District,13936.0
Penta 3 given 0-11m,Barguna District,19894.0
EPI Women Given Vitamin A Dose,Munshiganj District,29398.0
PCV3 given 12-23m,Maulavi Bazar District,3.0
TT4 dose (15-49y women),Habiganj District,54718.0
PCV1 given 0-11m,Jashore District,53931.0
EPI Gavi_Vol,Dhaka District,3278.0
OPV 1 given (12-23m),Kustia District,0.0
EPI Gavi_Vol,Coxs Bazar District,4748.0
PCV2 given 0-11m,Magura District,20022.0
EPI FWA,Gazipur District,8703.0
fIPV1 given (0-11m),Coxs Bazar District,64568.0
EPI Session Planned,Magura District,23274.0
OPV 3 given (12-23m),Naogaon District,0.0
OPV 3 given (12-23m),Khagrachhari District,0.0
fIPV1 given (0-11m),Khagrachhari District,16343.0
TT4 dose pregnant women,Rangpur District,12153.0
TT1 dose (15-49y women),Chattogram District,130947.0
Fully Immunized Child,Narshingdi District,55784.0
OPV 3 given (12-23m),Bogura District,0.0
OPV 4 given (12-23m),Rajshahi District,50993.0
Fully Immunized Child,Nilphamari District,37795.0
TT2 dose (15-49y women),Gopalganj District,39349.0
fIPV2 given (0-11m),Thakurgaon District,21406.0
PCV3 given 12-23m,Netrokona District,4.0
EPI U1 Death,Sylhet District,729.0
EPI Session Held,Bandarban District,15243.0
TT4 dose (15-49y women),Bagerhat District,36749.0
EPI Women Given Vitamin A Dose,Rangpur District,68800.0
PCV1 given 0-11m,Bhola District,47783.0
EPI Session Planned,Madaripur District,38474.0
EPI Session Held,Kishoreganj District,63482.0
TT5 dose pregnant women,Barguna District,7895.0
BCG given (0-11m),Maulavi Bazar District,80008.0
EPI HA,Satkhira District,43564.0
TT2 dose pregnant women,Sylhet District,20373.0
TT3 dose pregnant women,Joypurhat District,2042.0
MR given 0-11m,Maulavi Bazar District,40030.0
TT2 dose pregnant women,Mymensingh District,47185.0
TT3 dose (15-49y women),Narshingdi District,58106.0
Penta 2 given (12-23m),Chapai Nababganj District,0.0
fIPV2 given (0-11m),Chattogram District,185122.0
OPV 2 given (0-11m),Narail District,30380.0
PCV2 given 0-11m,Shariatpur District,27832.0
PCV1 given 0-11m,Shariatpur District,27756.0
TT2 dose pregnant women,Chuadanga District,5103.0
TT5 dose (15-49y women),Panchagarh District,22963.0
OPV 4 given (12-23m),Bagerhat District,0.0
OPV 2 given (12-23m),Feni District,0.0
PCV3 given 0-11m,Nilphamari District,39634.0
OPV 1 given (0-11),Sherpur District,35868.0
MR given 0-11m,Barishal District,58100.0
OPV 1 given (0-11),Narayanganj District,133890.0
Fully Immunized Child,Barguna District,17665.0
MR given 15-18m,Chuadanga District,20077.0
fIPV2 given (0-11m),Bandarban District,7374.0
Penta 2 given (0-11m),Maulavi Bazar District,78798.0
Penta 3 given 12-23m,Faridpur District,269.0
TT4 dose pregnant women,Chuadanga District,3640.0
OPV 4 given (12-23m),Narayanganj District,1554.0
EPI Gavi_Vol,Brahmanbaria District,3589.0
MR given 0-11m,Netrokona District,53412.0
EPI FWA,Naogaon District,25046.0
OPV 3 given (12-23m),Jhenaidaha District,0.0
EPI Infant Monthly Target,Jashore District,189066.0
OPV 1 given (12-23m),Gazipur District,0.0
BCG given (0-11m),Jamalpur District,107793.0
TT1 dose (15-49y women),Bandarban District,11909.0
TT3 dose pregnant women,Shariatpur District,1913.0
OPV 1 given (12-23m),Laksmipur District,0.0
TT3 dose pregnant women,Kustia District,8528.0
OPV 4 given (12-23m),Khulna District,1.0
PCV2 given 0-11m,Kustia District,42681.0
TT5 dose pregnant women,Rajbari District,5879.0
OPV 3 given (12-23m),Madaripur District,0.0
EPI HA,Naogaon District,60498.0
MR given 0-11m,Gopalganj District,26318.0
OPV 0 given (0-11m),Gopalganj District,9364.0
Fully Immunized Child,Munshiganj District,33917.0
PCV2 given 0-11m,Jhalokati District,13020.0
BCG given (0-11m),Patuakhali District,77551.0
MR given 0-11m,Lalmonirhat District,28566.0
BCG given (0-11m),Pirojpur District,45490.0
Penta 2 given (12-23m),Patuakhali District,0.0
EPI Birth Registration done,Gaibandha District,77205.0
TT1 dose pregnant women,Netrokona District,12226.0
BCG given (0-11m),Bhola District,102483.0
TT2 dose pregnant women,Nilphamari District,9677.0
TT2 dose (15-49y women),Natore District,32203.0
TT4 dose (15-49y women),Khulna District,43224.0
EPI Session Planned,Chandpur District,50017.0
MR given 15-18m,Pabna District,64557.0
EPI FWA,Madaripur District,10873.0
Penta 1 given (0-11m),Noakhali District,191728.0
Penta 3 given 12-23m,Dhaka District,888.0
PCV2 given 0-11m,Dinajpur District,59705.0
OPV 3 given (0-11m),Gaibandha District,89378.0
EPI Women Given Vitamin A Dose,Narshingdi District,70780.0
TT2 dose pregnant women,Rajbari District,4782.0
PCV1 given 0-11m,Joypurhat District,15978.0
Fully Immunized Child,Rangpur District,61165.0
TT3 dose pregnant women,Natore District,5072.0
TT3 dose pregnant women,Sirajganj District,20951.0
EPI FWA,Shariatpur District,16334.0
EPI Women Given Vitamin A Dose,Kurigram District,75293.0
Penta 2 given (0-11m),Gaibandha District,89081.0
