Data,Organisation unit,Value
EPI012,dNLjKwsVjod,2689915.0
EPI008,dNLjKwsVjod,3593022.0
EPI028,dNLjKwsVjod,701341.0
EPI045,dNLjKwsVjod,65036.0
EPI025,dNLjKwsVjod,6463466.0
qMZseedjTs2,dNLjKwsVjod,2326.0
CVWtvuChnN4,dNLjKwsVjod,3354548.0
EPI046,dNLjKwsVjod,65658.0
GoIHz80UERt,dNLjKwsVjod,3441478.0
EPI051,dNLjKwsVjod,5092548.3
HCGy8hSQrrn,dNLjKwsVjod,3411788.0
EPI004,dNLjKwsVjod,650849.0
EPI048,dNLjKwsVjod,77792.0
sheiuFeL5re,dNLjKwsVjod,1677.0
EPI005,dNLjKwsVjod,877935.0
EPI018,dNLjKwsVjod,6541064.0
EPI003,dNLjKwsVjod,684304.0
EPI016,dNLjKwsVjod,104585.0
EPI014,dNLjKwsVjod,2525683.0
OS8FHo7DST0,dNLjKwsVjod,8658060.1
foSKZmdiKvO,dNLjKwsVjod,3712.0
EPI015,dNLjKwsVjod,890923.0
aO26dRReDw1,dNLjKwsVjod,16735.0
EPI030,dNLjKwsVjod,6374834.0
EPI006,dNLjKwsVjod,2787126.0
EPI029,dNLjKwsVjod,6416327.0
EPI013,dNLjKwsVjod,2645370.0
EPI043,dNLjKwsVjod,63402.0
EPI042,dNLjKwsVjod,67717.0
EPI001,dNLjKwsVjod,979461.0
EPI007,dNLjKwsVjod,3013158.2
Pyz7rlAmMZ4,dNLjKwsVjod,3423624.0
EPI010,dNLjKwsVjod,3662873.0
EPI009,dNLjKwsVjod,3687886.0
EPI026,dNLjKwsVjod,6349163.0
nNTNsd237Zf,dNLjKwsVjod,2730620.0
izqdLEayxtk,dNLjKwsVjod,3452062.0
WMO4fDbBBsN,dNLjKwsVjod,3434645.0
HDzRDBWv2O5,dNLjKwsVjod,3240672.0
EPI002,dNLjKwsVjod,948938.0
EPI047,dNLjKwsVjod,65147.0
cqtZ9bBPXyp,dNLjKwsVjod,6665.0
EPI031,dNLjKwsVjod,6346162.0
y18L7Mx36gU,dNLjKwsVjod,3842.0
RYtOwMY20z9,dNLjKwsVjod,3427997.0
EPI011,dNLjKwsVjod,3868733.0
