Data,Organisation unit,Value
EPI026,5070,75026.0
y18L7Mx36gU,5076,49.0
EPI009,2046,33026.0
WMO4fDbBBsN,6091,131994.0
foSKZmdiKvO,3072,9.0
EPI030,5594,57139.0
EPI013,3029,47085.0
EPI005,3093,14321.0
EPI007,3072,59232.0
EPI051,1079,41864.0
EPI015,2013,27044.0
EPI028,5070,2691.0
EPI015,4087,18647.0
EPI046,3054,90.0
EPI025,5088,155595.0
EPI045,5527,0.0
EPI048,2012,900.0
EPI001,5070,5481.0
EPI030,1004,41127.0
EPI016,3048,12.0
EPI029,2012,161361.0
EPI009,2084,28850.0
EPI031,1079,48716.0
EPI007,6058,44501.0
EPI008,5577,26983.0
WMO4fDbBBsN,4065,14492.0
EPI051,5069,57701.0
EPI002,3093,11542.0
GoIHz80UERt,5069,44588.0
EPI045,2075,0.0
EPI046,4055,0.0
EPI029,5081,122278.0
EPI004,5577,3555.0
OS8FHo7DST0,1079,48317.0
EPI025,3033,205722.0
EPI042,5069,0.0
EPI031,5069,62351.0
EPI025,3056,57855.0
WMO4fDbBBsN,3061,174362.0
foSKZmdiKvO,6058,638.0
EPI018,5532,112920.0
aO26dRReDw1,1004,101.0
EPI014,1042,13161.0
EPI045,2019,0.0
cqtZ9bBPXyp,4041,3586.0
qMZseedjTs2,2022,634.0
EPI029,2084,29791.0
EPI016,3067,359.0
izqdLEayxtk,5552,31343.0
EPI014,4055,20266.0
aO26dRReDw1,5594,93.0
EPI045,3086,0.0
EPI009,5081,68788.0
OS8FHo7DST0,5038,71644.0
EPI046,1042,0.0
EPI042,1079,126.0
y18L7Mx36gU,3068,1566.0
EPI048,6036,0.0
EPI007,1078,31864.0
WMO4fDbBBsN,3093,90781.0
EPI005,6091,12903.0
EPI013,2015,128389.0
EPI003,4041,24990.0
cqtZ9bBPXyp,5527,11055.0
RYtOwMY20z9,2013,69682.0
EPI048,2084,172.0
EPI029,2046,31034.0
EPI029,6036,115442.0
HDzRDBWv2O5,3067,63462.0
EPI048,2046,182.0
CVWtvuChnN4,4065,13812.0
EPI031,3039,106690.0
HCGy8hSQrrn,5577,25357.0
EPI013,3026,120957.0
EPI051,3039,92258.0
EPI025,2019,356728.0
GoIHz80UERt,5532,59821.0
cqtZ9bBPXyp,3086,11228.0
EPI008,3059,36464.0
EPI016,2015,1138.0
aO26dRReDw1,3093,591.0
EPI042,3039,15.0
EPI016,2003,3835.0
EPI007,5532,58923.0
izqdLEayxtk,1006,74461.0
WMO4fDbBBsN,5549,56741.0
GoIHz80UERt,3039,68967.0
EPI014,4044,31982.0
EPI005,3061,33970.0
EPI002,1004,9938.0
HDzRDBWv2O5,2012,75489.0
cqtZ9bBPXyp,6090,7563.0
EPI028,1078,8300.0
EPI042,5532,0.0
EPI047,2084,170.0
RYtOwMY20z9,3056,34051.0
EPI003,1009,17032.0
EPI009,2012,118320.0
HDzRDBWv2O5,3048,79183.0
EPI018,3035,79687.0
EPI011,5577,21059.0
EPI018,3072,123844.0
GoIHz80UERt,1079,32969.0
EPI004,3059,3567.0
EPI047,2030,0.0
y18L7Mx36gU,3061,23.0
EPI006,3026,144630.0
EPI045,4057,0.0
EPI008,5585,88043.0
EPI015,1042,3315.0
EPI015,2051,15451.0
qMZseedjTs2,4047,1.0
HDzRDBWv2O5,2084,13936.0
Pyz7rlAmMZ4,1004,25533.0
EPI011,3059,16391.0
sheiuFeL5re,6058,3.0
EPI009,6036,55480.0
izqdLEayxtk,4041,57620.0
EPI016,3026,5647.0
EPI045,4050,0.0
EPI016,2022,4518.0
RYtOwMY20z9,4055,25368.0
EPI015,3033,8502.0
HDzRDBWv2O5,2022,64568.0
EPI012,4055,23837.0
EPI047,5064,0.0
EPI047,2046,0.0
HDzRDBWv2O5,2046,16343.0
EPI004,5585,13692.0
EPI006,2015,151939.0
WMO4fDbBBsN,3068,62012.0
EPI047,5010,433.0
