Data,Organisation unit,Value
EPI Infant Monthly Target,Rowangchari Upazila Health Complex,1392.0
TT1 dose pregnant women,Ramganj Upazila Health Complex,2854.0
TT4 dose (15-49y women),Subarnachar Upazila Health Complex,12902.0
fIPV1 given (0-11m),"Bakerganj Upazila Health Complex, Barisal",7837.0
TT4 dose pregnant women,Khoksha Upazila Health Complex,462.0
TT2 dose (15-49y women),Gopalpur Upazila Health Complex,5002.0
OPV 4 given (12-23m),Betagi Upazila Health Complex,0.0
TT1 dose pregnant women,Mukshedpur Upazila Health Complex,1063.0
EPI Women Given Vitamin A Dose,"Dakshin Sunamganj Upazila Health Complex,Sunamganj",3209.0
TT2 dose (15-49y women),Kaliganj JD Upazila Health Complex,4842.0
TT4 dose pregnant women,Rajibpur Upazila Health Complex,740.0
Penta 2 given (12-23m),Bijoynagar Upazila Health Complex,0.0
PCV3 given 0-11m,Kaharol Upazila Health Complex,3639.0
EPI U1 Death,Durgapur Upazila Health Complex,82.0
TT3 dose (15-49y women),Khoksha Upazila Health Complex,3442.0
EPI Gavi_Vol,Sonargaon Upazila Health Complex,11.0
Penta 1 given (12-23m),Sreenagar Upazila Health Complex,0.0
OPV 3 given (0-11m),Fulpur Upazila Health Complex,31418.0
OPV 3 given (0-11m),Fulchari Upazila Health Complex,9169.0
EPI Session Held,Nasirnagar Upazila Health Complex,6864.0
OPV 1 given (12-23m),Gabtali Upazila Health Complex,0.0
EPI Session Held,"Fenchuganj Upazila Health Complex,Sylhet",2045.0
OPV 2 given (12-23m),"Jamalganj Upazila Health Complex,Sunamganj",0.0
TT2 dose pregnant women,Pirgacha Upazila Health Complex,1801.0
TT5 dose (15-49y women),Kalukhali Upazila Health Complex,2311.0
EPI FWA,Boalmari Upazila Health Complex,1330.0
TT4 dose (15-49y women),Muktagacha Upazila Health Complex,11411.0
TT3 dose pregnant women,"Biswambarpur Upazila Health Complex,Sunamganj",930.0
OPV 2 given (12-23m),Badarganj Upazila Health Complex,0.0
EPI FWA,Khansama Upazila Health Complex,2591.0
fIPV2 given (0-11m),Damudya Upazila Health Complex,2392.0
PCV3 given 0-11m,Gournadi Upazila Health Complex,3870.0
OPV 2 given (0-11m),Mithapukur Upazila Health Complex,21344.0
EPI Birth Registration done,Sreenagar Upazila Health Complex,11814.0
PCV2 given 0-11m,Brahmmanpara Upazila Health Complex,6810.0
PCV3 given 0-11m,Haziganj Upazila Health Complex,6759.0
MR given 15-18m,Dhubaura Upazila Health Complex,4951.0
PCV3 given 0-11m,Dhunat Upazila Health Complex,6506.0
PCV2 given 0-11m,Chandina Upazila Health Complex,12908.0
TT2 dose (15-49y women),Jhikargacha Upazila Health Complex,5487.0
Penta 1 given (0-11m),Tarash Upazila Health Complex,9694.0
EPI U1 Death,Fultala Upazila Health Complex,51.0
Fully Immunized Child,Kalkini Upazila Health Complex,6497.0
OPV 4 given (12-23m),"Shyamnagar Upazila Health Complex, Satkhira",0.0
PCV2 given 0-11m,Sujanagar Upazila Health Complex,7198.0
EPI Infant Monthly Target,Banaripara Upazila Health Complex,8764.0
OPV 0 given (0-11m),Shibganj Bogra Upazila Health Complex,347.0
EPI Women Given Vitamin A Dose,"Jaintiapur Upazila Health Complex,Sylhet",4414.0
MR given 0-11m,Madan Upazila Health Complex,4484.0
OPV 3 given (12-23m),Lama Upazila Health Complex,0.0
TT1 dose (15-49y women),Bagha Upazila Health Complex,1182.0
EPI Session Held,Bagha Upazila Health Complex,3964.0
Penta 2 given (12-23m),Sonagazi Upazila Health Complex,0.0
PCV2 given 0-11m,Fulbari DP Upazila Health Complex,2805.0
Penta 2 given (12-23m),"Fulgazi Health Complex, Feni",0.0
EPI Birth Registration done,Kaliganj LH Upazila Health Complex,7243.0
fIPV1 given (0-11m),Kendua Upazila Health Complex,7219.0
IPV given 0-11m,Paba Upazila Health Complex,830.0
BCG given (0-11m),"Companiganj SH Upazila Health Complex,Sylhet",12630.0
TT1 dose (15-49y women),Nasirnagar Upazila Health Complex,7472.0
EPI Women Given Vitamin A Dose,Ghior Upazila Health Complex,5939.0
fIPV2 given (0-11m),Alfadanga Upazila Health Complex,2503.0
EPI Women Given Vitamin A Dose,Kalihati Upazila Health Complex,12227.0
OPV 1 given (0-11),Chhagalnaya Upazila Health Complex,6312.0
OPV 1 given (0-11),Raipura Upazila Health Complex,27865.0
MR given 15-18m,Pirgacha Upazila Health Complex,7745.0
MR given 15-18m,"Mirpur Upazila Health Complex, Kushtia",6205.0
fIPV1 given (0-11m),Bhangura Upazila Health Complex,3307.0
EPI Infant Monthly Target,Nabinagar Upazila Health Complex,65075.0
Penta 1 given (0-11m),Nalitabari Upazila Health Complex,12516.0
TT1 dose pregnant women,Ramu Upazila Health Complex,1129.0
EPI Women Given Vitamin A Dose,Matlab(daxin) Upazila Health Complex,3630.0
TT4 dose pregnant women,Shibpur Upazila Health Complex,1567.0
Penta 2 given (12-23m),Chatkhil Upazila Health Complex,0.0
EPI Women Given Vitamin A Dose,Manda Upazila Health Complex,7495.0
Penta 1 given (12-23m),Kaliganj LH Upazila Health Complex,0.0
TT4 dose pregnant women,Lohagara Upazila Health Complex,898.0
fIPV1 given (0-11m),Raninagar Upazila Health Complex,3161.0
OPV 3 given (0-11m),"Tahirpur Upazila Health Complex,Sunamganj",13782.0
Penta 2 given (12-23m),Kotchandpur Upazila Health Complex,0.0
TT4 dose (15-49y women),Chhagalnaya Upazila Health Complex,2534.0
OPV 1 given (0-11),Mirzaganj Upazila Health Complex,6207.0
TT5 dose (15-49y women),Ramu Upazila Health Complex,5943.0
TT5 dose (15-49y women),Haimchar Upazila Health Complex,5026.0
TT4 dose pregnant women,Ukhyia Upazila Health Complex,1824.0
Penta 2 given (0-11m),Itna Upazila Health Complex,10978.0
EPI Gavi_Vol,Daulatkhan Upazila Health Complex,417.0
fIPV1 given (0-11m),Ramgati Upazila Health Complex,6405.0
EPI HA,Lalmohan Upazila Health Complex,4968.0
TT3 dose pregnant women,Austagram Upazila Health Complex,1405.0
EPI U1 Death,Hakimpur Upazila Health Complex,1.0
TT3 dose (15-49y women),Badalgachi Upazila Health Complex,7267.0
OPV 0 given (0-11m),Rupganj Upazila Health Complex,9668.0
OPV 3 given (12-23m),Chandanaish Upazila Health Complex,0.0
TT3 dose (15-49y women),Rajibpur Upazila Health Complex,3167.0
MR given 15-18m,Bhairab Upazila Health Complex,5624.0
BCG given (0-11m),"Jagannathpur Upazila Health Complex, Sunamganj",11675.0
EPI Birth Registration done,Laksham Upazila Health Complex,11574.0
TT4 dose pregnant women,Sarankhola Upazila Health Complex,523.0
TT1 dose pregnant women,Jhenaigati Upazila Health Complex,424.0
TT4 dose (15-49y women),Kalmakanda Upazila Health Complex,8483.0
OPV 2 given (12-23m),Nageswari Upazila Health Complex,0.0
OPV 0 given (0-11m),"Chunarughat Upazila Health Complex,Habiganj",812.0
EPI HA,Raiganj Upazila Health Complex,5146.0
TT1 dose (15-49y women),"Fenchuganj Upazila Health Complex,Sylhet",2643.0
Penta 1 given (0-11m),Bochaganj Upazila Health Complex,6182.0
EPI Infant Monthly Target,Chirirbandar Upazila Health Complex,12804.0
OPV 0 given (0-11m),"Dowarabazar Upazila Health Complex,Sunamganj",87.0
PCV1 given 0-11m,Mohammadpur Upazila Health Complex,8944.0
TT2 dose pregnant women,Dhubaura Upazila Health Complex,1838.0
