Data,Organisation unit,Value
EPI042,306864,0.0
EPI025,309347,19640.0
EPI013,201909,9964.0
EPI042,100409,0.0
HCGy8hSQrrn,553224,7944.0
EPI002,201981,10486.0
EPI015,308967,1369.0
EPI011,400108,5797.0
EPI015,405760,977.0
CVWtvuChnN4,100428,4619.0
izqdLEayxtk,506963,6640.0
CVWtvuChnN4,100632,3861.0
EPI004,309325,398.0
CVWtvuChnN4,201981,18932.0
Pyz7rlAmMZ4,506485,3539.0
EPI030,605835,7013.0
EPI004,201974,1812.0
EPI045,605865,0.0
EPI002,100428,1499.0
Pyz7rlAmMZ4,304845,8430.0
EPI002,100632,623.0
EPI014,302910,7174.0
EPI042,302918,0.0
EPI004,107852,1136.0
EPI042,554961,0.0
HDzRDBWv2O5,609092,6002.0
EPI030,303591,6440.0
EPI031,503858,5345.0
EPI008,309325,5596.0
EPI031,554906,10228.0
EPI008,201974,9583.0
EPI047,404717,0.0
EPI014,305454,7920.0
izqdLEayxtk,208475,995.0
EPI009,303929,11754.0
EPI047,306876,0.0
EPI001,107855,796.0
EPI005,201518,2684.0
nNTNsd237Zf,507018,1967.0
EPI026,201574,9219.0
EPI051,302918,10101.0
HDzRDBWv2O5,201345,7880.0
HDzRDBWv2O5,207587,12179.0
EPI007,308636,3674.0
EPI051,554961,7479.0
EPI047,305682,0.0
nNTNsd237Zf,107895,4682.0
qMZseedjTs2,201322,1.0
EPI029,303929,17099.0
EPI002,506991,1902.0
EPI008,303961,8493.0
EPI018,400114,5589.0
EPI015,553221,732.0
EPI031,207510,15589.0
EPI009,207547,4013.0
EPI011,201553,14467.0
EPI010,609023,12658.0
EPI028,201574,593.0
EPI004,508878,2628.0
GoIHz80UERt,405747,6152.0
EPI043,201233,0.0
EPI026,400173,5300.0
EPI002,507683,2406.0
EPI047,552743,0.0
cqtZ9bBPXyp,557734,499.0
EPI048,609120,249.0
EPI006,207507,14401.0
EPI026,205143,36054.0
EPI051,306864,25949.0
EPI051,100409,12695.0
EPI005,303915,2979.0
EPI010,308669,4321.0
EPI048,100607,0.0
HCGy8hSQrrn,609023,12987.0
EPI008,201358,11330.0
EPI031,559486,10327.0
EPI018,508131,5601.0
EPI029,305984,12328.0
HDzRDBWv2O5,558527,5547.0
WMO4fDbBBsN,557385,3030.0
EPI048,308990,0.0
EPI048,408790,0.0
aO26dRReDw1,554908,0.0
EPI008,305974,7258.0
EPI042,507605,0.0
EPI042,304827,0.0
EPI014,305480,6584.0
GoIHz80UERt,309376,6767.0
EPI028,306768,9668.0
EPI004,303961,734.0
EPI007,404764,254.0
EPI026,306768,22267.0
EPI029,207547,10573.0
EPI048,302662,0.0
GoIHz80UERt,202245,3577.0
WMO4fDbBBsN,557336,8080.0
EPI018,401823,8357.0
EPI031,400177,4853.0
