Data,Organisation unit,Value
Penta 1 given (12-23m),Raipura Upazila,0.0
Penta 1 given (0-11m),Kalihati Upazila,19640.0
EPI Session Held,Barura Upazila,9964.0
Penta 1 given (12-23m),Amtali Upazila,0.0
PCV3 given 0-11m,Gaibandha Sadar Upazila,7944.0
TT2 dose pregnant women,Muradnagar Upazila,10486.0
EPI FWA,Nakla Upazila,1369.0
EPI Women Given Vitamin A Dose,Bagerhat Sadar Upazila,5797.0
EPI FWA,Mujibnagar Upazila,977.0
MR given 15-18m,Barguna Sadar Upazila,4619.0
PCV1 given 0-11m,Natore Sadar Upazila,6640.0
MR given 15-18m,Gournadi Upazila,3861.0
TT4 dose pregnant women,Dhanbari Upzila,398.0
MR given 15-18m,Muradnagar Upazila,18932.0
Penta 3 given 0-11m,Rani Nagar Upazila,3539.0
OPV 2 given (0-11m),Juri Upazila,7013.0
TT4 dose pregnant women,Manoharganj Upazila,1812.0
OPV 1 given (12-23m),Kulaura Upazila,0.0
TT2 dose pregnant women,Barguna Sadar Upazila,1499.0
Penta 3 given 0-11m,Katiadi Upazila,8430.0
TT2 dose pregnant women,Gournadi Upazila,623.0
EPI HA,Bhanga Upazila,7174.0
Penta 1 given (12-23m),Boalmari Upazila,0.0
TT4 dose pregnant women,Dashmina Upazila,1136.0
Penta 1 given (12-23m),Kurigram Sadar Upazila,0.0
fIPV1 given (0-11m),Tahirpur Upazila,6002.0
OPV 2 given (0-11m),Tungipara Upazila,6440.0
OPV 3 given (0-11m),Kalai Upazila,5345.0
TT3 dose (15-49y women),Dhanbari Upzila,5596.0
OPV 3 given (0-11m),Bhurungamari Upazila,10228.0
TT3 dose (15-49y women),Manoharganj Upazila,9583.0
OPV 3 given (12-23m),Dacope Upazila,0.0
EPI HA,Madaripur Sadar Upazila,7920.0
PCV1 given 0-11m,Naniarchar Upazila,995.0
TT4 dose (15-49y women),Islampur Upazila,11754.0
OPV 3 given (12-23m),Shibpur Upazila,0.0
TT1 dose pregnant women,Dumki Upazila,796.0
TT5 dose pregnant women,Chandanaish Upazila,2684.0
fIPV2 given (0-11m),Bholahat Upazila,1967.0
Penta 2 given (0-11m),Raozan Upazila,9219.0
EPI Birth Registration done,Boalmari Upazila,10101.0
fIPV1 given (0-11m),Faridganj Upazila,7880.0
fIPV1 given (0-11m),Noakhali Sadar Upazila,12179.0
TT2 dose (15-49y women),Gosairhat Upazila,3674.0
EPI Birth Registration done,Kurigram Sadar Upazila,7479.0
OPV 3 given (12-23m),Singair Upazila,0.0
fIPV2 given (0-11m),Patuakhali Sadar Upazila,4682.0
Penta 3 given 12-23m,Chandpur Sadar Upazila,1.0
OPV 1 given (0-11),Islampur Upazila,17099.0
TT2 dose pregnant women,Singra Upazila,1902.0
TT3 dose (15-49y women),Melandaha Upazila,8493.0
BCG given (0-11m),Chitalmari Upazila,5589.0
EPI FWA,Fulchhari Upazila,732.0
OPV 3 given (0-11m),Chatkhil Upazila,15589.0
TT4 dose (15-49y women),Kabirhat Upazila,4013.0
EPI Women Given Vitamin A Dose,Mirsharai Upazila,14467.0
TT5 dose (15-49y women),Chhatak Upazila,12658.0
OPV 0 given (0-11m),Raozan Upazila,593.0
TT4 dose pregnant women,Sirajganj Sadar Upazila,2628.0
MR given 0-11m,Gangni Upazila,6152.0
Penta 2 given (12-23m),Ashuganj Upazila,0.0
Penta 2 given (0-11m),Rampal Upazila,5300.0
TT2 dose pregnant women,Sujanagar Upazila,2406.0
OPV 3 given (12-23m),Ghoraghat Upazila,0.0
IPV given 0-11m,Debiganj Upazila,499.0
OPV 4 given (12-23m),Biswanath Upazila,249.0
TT1 dose (15-49y women),Begumganj Upazila,14401.0
Penta 2 given (0-11m),Lakshmipur Sadar Upazilla,36054.0
