Data,Organisation unit,Value
OS8FHo7DST0,10000659,1380.0
EPI001,10001011,2849.0
EPI009,10001064,13571.0
HDzRDBWv2O5,10001963,9241.0
EPI004,10001842,544.0
EPI007,10000607,4838.0
EPI048,10001945,0.0
EPI001,10000181,1838.0
EPI011,10002134,4238.0
EPI007,10002213,4553.0
EPI004,10001330,773.0
EPI043,10013108,0.0
HCGy8hSQrrn,10001227,7336.0
aO26dRReDw1,10002304,82.0
EPI008,10001842,3412.0
EPI016,10000435,4.0
EPI042,10000341,0.0
EPI031,10000362,30633.0
EPI031,10001244,9300.0
EPI013,10000691,7176.0
EPI045,10001122,0.0
EPI013,10002181,1849.0
EPI046,10002150,0.0
EPI002,10001594,1805.0
EPI010,10000511,3432.0
EPI015,10000095,1395.0
EPI009,10000387,10943.0
EPI003,10002127,911.0
EPI046,10001575,0.0
EPI015,10001230,2444.0
nNTNsd237Zf,10000544,2609.0
HCGy8hSQrrn,10001982,7855.0
EPI030,10001591,20573.0
EPI051,10000341,11932.0
RYtOwMY20z9,10000846,12918.0
HCGy8hSQrrn,10000709,14197.0
CVWtvuChnN4,10000355,9299.0
HCGy8hSQrrn,10001115,13004.0
RYtOwMY20z9,10000857,24962.0
EPI007,10001759,5892.0
EPI025,10001662,9795.0
aO26dRReDw1,10001801,51.0
WMO4fDbBBsN,10000258,12008.0
EPI048,10001928,0.0
RYtOwMY20z9,10001495,15524.0
OS8FHo7DST0,10001966,9523.0
EPI028,10001156,294.0
EPI011,10002188,5102.0
GoIHz80UERt,10000488,9204.0
EPI047,10000656,0.0
EPI006,10001527,828.0
EPI013,10001527,4064.0
EPI043,10000969,0.0
RYtOwMY20z9,10001220,5362.0
EPI043,HS_27480050000,0.0
EPI051,10002207,3913.0
HDzRDBWv2O5,10000482,7219.0
EPI018,10002209,12832.0
foSKZmdiKvO,10001933,307.0
EPI006,10000691,7638.0
EPI011,10000281,6393.0
nNTNsd237Zf,10000085,2776.0
EPI011,10000613,13885.0
EPI029,10000942,10303.0
EPI029,10000458,27475.0
CVWtvuChnN4,10001594,12895.0
CVWtvuChnN4,10001870,12224.0
HDzRDBWv2O5,10001473,3992.0
OS8FHo7DST0,10000682,31945.0
EPI025,10000568,12639.0
EPI001,10000931,1223.0
EPI011,10000721,4761.0
EPI004,10000461,1408.0
EPI043,10001031,0.0
EPI011,10001382,7404.0
EPI042,10002207,0.0
EPI004,10002211,907.0
HDzRDBWv2O5,10001412,4413.0
EPI031,10002160,13529.0
EPI043,10001780,0.0
EPI009,10000942,4233.0
EPI029,10002048,6056.0
EPI010,10000931,6176.0
EPI010,10000708,4227.0
EPI004,10000939,2117.0
EPI026,10000234,11244.0
EPI016,10002008,552.0
HDzRDBWv2O5,10001019,7175.0
EPI014,10002015,4827.0
EPI003,10000223,1467.0
aO26dRReDw1,10001226,1.0
EPI008,10001370,6059.0
EPI028,10000430,2992.0
EPI047,10000748,0.0
EPI008,10001330,3096.0
CVWtvuChnN4,10000230,10831.0
EPI018,10002149,11123.0
EPI051,10000892,10791.0
EPI004,10001712,508.0
EPI001,10000565,444.0
EPI009,10000472,7870.0
EPI046,10001322,0.0
EPI028,10002078,493.0
EPI014,10001636,5156.0
EPI006,10002181,2693.0
EPI025,10001201,5426.0
OS8FHo7DST0,10001203,12899.0
EPI028,10002143,0.0
izqdLEayxtk,10001882,10308.0
EPI002,10000355,1718.0
EPI012,10000595,3967.0
EPI012,10001230,3661.0
GoIHz80UERt,10000551,11498.0
EPI025,10000926,20633.0
aO26dRReDw1,10000358,15.0
EPI028,10000838,1337.0
HCGy8hSQrrn,10000511,7011.0
EPI026,10001156,14423.0
EPI029,10000387,18243.0
EPI002,10001405,666.0
HDzRDBWv2O5,10000634,7607.0
OS8FHo7DST0,10001673,6358.0
EPI014,10001914,6101.0
EPI026,10000667,16750.0
nNTNsd237Zf,10001917,2111.0
EPI046,10001163,0.0
RYtOwMY20z9,10001061,20809.0
aO26dRReDw1,10001523,1.0
EPI031,10001189,4589.0
EPI016,10001527,416.0
EPI016,10002181,0.0
EPI009,10002048,5817.0
WMO4fDbBBsN,10001997,11199.0
EPI010,10001115,6767.0
EPI001,10000270,1910.0
EPI004,10002101,460.0
EPI014,10000729,6735.0
GoIHz80UERt,10000141,28317.0
EPI011,10000151,0.0
EPI042,10000973,0.0
EPI015,10000725,3946.0
EPI002,10001624,3463.0
EPI018,10001790,16193.0
EPI047,10000903,0.0
EPI014,10001737,4298.0
CVWtvuChnN4,10001085,1199.0
EPI045,10002017,0.0
EPI042,10000892,0.0
EPI045,10000660,0.0
EPI015,10001305,1915.0
EPI013,10002008,5152.0
EPI007,10001731,4227.0
EPI047,10000706,0.0
EPI046,10000983,0.0
EPI025,10002085,8803.0
nNTNsd237Zf,10001481,3114.0
EPI051,10002127,9490.0
EPI002,10002206,385.0
EPI014,10002018,4204.0
EPI047,10000144,0.0
izqdLEayxtk,10001603,16367.0
EPI014,10000420,2943.0
EPI007,10002243,6203.0
EPI026,10000678,18293.0
HDzRDBWv2O5,10001286,12107.0
EPI042,10000565,0.0
EPI010,10000181,9637.0
GoIHz80UERt,10001135,6703.0
EPI006,10000500,7095.0
RYtOwMY20z9,10000128,9593.0
EPI026,10002164,13996.0
EPI048,10001224,0.0
EPI015,10002172,2596.0
EPI001,10000709,1854.0
EPI047,10000567,0.0
EPI026,10002078,15194.0
HDzRDBWv2O5,10001543,2905.0
EPI028,10000667,546.0
EPI003,10000341,766.0
EPI030,10002181,5532.0
EPI014,10002035,1878.0
EPI006,10000988,965.0
RYtOwMY20z9,10000706,21146.0
EPI004,10000781,5396.0
EPI009,10000928,6074.0
EPI015,10000595,1508.0
EPI013,10001493,6048.0
EPI002,10001085,416.0
EPI007,10001799,131.0
cqtZ9bBPXyp,10002097,1225.0
RYtOwMY20z9,10000223,10768.0
EPI002,10000230,528.0
EPI045,10001988,0.0
OS8FHo7DST0,10002213,8142.0
EPI002,10000829,2848.0
EPI004,10000074,4985.0
EPI051,10000223,14069.0
EPI042,10002235,0.0
EPI028,10000234,626.0
CVWtvuChnN4,10001405,4438.0
EPI003,10000892,1963.0
EPI007,10000586,4775.0
EPI042,10002127,0.0
EPI051,10000565,6529.0
HDzRDBWv2O5,10000887,6807.0
EPI014,10002106,6653.0
EPI013,10000988,2518.0
EPI003,10000128,887.0
EPI010,10000709,8776.0
EPI045,10001363,0.0
EPI006,10001493,8773.0
EPI029,10001064,18430.0
EPI001,10001227,264.0
EPI008,10000835,9755.0
GoIHz80UERt,10002027,5116.0
EPI013,10001074,2088.0
HDzRDBWv2O5,10000333,3752.0
EPI016,10000250,36.0
EPI042,10000518,0.0
EPI042,10001991,0.0
cqtZ9bBPXyp,10000468,1119.0
nNTNsd237Zf,10001500,1709.0
EPI003,10001768,2772.0
EPI047,10001848,0.0
EPI028,10001308,1528.0
EPI031,10001630,7289.0
WMO4fDbBBsN,10002210,27663.0
OS8FHo7DST0,10001799,9534.0
EPI051,10002235,2117.0
EPI030,10002210,29025.0
EPI030,10001527,6801.0
EPI046,10000652,0.0
EPI012,10001305,4552.0
EPI047,10000303,0.0
RYtOwMY20z9,10002127,8877.0
OS8FHo7DST0,10001759,11586.0
EPI025,10001327,9411.0
EPI013,10000500,6137.0
EPI011,HS_27480050000,6303.0
EPI011,10001031,14415.0
EPI047,10001415,0.0
EPI002,10000740,406.0
EPI029,10000663,9387.0
GoIHz80UERt,10002069,3357.0
HCGy8hSQrrn,10000708,5326.0
EPI008,10000241,8954.0
RYtOwMY20z9,10001076,2844.0
EPI048,10000875,0.0
EPI051,10001991,1452.0
EPI018,10001771,7665.0
izqdLEayxtk,10002097,6648.0
WMO4fDbBBsN,10001591,9204.0
EPI025,10001826,6912.0
EPI029,10002055,6520.0
izqdLEayxtk,10001547,12163.0
EPI031,10001760,8835.0
EPI010,10001227,3994.0
EPI002,10001238,734.0
EPI051,10000518,3199.0
HCGy8hSQrrn,10001792,5739.0
EPI005,10001984,836.0
EPI046,10000663,0.0
EPI007,10000682,14840.0
HDzRDBWv2O5,10000544,2841.0
izqdLEayxtk,10001147,14496.0
nNTNsd237Zf,10000482,7235.0
EPI015,10000665,987.0
EPI011,10000352,19407.0
EPI029,10002150,11532.0
EPI026,10001603,15972.0
EPI042,10000181,0.0
EPI011,10002004,5067.0
EPI012,10000415,6806.0
EPI014,10000069,4572.0
EPI026,10000456,10733.0
EPI046,10000458,0.0
nNTNsd237Zf,10001963,5173.0
EPI002,10001374,636.0
EPI025,10002204,13308.0
EPI045,10000488,0.0
EPI048,10001701,0.0
EPI008,10001080,3857.0
izqdLEayxtk,10001706,6125.0
EPI011,10000914,11157.0
EPI025,10001424,9376.0
EPI042,10001338,461.0
EPI051,10001338,16307.0
EPI048,10000080,0.0
aO26dRReDw1,10000236,52.0
EPI030,10000715,20743.0
izqdLEayxtk,10000924,6873.0
OS8FHo7DST0,10002208,6713.0
EPI003,10001991,2088.0
EPI002,10001355,3169.0
EPI029,10000661,1166.0
izqdLEayxtk,10000468,10415.0
EPI006,10000258,5996.0
EPI009,10001322,13059.0
GoIHz80UERt,HS_27480050000,6203.0
EPI010,10000946,8276.0
EPI025,10000064,20487.0
EPI015,10000373,1127.0
EPI016,10000893,304.0
EPI048,10001333,0.0
Pyz7rlAmMZ4,10001842,6249.0
RYtOwMY20z9,10000892,15570.0
EPI007,10000089,6927.0
EPI001,10000518,1433.0
EPI048,10001571,0.0
EPI043,10001382,0.0
EPI029,10001575,12887.0
WMO4fDbBBsN,10001527,6949.0
EPI045,10000443,0.0
EPI008,10000817,10777.0
cqtZ9bBPXyp,10001070,124.0
EPI010,10001991,4296.0
RYtOwMY20z9,10001768,13653.0
EPI029,10001322,21441.0
EPI029,10000436,8969.0
CVWtvuChnN4,10001355,11102.0
EPI046,10000387,0.0
EPI006,10001074,1269.0
EPI011,10001933,3996.0
EPI009,10000661,1120.0
EPI016,10001301,0.0
EPI048,10000196,0.0
GoIHz80UERt,10000969,13666.0
aO26dRReDw1,10001056,22.0
EPI047,10000846,0.0
EPI018,10001741,7907.0
EPI009,10001163,2811.0
EPI013,10001955,3312.0
EPI001,10002207,2213.0
EPI012,10001479,6637.0
HDzRDBWv2O5,10002015,8139.0
CVWtvuChnN4,10001708,10908.0
EPI047,10001495,0.0
EPI005,10000939,3007.0
EPI002,10000678,1719.0
EPI005,10002189,1199.0
CVWtvuChnN4,10000829,15081.0
WMO4fDbBBsN,10001817,7072.0
EPI029,10000928,10634.0
EPI026,10002206,3638.0
EPI026,HS_27480001000,64858.0
EPI047,10001220,0.0
CVWtvuChnN4,10001238,13271.0
aO26dRReDw1,10001115,38.0
EPI043,10000443,0.0
EPI005,10000074,5315.0
nNTNsd237Zf,10002119,5009.0
EPI007,10000541,6901.0
EPI031,10001662,9788.0
EPI016,10001955,0.0
EPI030,10002029,6288.0
nNTNsd237Zf,10001003,5885.0
EPI001,10000708,875.0
EPI004,10000794,831.0
EPI028,10000992,2591.0
EPI011,10001426,3046.0
WMO4fDbBBsN,10000691,18251.0
EPI012,10002172,6794.0
RYtOwMY20z9,10001313,7875.0
EPI011,10001710,4202.0
CVWtvuChnN4,10000740,9778.0
EPI042,10000128,0.0
EPI030,10000691,18296.0
aO26dRReDw1,10001794,52.0
EPI030,10001817,7549.0
EPI003,10002152,320.0
EPI012,10000665,3864.0
foSKZmdiKvO,10000488,9.0
EPI030,10000258,12549.0
Pyz7rlAmMZ4,10000619,18324.0
Pyz7rlAmMZ4,10002211,10013.0
EPI003,10000270,752.0
nNTNsd237Zf,10001473,3464.0
EPI007,10001265,11422.0
izqdLEayxtk,10001070,2029.0
EPI012,10000373,5887.0
EPI047,10000842,0.0
EPI051,10000973,5771.0
EPI047,10002096,0.0
EPI016,10000409,18.0
WMO4fDbBBsN,10002029,6017.0
EPI051,10000181,0.0
EPI051,10000128,9411.0
EPI004,10000817,829.0
EPI003,10000846,1732.0
GoIHz80UERt,10001744,8359.0
EPI008,10001388,6028.0
EPI005,10000461,3684.0
WMO4fDbBBsN,10000715,19605.0
EPI006,10001955,3948.0
OS8FHo7DST0,10001041,10591.0
CVWtvuChnN4,10000992,13020.0
EPI001,10000511,546.0
EPI018,10000317,7923.0
Pyz7rlAmMZ4,10001370,7701.0
EPI003,10000518,1195.0
EPI003,10001338,1430.0
EPI014,10000979,2404.0
EPI018,10001470,5885.0
EPI018,10000218,14200.0
EPI004,10001518,524.0
EPI004,10001442,1524.0
EPI048,10000383,0.0
nNTNsd237Zf,10001395,3187.0
EPI008,10000781,18012.0
EPI025,10000369,23137.0
EPI047,10000694,0.0
CVWtvuChnN4,10000227,11369.0
EPI028,10001882,1089.0
aO26dRReDw1,10000708,3.0
EPI029,10000591,7420.0
EPI043,10000660,0.0
EPI005,10001712,744.0
EPI008,10001712,2163.0
EPI004,10001370,805.0
EPI001,10000892,3075.0
EPI029,10000120,17596.0
GoIHz80UERt,10000660,1573.0
EPI011,10000470,1944.0
CVWtvuChnN4,10000838,13618.0
EPI029,10000983,6568.0
EPI011,10000505,8941.0
EPI014,10001963,8086.0
EPI031,10000568,11702.0
EPI013,10002210,8832.0
EPI014,10000482,7147.0
HDzRDBWv2O5,10001917,3148.0
EPI031,10000064,20483.0
OS8FHo7DST0,10002006,29278.0
EPI007,10001077,2116.0
Pyz7rlAmMZ4,10001948,6051.0
EPI003,10002207,1435.0
EPI015,10002028,1473.0
OS8FHo7DST0,10000734,27831.0
EPI008,10002101,7141.0
EPI005,10000241,1614.0
Pyz7rlAmMZ4,10002056,2928.0
EPI001,10001991,4402.0
EPI026,10002143,13739.0
EPI031,10002204,13257.0
EPI046,10001988,0.0
EPI045,10001135,0.0
EPI001,10000946,807.0
EPI006,10002210,11062.0
EPI010,10000518,5200.0
EPI010,10000358,13759.0
EPI010,10002304,8034.0
aO26dRReDw1,10001140,10.0
Pyz7rlAmMZ4,10001442,12327.0
EPI046,10000472,0.0
RYtOwMY20z9,10000813,20280.0
EPI013,10000258,8812.0
EPI029,10001163,4812.0
RYtOwMY20z9,10000694,19088.0
HDzRDBWv2O5,10001481,3202.0
EPI015,10001479,2834.0
EPI005,10000835,4868.0
EPI048,10000852,0.0
EPI030,10002008,8887.0
HCGy8hSQrrn,10002235,9205.0
GoIHz80UERt,10001031,16018.0
HCGy8hSQrrn,10001794,4422.0
EPI004,10001948,429.0
OS8FHo7DST0,10000607,8564.0
EPI009,10002055,6202.0
EPI012,10000404,6730.0
EPI012,10002028,5520.0
EPI025,10001339,10470.0
EPI002,HS_27480001000,17001.0
EPI016,10001074,290.0
EPI028,10000355,233.0
EPI026,10000430,23256.0
EPI008,10000939,6618.0
aO26dRReDw1,10001797,61.0
EPI047,10001313,0.0
nNTNsd237Zf,10000887,4386.0
cqtZ9bBPXyp,10001147,1798.0
EPI026,10001547,12082.0
EPI051,10002152,7511.0
aO26dRReDw1,10001792,42.0
EPI048,10000934,0.0
GoIHz80UERt,10000443,14914.0
cqtZ9bBPXyp,10001706,896.0
EPI045,10002027,0.0
HCGy8hSQrrn,10000565,7661.0
EPI008,10000461,9368.0
HDzRDBWv2O5,10001500,3396.0
EPI018,10001402,9147.0
EPI001,10002127,1625.0
HCGy8hSQrrn,10001801,5375.0
EPI048,10001930,0.0
EPI003,10000181,1249.0
EPI029,10000466,7101.0
EPI015,10000415,2732.0
EPI002,10001870,1214.0
EPI001,10000223,1839.0
WMO4fDbBBsN,10000988,3433.0
WMO4fDbBBsN,10002008,8790.0
EPI026,10002097,6578.0
OS8FHo7DST0,10001280,15585.0
EPI045,10000652,0.0
EPI016,10000500,0.0
EPI030,10001493,18825.0
EPI004,10001083,232.0
EPI042,10002152,0.0
EPI042,10001227,0.0
EPI048,10001095,0.0
EPI005,10001388,960.0
EPI029,10001193,13804.0
Pyz7rlAmMZ4,10001083,1992.0
EPI007,10001203,7224.0
EPI029,10002138,13144.0
EPI028,10001070,26.0
CVWtvuChnN4,10000883,31732.0
EPI007,10001966,5863.0
EPI043,10001744,0.0
aO26dRReDw1,10000709,10.0
HCGy8hSQrrn,10001011,17896.0
EPI009,10002150,6406.0
EPI043,10002188,0.0
EPI015,10002039,4049.0
EPI046,10000443,0.0
EPI051,10000270,9278.0
qMZseedjTs2,10002152,9.0
EPI003,10001415,779.0
EPI043,10000551,0.0
HCGy8hSQrrn,10000931,16096.0
EPI030,10000988,3422.0
EPI045,10002069,0.0
EPI042,10000270,0.0
EPI005,10001330,1143.0
GoIHz80UERt,10001988,16025.0
HCGy8hSQrrn,10001523,12374.0
EPI043,10000613,0.0
EPI008,10000074,18648.0
OS8FHo7DST0,10000113,10726.0
EPI025,10001482,11184.0
CVWtvuChnN4,10001339,10438.0
EPI011,10000629,9556.0
nNTNsd237Zf,10000979,1157.0
EPI012,10000252,5981.0
EPI029,10000489,8044.0
EPI014,10001286,8751.0
RYtOwMY20z9,10000303,7767.0
EPI030,10001301,4990.0
EPI003,10000748,2203.0
izqdLEayxtk,10000234,11136.0
RYtOwMY20z9,10001991,9622.0
EPI011,10002069,2882.0
EPI005,10000903,12698.0
EPI018,10002210,29225.0
izqdLEayxtk,10000838,17413.0
Pyz7rlAmMZ4,10000656,6752.0
EPI046,10000488,0.0
EPI047,10001768,0.0
HCGy8hSQrrn,10001140,12916.0
EPI007,10000897,8205.0
EPI007,10000581,3819.0
HDzRDBWv2O5,10000420,3899.0
EPI015,10000404,1586.0
nNTNsd237Zf,10000729,5065.0
GoIHz80UERt,10000721,10113.0
EPI012,10000986,2908.0
EPI043,10002042,0.0
EPI011,10000443,14679.0
EPI048,10001476,0.0
cqtZ9bBPXyp,10000430,21.0
izqdLEayxtk,10001224,5202.0
aO26dRReDw1,10002094,38.0
EPI029,10001122,13583.0
EPI026,10001594,14769.0
CVWtvuChnN4,10001143,6764.0
EPI003,10001313,758.0
EPI045,10013108,0.0
Pyz7rlAmMZ4,10001080,4974.0
aO26dRReDw1,10002088,29.0
EPI001,10000128,1356.0
EPI030,10001117,6457.0
EPI012,10001272,5493.0
EPI051,10001227,6818.0
EPI001,10001338,3600.0
EPI025,10002061,8299.0
EPI011,10002027,3890.0
EPI003,10000511,571.0
EPI009,10000489,5390.0
EPI001,10000813,3228.0
EPI015,10000249,46.0
OS8FHo7DST0,10001506,10043.0
EPI028,10001405,745.0
EPI011,10001363,1776.0
EPI026,10000230,10805.0
EPI011,10000660,36.0
WMO4fDbBBsN,10000218,13028.0
