Data,Organisation unit,Value
EPI Session Planned,Bangladesh,2991142.0
TT3 dose (15-49y women),Bangladesh,4096862.0
OPV 0 given (0-11m),Bangladesh,607832.0
IPV given 12-23m,Bangladesh,12088.0
OPV 1 given (12-23m),Bangladesh,2522.0
Penta 1 given (0-11m),Bangladesh,7174307.0
Penta 3 given 12-23m,Bangladesh,8061.0
MR given 15-18m,Bangladesh,6608010.0
OPV 2 given (12-23m),Bangladesh,7851.0
MR given 0-11m,Bangladesh,7121707.0
EPI Birth Registration done,Bangladesh,5501099.0
PCV3 given 0-11m,Bangladesh,7241418.0
TT4 dose pregnant women,Bangladesh,751926.0
OPV 4 given (12-23m),Bangladesh,8292.0
PCV3 given 12-23m,Bangladesh,9523.0
TT5 dose pregnant women,Bangladesh,1030667.0
BCG given (0-11m),Bangladesh,7285185.0
TT3 dose pregnant women,Bangladesh,800607.0
EPI Gavi_Vol,Bangladesh,122125.0
EPI HA,Bangladesh,2767357.0
EPI Infant Monthly Target,Bangladesh,7240675.5
PCV2 given 12-23m,Bangladesh,6564.0
EPI FWA,Bangladesh,911955.0
EPI U1 Death,Bangladesh,16735.0
OPV 2 given (0-11m),Bangladesh,7145982.0
TT1 dose (15-49y women),Bangladesh,3166331.0
OPV 1 given (0-11),Bangladesh,7196097.0
EPI Session Held,Bangladesh,2971981.0
Penta 2 given (12-23m),Bangladesh,8684.0
Penta 1 given (12-23m),Bangladesh,17701.0
TT1 dose pregnant women,Bangladesh,1049993.0
TT2 dose (15-49y women),Bangladesh,3402807.0
Penta 3 given 0-11m,Bangladesh,7061850.0
TT5 dose (15-49y women),Bangladesh,4034107.0
TT4 dose (15-49y women),Bangladesh,4121107.0
Penta 2 given (0-11m),Bangladesh,7134596.0
fIPV2 given (0-11m),Bangladesh,2858648.0
PCV1 given 0-11m,Bangladesh,7148450.0
Fully Immunized Child,Bangladesh,7191799.0
fIPV1 given (0-11m),Bangladesh,4052685.0
TT2 dose pregnant women,Bangladesh,1052521.0
OPV 3 given (12-23m),Bangladesh,5528.0
IPV given 0-11m,Bangladesh,382543.0
OPV 3 given (0-11m),Bangladesh,7078102.0
PCV1 given 12-23m,Bangladesh,10516.0
PCV2 given 0-11m,Bangladesh,7103002.0
EPI Women Given Vitamin A Dose,Bangladesh,3675046.0
