Data,Organisation unit,Value
Gf6lEllg2nM,dNLjKwsVjod,26275.0
lXY1Qn1Xmym,dNLjKwsVjod,762.0
KrtijNiVXQd,dNLjKwsVjod,5142284.0
CdbqCEN6J1I,dNLjKwsVjod,18608.0
aK1cbe954yX,dNLjKwsVjod,11688.0
j9BXR3fcgBU,dNLjKwsVjod,5458988.0
YmH96Ob0NBP,dNLjKwsVjod,1377542.0
ejwMhgWnnjp,dNLjKwsVjod,22028.0
kTqSo5SnlBi,dNLjKwsVjod,695.0
aiQep6Y8DiC,dNLjKwsVjod,3.9995606E7
iWNq47wSHeH,dNLjKwsVjod,17203.0
kpkNrzQTYkG,dNLjKwsVjod,0.0
XcI4Wjp5L7i,dNLjKwsVjod,9.3644824E7
mxdYJga4Oj9,dNLjKwsVjod,361317.0
F7SY1nlzxsh,dNLjKwsVjod,34641.0
F6DqE5xpTOZ,dNLjKwsVjod,4027.0
oHx6fAhrdRw,dNLjKwsVjod,3138674.0
eNTRf5caxYa,dNLjKwsVjod,24194.0
HH3mbuLQ3Fy,dNLjKwsVjod,28745.0
GLsAX7CoejC,dNLjKwsVjod,4486.0
QUvmRKu2SHI,dNLjKwsVjod,326.0
Pmkei3034T3,dNLjKwsVjod,1299842.0
lzDaUMzu2sB,dNLjKwsVjod,399.0
zpF9PXuVzFb,dNLjKwsVjod,440.0
Z1LFCojJ3oU,dNLjKwsVjod,1349962.0
iPOIupRRbet,dNLjKwsVjod,1100439.0
zpxBh06iewG,dNLjKwsVjod,1409551.0
oFuUltZt2kL,dNLjKwsVjod,1101686.0
mkS9tKtFJwg,dNLjKwsVjod,9111229.0
HwX8sJbFytZ,dNLjKwsVjod,3194759.0
hDbw2Z8FinI,dNLjKwsVjod,461.0
HgCvJyeV8s1,dNLjKwsVjod,230016.0
tJmmzGcJpAJ,dNLjKwsVjod,62431.0
F6Sj0Nemixl,dNLjKwsVjod,274299.4
gCFmCwtKtG9,dNLjKwsVjod,283646.4
lnJZ8U8fAps,dNLjKwsVjod,1286013.3
qC35JBYiNvW,dNLjKwsVjod,198950.0
XdBa916vNo2,dNLjKwsVjod,2787222.0
gxlRbfWMpVx,dNLjKwsVjod,0.0
qRf4BEqDWEO,dNLjKwsVjod,4657363.0
hveFMwiLEd6,dNLjKwsVjod,336.0
mSRPxSz7mpC,dNLjKwsVjod,782.0
sthqDXmS4Nm,dNLjKwsVjod,416.1
f6Klhc8cltP,dNLjKwsVjod,21522.0
seXaR7uNRXJ,dNLjKwsVjod,0.0
GMuJ1q2PFFJ,dNLjKwsVjod,5907.0
L3D8zpb45fV,dNLjKwsVjod,6234237.0
CMuwZf2vDD3,dNLjKwsVjod,808933.0
gkVkv3ffz5v,dNLjKwsVjod,150.0
esdiLuANYzJ,dNLjKwsVjod,933659.0
uv5CVs53ise,dNLjKwsVjod,1136418.0
snj7yyk7H6r,dNLjKwsVjod,0.0
SeHc7pKhNZ3,dNLjKwsVjod,632.4
nYixxLPGLKg,dNLjKwsVjod,0.0
VExs9bwa6Mb,dNLjKwsVjod,20706.0
cLca60N5Sz5,dNLjKwsVjod,792283.0
CzNDOBhTozp,dNLjKwsVjod,5105502.0
W9TGbZMjS1N,dNLjKwsVjod,1321875.0
ildWGF3ceBO,dNLjKwsVjod,863309.0
LfeSJhYeM50,dNLjKwsVjod,1301555.0
KUD3k3ABNzE,dNLjKwsVjod,13044.0
He5rkYQTRXc,dNLjKwsVjod,20665.0
bWQSZuLmC4h,dNLjKwsVjod,9465.0
Xi0rEcM2dnU,dNLjKwsVjod,5806813.0
WsDcPVFfFdD,dNLjKwsVjod,412-1
Gl0BEtUdHIo,dNLjKwsVjod,1.0251592E7
S7WmD2KXggR,dNLjKwsVjod,115132.0
XNiO6llG6XA,dNLjKwsVjod,17908.0
JTzAgZJknnZ,dNLjKwsVjod,20033.0
L2LsEE6nsv0,dNLjKwsVjod,2421145.0
iJaOVK1TYbc,dNLjKwsVjod,4260911.1
upazilla_epi_Safety Box_d,dNLjKwsVjod,12786.0
SxNM9MR02Fq,dNLjKwsVjod,17601.5
jeJ3ZSbbg2z,dNLjKwsVjod,9043.0
FHj891Dd9IO,dNLjKwsVjod,23667.0
xhXpgEsWEv9,dNLjKwsVjod,1729537.0
gANxnvWKSYw,dNLjKwsVjod,0.0
lGxUawh9Rgq,dNLjKwsVjod,1115829.0
hTPF3SgOJWH,dNLjKwsVjod,3657330.0
jSXbWOsbeVM,dNLjKwsVjod,6994988.0
uCak0uhIKX5,dNLjKwsVjod,2308743.0
bUhksJVFOU1,dNLjKwsVjod,1079552.0
faixFpbou4s,dNLjKwsVjod,4092388.0
xej1sxYYCYM,dNLjKwsVjod,17699.0
eb3ByhaTJPc,dNLjKwsVjod,1188793.0
ViTJ0SouxHk,dNLjKwsVjod,21124.0
tfs4ubhi7aS,dNLjKwsVjod,5181.0
ENYJhlIJkdD,dNLjKwsVjod,201554.0
avwgDjGy5QN,dNLjKwsVjod,5265583.0
wyYeZ43DyVh,dNLjKwsVjod,1160981.0
YRp9K1grg0T,dNLjKwsVjod,20299.5
nAHhMwgUTIC,dNLjKwsVjod,5391708.0
CCYijZzjjn0,dNLjKwsVjod,19070.0
CSmnrn14bzc,dNLjKwsVjod,56231.0
Ya0KM6n2lnV,dNLjKwsVjod,7564620.0
zi1A9mHfQnC,dNLjKwsVjod,0.0
OM8Cr8d7NOm,dNLjKwsVjod,2929097.0
GsVpkzuOvvr,dNLjKwsVjod,3057538.0
bsS9xrHNN7k,dNLjKwsVjod,74804.0
TW5OuZHpb6D,dNLjKwsVjod,1361865.4
iHhFjeFaUE2,dNLjKwsVjod,160890.0
D6DrcyNPJRe,dNLjKwsVjod,5700.0
wl7rSTXZnYH,dNLjKwsVjod,1.0208895E7
vg24BsDISHx,dNLjKwsVjod,1328296.0
tVMfryQtVPM,dNLjKwsVjod,811590.0
bZlOe4y8Mh5,dNLjKwsVjod,17662.5
sk1epOoCbSF,dNLjKwsVjod,3.2823421E7
CcyZexM0LpH,dNLjKwsVjod,15806.0
PsvlF5jSgI3,dNLjKwsVjod,331.0
