Data,Organisation unit,Value
upazilla_epi_Syringe (5 ml)_damaged,Khulna District,0.0
upazilla_epi_Syringe (0.1 ml)_used,Naogaon District,84049.0
upazilla_epi_Safety Box_damaged,Jhenaidaha District,0.0
upazilla_epi_Women register_damaged,Netrokona District,12.0
upazilla_epi_BCG Diluent_receive,Sherpur District,10429.0
upazilla_epi_Child register previous stock,Rajshahi District,943.0
upazilla_epi_Syringe (5 ml) previous stock,Chandpur District,521408.0
upazilla_epi_Tally Book (child)_damaged,Gazipur District,12.0
upazilla_epi_TT Card previous stock,Tangail District,68194.0
upazilla_epi_Women Report Book_used,Pabna District,462.0
upazilla_epi_BCG vial previous stock,Madaripur District,6026.0
upazilla_epi_Moni Flag_damaged,Bhola District,0.0
upazilla_epi_Syringe (3 ml)_used,Shariatpur District,18805.0
upazilla_epi_Women Report Book_receive,Sylhet District,449.0
upazilla_epi_TT vial previous stock,Nilphamari District,8156.0
upazilla_epi_Women Report Book previous stock,Sirajganj District,166.0
upazilla_epi_Pentavalent vial previous stock,Natore District,40156.0
upazilla_epi_Tally Book (Women)_used,Sherpur District,118.0
upazilla_epi_Women register_used,Satkhira District,435.0
upazilla_epi_Syringe (0.5 ml)_receive,Barguna District,427399.0
upazilla_epi_TT Card_damaged,Rangpur District,0.0
upazilla_epi_Tally Book (child)_receive,Jhalokati District,108.0
upazilla_epi_Women Report Book_used,Narshingdi District,252.0
upazilla_epi_MR Diluent_damaged,Gazipur District,0.0
upazilla_epi_BCG vial previous stock,Magura District,4456.0
upazilla_epi_Child Report Book_damaged,Thakurgaon District,0.0
upazilla_epi_OPV vial_used,Patuakhali District,14428.0
upazilla_epi_Women Report Book_used,Rajbari District,156.0
upazilla_epi_TT vial_used,Shariatpur District,10434.0
upazilla_epi_TT Card_received,Magura District,10600.0
upazilla_epi_TT vial previous stock,Chuadanga District,10770.0
upazilla_epi_Pentavalent vial_receive,Bogura District,192318.0
upazilla_epi_Syringe (0.1 ml)_used,Jhenaidaha District,50451.0
upazilla_epi_Women Report Book_used,Munshiganj District,193.0
upazilla_epi_Child Report Book_receive,Manikganj District,390.0
upazilla_epi_Moni Flag_damaged,Lalmonirhat District,0.0
upazilla_epi_Child register_receive,Panchagarh District,64.0
upazilla_epi_Tally Book (child) previous stock,Coxs Bazar District,421.0
upazilla_epi_BCG Diluent_receive,Kishoreganj District,26652.0
upazilla_epi_TT Card previous stock,Mymensingh District,274282.0
upazilla_epi_PCV need,Sunamganj District,116797.0
upazilla_epi_MR vial_used,Bhola District,17697.0
upazilla_epi_BCG Diluent previous stock,Thakurgaon District,7975.0
upazilla_epi_Pentavalent vial previous stock,Pirojpur District,56002.0
upazilla_epi_Tally Book (child) previous stock,Sherpur District,9.0
upazilla_epi_TT vial_damaged,Rajbari District,2.0
upazilla_epi_IPV vial_receive,Jamalpur District,4188.0
upazilla_epi_Syringe (5 ml)_damaged,Kishoreganj District,400.0
upazilla_epi_IPV vial_receive,Barishal District,5165.0
upazilla_epi_Tally Book (child) previous stock,Khulna District,1443.0
upazilla_epi_Safety Box_damaged,Naogaon District,30.0
upazilla_epi_Tally Book (Women)_damaged,Satkhira District,0.0
upazilla_epi_Child register_receive,Rangpur District,314.0
upazilla_epi_TT vial_damaged,Pabna District,306.0
upazilla_epi_Tally Book (Women)_used,Kishoreganj District,446.0
upazilla_epi_Moni Flag_receive,Kustia District,150.0
upazilla_epi_Child register_used,Rangpur District,212.0
upazilla_epi_PCV vial_receive,Dinajpur District,96133.0
upazilla_epi_BCG vial_damaged,Narayanganj District,0.0
upazilla_epi_MR Diluent_damaged,Satkhira District,1.0
upazilla_epi_Child Card_damaged,Shariatpur District,0.0
upazilla_epi_Tally Book (child)_receive,Naogaon District,312.0
upazilla_epi_Pentavalent vial previous stock,Bhola District,57600.0
upazilla_epi_Moni Flag_receive,Jashore District,40.0
upazilla_epi_Tally Book (Women)_receive,Tangail District,675.0
upazilla_epi_MR Diluent_damaged,Meherpur District,0.0
upazilla_epi_Moni_Flag_previous_stock,Sirajganj District,517.0
upazilla_epi_Syringe (3 ml) previous stock,Sylhet District,51578.0
upazilla_epi_BCG vial_lot number1,Netrokona District,414
upazilla_epi_Child Card_receive,Khulna District,27600.0
upazilla_epi_Syringe (3 ml)_damaged,Narail District,21.0
upazilla_epi_Syringe (3 ml)_used,Manikganj District,11348.0
upazilla_epi_Syringe (0.05 ml)_damaged,Madaripur District,0.0
upazilla_epi_Pentavalent vial_used,Dhaka District,771447.0
upazilla_epi_Women Report Book_receive,Kurigram District,268.0
upazilla_epi_Women register_damaged,Gaibandha District,0.0
upazilla_epi_Syringe (0.1 ml)_used,Jhalokati District,20584.0
upazilla_epi_Safety Box_used,Shariatpur District,2328.0
upazilla_epi_Syringe (0.05 ml)_damaged,Magura District,0.0
upazilla_epi_Women register_used,Jhalokati District,177.0
upazilla_epi_Tally Book (Women) previous stock,Shariatpur District,371.0
upazilla_epi_Tally Book (Women)_used,Khulna District,314.0
upazilla_epi_OPV vial_used,Netrokona District,20458.0
upazilla_epi_Measles vial_damaged,Narshingdi District,0.0
upazilla_epi_BCG vial previous stock,Chandpur District,13210.0
upazilla_epi_Women register_used,Jhenaidaha District,398.0
upazilla_epi_MR Diluent previous stock,Meherpur District,4197.0
upazilla_epi_Syringe (3 ml) previous stock,Chuadanga District,52094.0
upazilla_epi_Women Report Book_receive,Thakurgaon District,189.0
upazilla_epi_Syringe (5 ml)_damaged,Sherpur District,0.0
upazilla_epi_Pentavalent vial_receive,Feni District,118177.0
upazilla_epi_Tally Book (child)_receive,Satkhira District,460.0
upazilla_epi_PCV vial previous stock,Jamalpur District,42178.0
upazilla_epi_Pentavalent vial_damaged,Rajshahi District,2020.0
upazilla_epi_Moni Flag_used,Rangamati District,48.0
upazilla_epi_Syringe (0.1 ml) previous stock,Bagerhat District,49404.0
upazilla_epi_OPV vial_damaged,Bandarban District,0.16
upazilla_epi_BCG vial_lot number1,Pirojpur District,406
upazilla_epi_TT vial_damaged,Munshiganj District,4.0
upazilla_epi_Moni Flag_receive,Noakhali District,290.0
upazilla_epi_Tally Book (Women)_damaged,Jhalokati District,3.0
upazilla_epi_Syringe (0.05 ml)_damaged,Manikganj District,600.0
upazilla_epi_Child register_used,Narail District,55.0
upazilla_epi_TT vial_damaged,Narshingdi District,10.0
upazilla_epi_Tally Book (Women)_damaged,Gazipur District,0.0
upazilla_epi_BCG Diluent_receive,Coxs Bazar District,20214.0
upazilla_epi_Moni Flag_receive,Cumilla District,374.0
upazilla_epi_BCG vial_lot number1,Gaibandha District,410
upazilla_epi_Women Report Book_receive,Nilphamari District,287.0
upazilla_epi_Tally Book (child)_receive,Jhenaidaha District,394.0
upazilla_epi_BCG Diluent_receive,Dhaka District,73028.0
upazilla_epi_MR Diluent previous stock,Gazipur District,34717.0
upazilla_epi_MR Diluent previous stock,Dinajpur District,12563.0
