Data,Organisation unit,Value
He5rkYQTRXc,10001056,71.0
mkS9tKtFJwg,10001636,25360.0
vg24BsDISHx,10001074,760.0
j9BXR3fcgBU,10001200,7600.0
cLca60N5Sz5,10002138,3602.0
D6DrcyNPJRe,10000546,41478.0
xhXpgEsWEv9,10001518,3668.0
upazilla_epi_Safety Box_d,10000277,0.0
lnJZ8U8fAps,10001671,2535.0
uCak0uhIKX5,10000307,7600.0
zpF9PXuVzFb,10001904,0.0
hTPF3SgOJWH,10001826,8600.0
LfeSJhYeM50,10001780,2503.0
j9BXR3fcgBU,10002063,7100.0
tfs4ubhi7aS,10000897,0.0
tfs4ubhi7aS,10000581,0.0
OM8Cr8d7NOm,10001997,5400.0
SxNM9MR02Fq,10000151,70.0
zpF9PXuVzFb,10000792,0.0
eNTRf5caxYa,10002304,25.0
GLsAX7CoejC,10000253,0.0
wl7rSTXZnYH,10001824,12277.0
tJmmzGcJpAJ,10001019,85.0
CzNDOBhTozp,10002039,33627.0
Pmkei3034T3,10000182,3026.0
eb3ByhaTJPc,10000098,1718.0
hDbw2Z8FinI,10001230,0.0
Z1LFCojJ3oU,10001426,2624.0
aiQep6Y8DiC,10001678,38200.0
CcyZexM0LpH,10000095,28.0
mkS9tKtFJwg,10002077,12198.0
tJmmzGcJpAJ,10001412,517.0
XdBa916vNo2,10001763,14190.0
kpkNrzQTYkG,10000288,0.0
nYixxLPGLKg,10000875,0.0
jSXbWOsbeVM,10000706,7422.0
Gf6lEllg2nM,10001997,0.0
tJmmzGcJpAJ,10001472,88.0
Gf6lEllg2nM,10002029,0.0
gCFmCwtKtG9,10001882,437.0
F7SY1nlzxsh,10000212,2590.0
SxNM9MR02Fq,10000505,39.0
avwgDjGy5QN,10002160,8600.0
Gl0BEtUdHIo,10001543,17624.0
lXY1Qn1Xmym,10000544,0.0
zpF9PXuVzFb,10001438,0.0
ildWGF3ceBO,10002015,3019.0
Gf6lEllg2nM,10001817,0.0
cLca60N5Sz5,10001193,2276.0
uCak0uhIKX5,10001656,25200.0
PsvlF5jSgI3,10000802,0.0
F7SY1nlzxsh,10000468,0.0
KrtijNiVXQd,10000847,9000.0
upazilla_epi_Safety Box_d,10001885,560.0
aiQep6Y8DiC,10002231,91200.0
W9TGbZMjS1N,10000857,6700.0
jeJ3ZSbbg2z,10002206,0.0
GLsAX7CoejC,10000220,0.0
oFuUltZt2kL,10001594,6094.0
OM8Cr8d7NOm,10002029,2600.0
Z1LFCojJ3oU,10002136,2360.0
nYixxLPGLKg,10000080,900.0
aiQep6Y8DiC,10000232,91346.0
F7SY1nlzxsh,10001701,4.0
esdiLuANYzJ,10002206,4814.0
L2LsEE6nsv0,10000146,7200.0
S7WmD2KXggR,10000466,219.0
Xi0rEcM2dnU,10001330,15814.0
FHj891Dd9IO,HS_27480001000,135.0
aK1cbe954yX,10000430,77.0
JTzAgZJknnZ,10001122,132.0
W9TGbZMjS1N,10002152,2170.0
eNTRf5caxYa,10000358,130.0
wyYeZ43DyVh,10001984,1390.0
faixFpbou4s,10000083,28005.0
avwgDjGy5QN,10001760,7300.0
snj7yyk7H6r,10002210,3900.0
YRp9K1grg0T,10001363,50.0
