Data,Organisation unit,Value
ViTJ0SouxHk,4047,22225.0
KrtijNiVXQd,5064,84049.0
upazilla_epi_Safety Box_d,4044,0.0
lzDaUMzu2sB,3072,70.0
uv5CVs53ise,3089,21690.0
tJmmzGcJpAJ,5081,1863.0
mkS9tKtFJwg,2013,678667.0
hveFMwiLEd6,3033,12.0
Ya0KM6n2lnV,3093,213145.0
SxNM9MR02Fq,5076,682.0
ildWGF3ceBO,3054,13450.0
zpF9PXuVzFb,1009,2518.0
lGxUawh9Rgq,3086,27509.0
CCYijZzjjn0,6091,709.0
kpkNrzQTYkG,3061,190.0
eb3ByhaTJPc,5573,29600.0
HH3mbuLQ3Fy,5088,1383.0
CzNDOBhTozp,5069,82093.0
nYixxLPGLKg,4055,191.0
He5rkYQTRXc,3089,361.0
CcyZexM0LpH,4087,726.0
aiQep6Y8DiC,1004,611900.0
Gf6lEllg2nM,5585,17800.0
VExs9bwa6Mb,1042,118.0
SxNM9MR02Fq,3068,526.0
seXaR7uNRXJ,2022,5650.0
tfs4ubhi7aS,3033,138.0
ildWGF3ceBO,4055,11300.0
QUvmRKu2SHI,5594,22.0
lnJZ8U8fAps,1078,41916.0
SxNM9MR02Fq,3082,343.0
TW5OuZHpb6D,3086,25537.0
gxlRbfWMpVx,5549,9954.0
GsVpkzuOvvr,4055,37800.0
eb3ByhaTJPc,4018,20870.0
Gl0BEtUdHIo,5010,325268.0
KrtijNiVXQd,4044,50451.0
SxNM9MR02Fq,3059,686.0
XNiO6llG6XA,3056,528.0
zpF9PXuVzFb,5552,0.0
FHj891Dd9IO,5577,272.0
f6Klhc8cltP,2022,2201.0
seXaR7uNRXJ,3089,0.0
uv5CVs53ise,3048,250846.0
Ya0KM6n2lnV,3061,1336241.0
L3D8zpb45fV,6090,116797.0
Pmkei3034T3,1009,33179.0
cLca60N5Sz5,5594,17050.0
CzNDOBhTozp,1079,102454.0
f6Klhc8cltP,3089,244.0
nYixxLPGLKg,3054,18.0
GMuJ1q2PFFJ,3082,104.0
gCFmCwtKtG9,3039,4188.0
ViTJ0SouxHk,3048,400.0
gCFmCwtKtG9,1006,5165.0
gANxnvWKSYw,4050,4069.0
f6Klhc8cltP,4047,2184.0
upazilla_epi_Safety Box_d,5064,2024.0
hDbw2Z8FinI,4087,0.0
FHj891Dd9IO,5585,876.0
GMuJ1q2PFFJ,5076,3419.0
He5rkYQTRXc,3048,936.0
seXaR7uNRXJ,4047,14944.0
JTzAgZJknnZ,4050,711.0
mSRPxSz7mpC,5532,11376.0
xej1sxYYCYM,5585,502.0
j9BXR3fcgBU,5527,96133.0
bWQSZuLmC4h,3067,0.0
tfs4ubhi7aS,4087,106.0
CdbqCEN6J1I,3086,0.0
VExs9bwa6Mb,5064,600.0
CzNDOBhTozp,1009,125381.0
gkVkv3ffz5v,5064,415130.0
JTzAgZJknnZ,4041,40.0
gxlRbfWMpVx,5573,10163.0
eNTRf5caxYa,3093,1054.0
tfs4ubhi7aS,4057,0.0
S7WmD2KXggR,5088,4326.0
qRf4BEqDWEO,6091,97776.0
WsDcPVFfFdD,3072,414
faixFpbou4s,4047,66400.0
jeJ3ZSbbg2z,4065,21.0
lGxUawh9Rgq,3056,35381.0
mSRPxSz7mpC,5069,4421.0
F7SY1nlzxsh,3054,0.0
wl7rSTXZnYH,3026,1000063.0
CCYijZzjjn0,5549,550.0
lzDaUMzu2sB,5532,0.0
KrtijNiVXQd,1042,20584.0
HgCvJyeV8s1,3086,3313.0
F7SY1nlzxsh,4055,18850.0
CcyZexM0LpH,1042,189.0
CSmnrn14bzc,3086,943.0
He5rkYQTRXc,4047,463.0
lnJZ8U8fAps,3072,55865.0
gANxnvWKSYw,5088,11443.0
kpkNrzQTYkG,3068,2637.0
ildWGF3ceBO,2013,31651.0
CcyZexM0LpH,4044,613.0
CMuwZf2vDD3,4057,6442.0
qRf4BEqDWEO,4018,85414.0
CCYijZzjjn0,5594,306.0
ViTJ0SouxHk,3089,0.0
Gl0BEtUdHIo,2030,158627.0
zi1A9mHfQnC,5594,8089.0
VExs9bwa6Mb,4087,846.0
oHx6fAhrdRw,3039,42178.0
KUD3k3ABNzE,5081,3690.0
iWNq47wSHeH,2084,223.0
jSXbWOsbeVM,4001,49404.0
sthqDXmS4Nm,2003,0.16
WsDcPVFfFdD,1079,406
GMuJ1q2PFFJ,3059,4.0
JTzAgZJknnZ,2075,300.0
hDbw2Z8FinI,1042,16.0
F7SY1nlzxsh,3056,660.2
nYixxLPGLKg,2013,0.0
xej1sxYYCYM,4065,164.0
GMuJ1q2PFFJ,3068,8573.0
hDbw2Z8FinI,3033,2.0
uv5CVs53ise,2022,35967.0
JTzAgZJknnZ,2019,389.0
WsDcPVFfFdD,5532,410
CCYijZzjjn0,5573,740.0
VExs9bwa6Mb,4044,611.0
uv5CVs53ise,3026,90883.0
CMuwZf2vDD3,3033,62042.0
CMuwZf2vDD3,5527,33251.0
qC35JBYiNvW,2015,23081.0
seXaR7uNRXJ,2084,934.0
vg24BsDISHx,2046,16393.0
nYixxLPGLKg,5010,0.0
nYixxLPGLKg,2030,0.0
mxdYJga4Oj9,3059,5608.0
tfs4ubhi7aS,5527,454.0
jeJ3ZSbbg2z,5577,327.0
Gl0BEtUdHIo,3054,168752.0
hDbw2Z8FinI,4044,0.0
kpkNrzQTYkG,3059,0.0
upazilla_epi_Safety Box_d,4087,0.0
KUD3k3ABNzE,2030,0.0
S7WmD2KXggR,4050,1845.0
XNiO6llG6XA,3086,360.0
bZlOe4y8Mh5,5070,498.0
seXaR7uNRXJ,3026,0.0
W9TGbZMjS1N,4050,38436.0
L3D8zpb45fV,2051,60626.0
QUvmRKu2SHI,6091,0.0
KUD3k3ABNzE,5010,62.0
CdbqCEN6J1I,3039,0.0
kpkNrzQTYkG,3082,0.0
hveFMwiLEd6,1042,13.0
tJmmzGcJpAJ,5010,3701.0
faixFpbou4s,3089,61920.0
CcyZexM0LpH,3033,347.0
mkS9tKtFJwg,3086,277544.0
aK1cbe954yX,6058,296.0
CzNDOBhTozp,5532,156498.0
j9BXR3fcgBU,4057,15769.0
ENYJhlIJkdD,3086,225.0
CCYijZzjjn0,4018,125.0
VExs9bwa6Mb,3033,416.0
XcI4Wjp5L7i,6091,3666298.0
hveFMwiLEd6,4087,0.0
Xi0rEcM2dnU,5573,416118.0
mkS9tKtFJwg,3054,187616.0
jeJ3ZSbbg2z,5585,7200.0
L2LsEE6nsv0,2046,25751.0
kpkNrzQTYkG,5076,424.0
Pmkei3034T3,5527,49154.0
Ya0KM6n2lnV,3059,158394.0
D6DrcyNPJRe,2003,28488.0
qC35JBYiNvW,5594,1610.0
HgCvJyeV8s1,3039,5346.0
gANxnvWKSYw,4041,13910.0
tJmmzGcJpAJ,2030,900.0
F7SY1nlzxsh,5010,380.0
TW5OuZHpb6D,2013,47104.0
xej1sxYYCYM,5577,225.0
snj7yyk7H6r,4065,4179.0
XcI4Wjp5L7i,4018,2401565.0
CMuwZf2vDD3,5552,10609.0
eb3ByhaTJPc,6091,54134.0
XNiO6llG6XA,4055,140.0
j9BXR3fcgBU,1009,74075.0
oHx6fAhrdRw,6058,37327.0
gxlRbfWMpVx,5594,7646.0
SxNM9MR02Fq,3093,902.0
lXY1Qn1Xmym,1004,0.0
f6Klhc8cltP,3048,705.0
ENYJhlIJkdD,3039,0.0
PsvlF5jSgI3,6036,541.0
upazilla_epi_Safety Box_d,3033,280.0
LfeSJhYeM50,3059,28345.0
XdBa916vNo2,3026,542061.0
Pmkei3034T3,5069,22945.0
wyYeZ43DyVh,3067,32021.0
QUvmRKu2SHI,5549,0.0
zpxBh06iewG,3035,22536.0
mSRPxSz7mpC,5552,5072.0
HH3mbuLQ3Fy,2019,1989.0
YRp9K1grg0T,4041,859.0
lnJZ8U8fAps,5069,26469.0
He5rkYQTRXc,2084,291.0
zpxBh06iewG,5577,21872.0
F7SY1nlzxsh,2030,62.0
CSmnrn14bzc,3039,2624.0
GsVpkzuOvvr,3054,26811.0
XdBa916vNo2,4047,156781.0
gkVkv3ffz5v,2084,9020.0
SxNM9MR02Fq,3061,874.0
bWQSZuLmC4h,2015,12.0
nYixxLPGLKg,3056,74.6
faixFpbou4s,3026,428296.0
faixFpbou4s,5064,92150.0
upazilla_epi_Safety Box_d,2084,1116.0
sk1epOoCbSF,5081,871198.0
Z1LFCojJ3oU,3026,131815.0
eb3ByhaTJPc,5594,25556.0
iWNq47wSHeH,4047,264.0
zpxBh06iewG,5585,73173.0
He5rkYQTRXc,3026,1639.0
ejwMhgWnnjp,6090,830.0
HH3mbuLQ3Fy,2075,559.0
snj7yyk7H6r,5585,13770.0
vg24BsDISHx,6036,40158.0
W9TGbZMjS1N,5088,51471.0
gxlRbfWMpVx,6091,13945.0
zpF9PXuVzFb,5069,0.0
XNiO6llG6XA,2013,519.0
hveFMwiLEd6,5527,0.0
XcI4Wjp5L7i,5573,4255404.0
kpkNrzQTYkG,3093,1668.0
wl7rSTXZnYH,3089,177549.0
snj7yyk7H6r,5577,4950.0
avwgDjGy5QN,6090,125610.0
gxlRbfWMpVx,4018,4551.0
vg24BsDISHx,3029,34747.0
faixFpbou4s,2084,36042.0
YmH96Ob0NBP,6090,48355.0
j9BXR3fcgBU,1079,35550.0
CzNDOBhTozp,3072,191951.0
qRf4BEqDWEO,5549,145661.0
upazilla_epi_Safety Box_d,1042,30.0
mSRPxSz7mpC,1078,8351.0
ViTJ0SouxHk,2022,0.0
iPOIupRRbet,3048,50938.0
gkVkv3ffz5v,1042,0.0
Pmkei3034T3,5552,21478.0
Pmkei3034T3,1078,34871.0
XNiO6llG6XA,5010,692.0
sthqDXmS4Nm,5081,209.2
gkVkv3ffz5v,3089,4150.0
ENYJhlIJkdD,6058,4900.0
aiQep6Y8DiC,2003,189997.0
F6Sj0Nemixl,4041,4807.0
TW5OuZHpb6D,4055,19743.0
mxdYJga4Oj9,3061,13559.0
ejwMhgWnnjp,2046,490.0
f6Klhc8cltP,5064,372.0
uCak0uhIKX5,5549,124631.0
hveFMwiLEd6,5064,0.0
lzDaUMzu2sB,1009,0.0
oFuUltZt2kL,3029,31212.0
KrtijNiVXQd,3033,85170.0
eNTRf5caxYa,3059,477.0
Z1LFCojJ3oU,3059,34618.0
zi1A9mHfQnC,5549,8180.0
LfeSJhYeM50,3082,19167.0
VExs9bwa6Mb,4057,310.0
LfeSJhYeM50,5076,41029.0
GLsAX7CoejC,3072,1255.0
CdbqCEN6J1I,2013,250.0
YRp9K1grg0T,2019,1411.0
CcyZexM0LpH,5527,817.0
XdBa916vNo2,3093,99270.0
j9BXR3fcgBU,1042,23665.0
KrtijNiVXQd,2022,101708.0
HgCvJyeV8s1,4055,1909.0
QUvmRKu2SHI,5573,62.0
iWNq47wSHeH,3026,1980.0
lzDaUMzu2sB,5552,0.0
jSXbWOsbeVM,2012,55176.0
Pmkei3034T3,4057,10377.0
j9BXR3fcgBU,5069,59924.0
mkS9tKtFJwg,5010,97367.0
iPOIupRRbet,2022,33959.0
HgCvJyeV8s1,3054,2446.0
gkVkv3ffz5v,3048,10971.0
CMuwZf2vDD3,1079,17241.0
uv5CVs53ise,5064,39971.0
bWQSZuLmC4h,4001,40.0
uCak0uhIKX5,6091,129082.0
hDbw2Z8FinI,5552,0.0
eNTRf5caxYa,3048,993.0
tJmmzGcJpAJ,2013,774.0
Xi0rEcM2dnU,5594,125035.0
mxdYJga4Oj9,3093,12151.0
lzDaUMzu2sB,1079,0.0
LfeSJhYeM50,3061,88270.0
tVMfryQtVPM,5549,31885.0
iHhFjeFaUE2,5577,1720.0
Z1LFCojJ3oU,3089,30376.0
Z1LFCojJ3oU,3068,59705.0
W9TGbZMjS1N,2075,57428.0
iPOIupRRbet,3089,20837.0
wl7rSTXZnYH,2022,401204.0
zpxBh06iewG,6058,38352.0
tfs4ubhi7aS,4044,259.0
kTqSo5SnlBi,5076,105767.0
lGxUawh9Rgq,1006,42413.0
upazilla_epi_Safety Box_d,4047,0.0
QUvmRKu2SHI,4018,56.0
iHhFjeFaUE2,5585,3976.0
gkVkv3ffz5v,4047,155481.0
CcyZexM0LpH,2084,263.0
hTPF3SgOJWH,6090,142485.0
QUvmRKu2SHI,2015,50.0
iWNq47wSHeH,4087,407.0
YRp9K1grg0T,4050,620.0
zpF9PXuVzFb,4057,0.0
upazilla_epi_Safety Box_d,3089,5.0
hveFMwiLEd6,5069,0.0
uv5CVs53ise,4044,29271.0
cLca60N5Sz5,6091,31969.0
KrtijNiVXQd,5527,106053.0
eNTRf5caxYa,2022,546.0
kTqSo5SnlBi,3082,72922.0
zpF9PXuVzFb,1078,60.0
hveFMwiLEd6,1009,20.0
mxdYJga4Oj9,5076,7395.0
YRp9K1grg0T,5088,718.0
ejwMhgWnnjp,6036,475.0
KUD3k3ABNzE,3054,35.0
PsvlF5jSgI3,6090,677.0
mSRPxSz7mpC,1009,10040.0
qC35JBYiNvW,4018,2041.0
KUD3k3ABNzE,4055,1917.0
mxdYJga4Oj9,3082,5025.0
Pmkei3034T3,4087,35976.0
tfs4ubhi7aS,1042,277.0
HH3mbuLQ3Fy,5038,366.0
WsDcPVFfFdD,5552,395-2409
S7WmD2KXggR,5038,755.0
GsVpkzuOvvr,5010,130420.0
sk1epOoCbSF,2030,393055.0
GLsAX7CoejC,5070,0.0
hDbw2Z8FinI,4057,0.0
jSXbWOsbeVM,2075,114371.0
iWNq47wSHeH,5064,1437.0
F6Sj0Nemixl,5038,1186.0
OM8Cr8d7NOm,4065,47157.0
TW5OuZHpb6D,5010,55711.0
nAHhMwgUTIC,5573,63037.0
iHhFjeFaUE2,4065,1150.0
bZlOe4y8Mh5,5069,279.0
Xi0rEcM2dnU,4018,217126.0
iPOIupRRbet,2084,13509.0
XdBa916vNo2,3082,77950.0
snj7yyk7H6r,3029,5503.0
XdBa916vNo2,5076,164795.0
lXY1Qn1Xmym,2003,0.0
JTzAgZJknnZ,4001,657.0
iHhFjeFaUE2,3039,3310.0
wl7rSTXZnYH,3059,203395.0
wyYeZ43DyVh,5594,22203.0
CdbqCEN6J1I,1006,28.0
YmH96Ob0NBP,2051,40550.0
Ya0KM6n2lnV,3089,88330.0
GLsAX7CoejC,5532,6.0
lnJZ8U8fAps,5532,47601.0
gCFmCwtKtG9,4055,1755.0
wyYeZ43DyVh,5573,27890.0
ejwMhgWnnjp,2051,512.0
CSmnrn14bzc,5010,2864.0
GMuJ1q2PFFJ,3093,5619.0
bWQSZuLmC4h,2012,6577.0
Ya0KM6n2lnV,3068,208841.0
gkVkv3ffz5v,4044,147019.0
tfs4ubhi7aS,2084,16468.0
ViTJ0SouxHk,2084,17259.0
hDbw2Z8FinI,5064,70.0
HH3mbuLQ3Fy,4041,1306.0
hDbw2Z8FinI,1079,55.0
WsDcPVFfFdD,1078,1639
lGxUawh9Rgq,3035,18503.0
wl7rSTXZnYH,3048,463493.0
KrtijNiVXQd,2084,17612.0
CdbqCEN6J1I,3035,11302.0
zpF9PXuVzFb,4087,0.0
lGxUawh9Rgq,2013,65870.0
f6Klhc8cltP,3026,1958.0
CzNDOBhTozp,5552,60218.0
upazilla_epi_Safety Box_d,3048,0.0
ildWGF3ceBO,5010,22920.0
SxNM9MR02Fq,3026,1257.0
hveFMwiLEd6,1079,38.0
CzNDOBhTozp,4087,125697.0
bUhksJVFOU1,5549,40566.0
tVMfryQtVPM,6091,38915.0
TW5OuZHpb6D,6058,37856.0
iWNq47wSHeH,4057,112.0
eNTRf5caxYa,3068,710.0
mSRPxSz7mpC,1079,6379.0
j9BXR3fcgBU,3033,140158.0
zi1A9mHfQnC,6091,8503.0
WsDcPVFfFdD,1009,1639
CMuwZf2vDD3,4087,21047.0
KrtijNiVXQd,3089,31690.0
zpF9PXuVzFb,1079,0.0
OM8Cr8d7NOm,5577,37705.0
Z1LFCojJ3oU,3048,82007.0
VExs9bwa6Mb,1009,495.0
lnJZ8U8fAps,5070,33203.0
JTzAgZJknnZ,5038,25.0
qC35JBYiNvW,3067,6265.0
CMuwZf2vDD3,5064,49350.0
iPOIupRRbet,3068,36968.0
hveFMwiLEd6,4057,0.0
CcyZexM0LpH,3089,313.0
xhXpgEsWEv9,6090,73859.0
SeHc7pKhNZ3,5038,0.0
D6DrcyNPJRe,5081,123407.0
He5rkYQTRXc,3061,1403.0
eb3ByhaTJPc,5549,45151.0
HH3mbuLQ3Fy,2012,1493.0
tfs4ubhi7aS,5532,2.0
wyYeZ43DyVh,4018,15600.0
aiQep6Y8DiC,5081,857509.0
f6Klhc8cltP,4087,778.0
xej1sxYYCYM,3029,439.0
avwgDjGy5QN,2051,58200.0
OM8Cr8d7NOm,3035,44950.0
mkS9tKtFJwg,4055,605652.0
wyYeZ43DyVh,2015,93014.0
